period,group_label,n,n_ai,ai_rate,slice
2024-01,control,105341,246.0,0.0023352730655680125,baseline
2024-01,swe,18129,533.0,0.02940040818577969,baseline
2024-04,control,8614,20.0,0.0023218017181332712,baseline
2024-04,swe,4691,210.0,0.044766574291195904,baseline
2026-03,control,19761,229.0,0.011588482364252821,baseline
2026-03,swe,19740,5310.0,0.2689969604863222,baseline
2026-04,control,26811,372.0,0.013874902092424752,baseline
2026-04,swe,25577,7187.0,0.28099464362513193,baseline
2024-04,control,8614,20.0,0.0023218017181332712,slice_a_arshkon_only_2024
2024-04,swe,4691,210.0,0.044766574291195904,slice_a_arshkon_only_2024
2026-03,control,19761,229.0,0.011588482364252821,slice_a_arshkon_only_2024
2026-03,swe,19740,5310.0,0.2689969604863222,slice_a_arshkon_only_2024
2026-04,control,26811,372.0,0.013874902092424752,slice_a_arshkon_only_2024
2026-04,swe,25577,7187.0,0.28099464362513193,slice_a_arshkon_only_2024
2024-01,control,57998,196.0,0.0033794268767888547,slice_b_metro_balanced
2024-01,swe,12892,376.0,0.029165373875271485,slice_b_metro_balanced
2024-04,control,4789,19.0,0.003967425349759866,slice_b_metro_balanced
2024-04,swe,2770,108.0,0.03898916967509025,slice_b_metro_balanced
2026-03,control,17131,178.0,0.010390520109742571,slice_b_metro_balanced
2026-03,swe,14606,3892.0,0.2664658359578255,slice_b_metro_balanced
2026-04,control,23739,291.0,0.012258309111588525,slice_b_metro_balanced
2026-04,swe,19331,5380.0,0.2783094511406549,slice_b_metro_balanced
2024-01,control,100493,240.0,0.0023882260455952158,slice_c_no_aggregator
2024-01,swe,15186,453.0,0.02983010667720269,slice_c_no_aggregator
2024-04,control,8156,20.0,0.0024521824423737125,slice_c_no_aggregator
2024-04,swe,4261,197.0,0.046233278573104906,slice_c_no_aggregator
2026-03,control,18002,212.0,0.011776469281190978,slice_c_no_aggregator
2026-03,swe,16424,4540.0,0.2764247442766683,slice_c_no_aggregator
2026-04,control,25054,355.0,0.014169394108725154,slice_c_no_aggregator
2026-04,swe,21185,6113.0,0.2885532216190701,slice_c_no_aggregator
2024-01,control,101254,237.0,0.0023406482706856027,slice_d_no_multi_location
2024-01,swe,17235,487.0,0.028256454888308673,slice_d_no_multi_location
2024-04,control,8507,20.0,0.0023510050546608676,slice_d_no_multi_location
2024-04,swe,4575,201.0,0.043934426229508196,slice_d_no_multi_location
2026-03,control,18984,204.0,0.010745891276864728,slice_d_no_multi_location
2026-03,swe,18113,4762.0,0.2629050957875559,slice_d_no_multi_location
2026-04,control,26071,340.0,0.013041310268113997,slice_d_no_multi_location
2026-04,swe,23860,6577.0,0.2756496227996647,slice_d_no_multi_location
