period,group_label,n,n_remote,n_agg,n_ai,remote_rate,agg_rate,ai_rate
2024-01,adjacent,9420,2.0,1413.0,234.0,0.00021231422505307856,0.15,0.024840764331210193
2024-01,control,105341,4.0,4848.0,246.0,3.7971919765333536e-05,0.046021966755584245,0.0023352730655680125
2024-01,other,714636,2538.0,41611.0,2892.0,0.0035514583648178933,0.05822684555493986,0.004046815441707386
2024-01,swe,18129,1.0,2943.0,533.0,5.516024049864857e-05,0.16233658778752275,0.02940040818577969
2024-04,adjacent,2396,0.0,256.0,94.0,0.0,0.10684474123539232,0.03923205342237062
2024-04,control,8614,0.0,458.0,20.0,0.0,0.053169259345251914,0.0023218017181332712
2024-04,other,94659,0.0,3286.0,670.0,0.0,0.03471407895709864,0.007078038010120538
2024-04,swe,4691,0.0,430.0,210.0,0.0,0.09166489021530591,0.044766574291195904
2026-03,adjacent,5586,1305.0,927.0,1220.0,0.23361976369495166,0.16595059076262084,0.2184031507339778
2026-03,control,19761,1981.0,1759.0,229.0,0.10024796315975912,0.08901371388087648,0.011588482364252821
2026-03,other,76469,12281.0,7977.0,5026.0,0.16060102786750186,0.1043167819639331,0.06572598046267115
2026-03,swe,19740,3983.0,3316.0,5310.0,0.20177304964539008,0.167983789260385,0.2689969604863222
2026-04,adjacent,7304,1514.0,1237.0,1783.0,0.20728368017524645,0.1693592552026287,0.24411281489594744
2026-04,control,26811,2452.0,1757.0,372.0,0.09145499981350938,0.06553280369997388,0.013874902092424752
2026-04,other,99558,15364.0,7342.0,7017.0,0.1543221036983467,0.07374595713051689,0.07048152835533056
2026-04,swe,25577,5024.0,4392.0,7187.0,0.1964264769128514,0.17171677679164873,0.28099464362513193
