period,seniority_3level,n,n_ai,ai_rate
2024-01,junior,238,3.0,0.012605042016806723
2024-01,mid,39,1.0,0.02564102564102564
2024-01,senior,11634,353.0,0.030342100739212653
2024-01,unknown,6218,176.0,0.028304921196526216
2024-04,junior,177,10.0,0.05649717514124294
2024-04,mid,15,0.0,0.0
2024-04,senior,2031,103.0,0.05071393402264894
2024-04,unknown,2468,97.0,0.039303079416531606
2026-03,junior,847,207.0,0.24439197166469895
2026-03,mid,52,15.0,0.28846153846153844
2026-03,senior,8809,2590.0,0.2940174821205585
2026-03,unknown,10032,2498.0,0.24900318979266348
2026-04,junior,803,217.0,0.27023661270236615
2026-04,mid,69,21.0,0.30434782608695654
2026-04,senior,11219,3534.0,0.3150013370175595
2026-04,unknown,13486,3415.0,0.25322556725493106
