company,n_swe,n_ai,ai_rate
Optum,52,29.0,0.5576923076923077
CVS Health,23,10.0,0.43478260869565216
Abbott,18,1.0,0.05555555555555555
HCA Healthcare,13,4.0,0.3076923076923077
McKesson,8,1.0,0.125
GE HealthCare,8,0.0,0.0
Johnson & Johnson MedTech,7,0.0,0.0
Abridge,7,5.0,0.7142857142857143
Philips,5,0.0,0.0
Inspiren,5,4.0,0.8
"WellRithms, Inc.",4,0.0,0.0
CommonSpirit Health,4,0.0,0.0
Ambience Healthcare,4,1.0,0.25
RVO Health,4,2.0,0.5
SmithRx,4,2.0,0.5
Counsel Health,4,3.0,0.75
IEHP,3,0.0,0.0
UT MD Anderson,3,2.0,0.6666666666666666
DaVita Kidney Care,3,0.0,0.0
NYU Langone Health,3,2.0,0.6666666666666666
Plenful,3,0.0,0.0
"VIVIO, a Public Benefit Corporation",3,0.0,0.0
myGwork - LGBTQ+ Business Community,3,0.0,0.0
Maven Clinic,3,2.0,0.6666666666666666
Delta Dental Ins.,3,0.0,0.0
Omnicell,3,1.0,0.3333333333333333
Cardio Partners,3,0.0,0.0
Verily,3,1.0,0.3333333333333333
Hearst Health,3,2.0,0.6666666666666666
Arbiter,3,2.0,0.6666666666666666
