company_name_canonical,n
TalentAlly,5
Saronic Technologies,3
Foxglove,2
Inferred Edge,2
Invisible Technologies,2
OpenAI,2
Palantir Technologies,2
PricewaterhouseCoopers,2
Ramp,2
TRM Labs,2
AMD,1
Actalent,1
Adaptive ML,1
Adobe,1
Avathon,1
CACI International Inc,1
DeWinter Group,1
Digitech Services,1
Eli Lilly and Company,1
FOX Tech,1
First Resonance,1
Fundamental,1
Govini,1
"Infomatics, Inc",1
Jobot,1
Jobs via Dice,1
Mach Industries,1
Macquarie Group,1
Motion Recruitment,1
Notion,1
Osmo,1
PhysicsX,1
Quantix Search,1
Scale AI,1
Skyrocket Ventures,1
Stem IT,1
Triage,1
eranova,1
