archetype_name,n,mean_yoe,median_yoe
android/kotlin/jetpack,108,5.64367816091954,5.0
angular/java/backend,117,6.671232876712328,7.0
azure/pipelines/solutions,265,5.710900473933649,5.0
azure/sql/solutions,49,5.2,5.0
backend/javascript/typescript,311,5.200913242009133,5.0
backend/systems/apis,58,4.622222222222222,5.0
backend/systems/services,107,5.518518518518518,5.0
clearance/software/required,42,8.53125,8.0
customer/customers/application,67,5.413793103448276,5.0
degree_practical/degree_phd/phd_related,68,4.397058823529412,5.0
failure/procedures/ability,85,4.76056338028169,5.0
features/backend/rails,92,4.769230769230769,5.0
firmware/software/ethernet,55,5.58,5.0
intern/internship/pursuing,56,2.6666666666666665,1.0
ios/swiftui/features,56,4.564102564102564,4.0
java/boot/microservices,316,6.120689655172414,6.0
kubernetes/terraform/cicd,473,5.51685393258427,5.0
linux/routing/systems,35,5.428571428571429,5.0
models/systems/llm,389,5.114583333333333,5.0
noise/outlier,3740,5.407223326706428,5.0
noninternship/software/including_standards,46,4.088888888888889,3.0
perception/models/driving,31,4.904761904761905,5.0
pipelines/sql/etl,299,5.5198237885462555,5.0
qa/selenium/manual,96,5.407407407407407,5.0
qualifications/th/display,38,4.7,5.0
scrum/software/sprint,58,5.23404255319149,5.0
software/linux/systems,31,6.28,6.0
software/requirements/degree,84,5.791044776119403,5.0
software/solutions/technology,62,5.433333333333334,5.0
software/sql/aspnet,44,5.848484848484849,5.0
software/systems/linux,39,5.387096774193548,5.0
software/systems/requirements,253,5.671052631578948,5.0
sql/aspnet/mvc,38,5.67741935483871,5.0
systems/agent/workflows,47,6.880952380952381,7.0
systems/clearance/requirements,205,6.213483146067416,5.0
technologies/millions_americans/tech_trends,106,5.762376237623762,5.0
us/software/export,33,4.766666666666667,5.0
