archetype_name,2024,2026,total,share_2024,share_2026,share_change_pp,growth_ratio
models/systems/llm,44,345,389,0.016516516516516516,0.06466729147141519,4.8150774954898665,7.688888888888889
kubernetes/terraform/cicd,119,354,473,0.04466966966966967,0.06635426429240862,2.168459462273895,2.9583333333333335
backend/systems/services,17,90,107,0.0063813813813813815,0.016869728209934397,1.0488346828553015,5.055555555555555
systems/agent/workflows,2,45,47,0.0007507507507507507,0.008434864104967198,0.7684113354216447,15.333333333333334
features/backend/rails,17,75,92,0.0063813813813813815,0.014058106841611996,0.7676725460230615,4.222222222222222
pipelines/sql/etl,86,213,299,0.03228228228228228,0.03992502343017807,0.7642741147895787,2.4597701149425286
degree_practical/degree_phd/phd_related,10,58,68,0.0037537537537537537,0.010871602624179943,0.7117848870426189,5.363636363636363
backend/systems/apis,10,48,58,0.0037537537537537537,0.008997188378631678,0.5243434624877924,4.454545454545454
ios/swiftui/features,10,46,56,0.0037537537537537537,0.008622305529522024,0.48685517757682695,4.2727272727272725
qualifications/th/display,5,33,38,0.0018768768768768769,0.006185567010309278,0.4308690133432401,5.666666666666667
perception/models/driving,3,28,31,0.0011261261261261261,0.005248359887535145,0.41222337614090193,7.25
software/solutions/technology,14,48,62,0.005255255255255256,0.008997188378631678,0.3741933123376422,3.2666666666666666
software/systems/requirements,78,175,253,0.02927927927927928,0.03280224929709466,0.3522970017815381,2.2278481012658227
noninternship/software/including_standards,12,34,46,0.0045045045045045045,0.006373008434864105,0.18685039303596007,2.6923076923076925
us/software/export,8,25,33,0.003003003003003003,0.004686035613870665,0.16830326108676621,2.888888888888889
intern/internship/pursuing,16,40,56,0.006006006006006006,0.007497656982193065,0.1491650976187059,2.411764705882353
qa/selenium/manual,30,66,96,0.01126126126126126,0.012371134020618556,0.11098727593572955,2.161290322580645
linux/routing/systems,10,25,35,0.0037537537537537537,0.004686035613870665,0.09322818601169114,2.3636363636363638
software/linux/systems,9,22,31,0.0033783783783783786,0.004123711340206186,0.0745332961827807,2.3
firmware/software/ethernet,17,38,55,0.0063813813813813815,0.007122774133083412,0.07413927517020301,2.1666666666666665
azure/sql/solutions,16,33,49,0.006006006006006006,0.006185567010309278,0.01795610043032721,2.0
clearance/software/required,14,28,42,0.005255255255255256,0.005248359887535145,-0.0006895367720110256,1.9333333333333333
android/kotlin/jetpack,40,68,108,0.015015015015015015,0.01274601686972821,-0.22689981452868047,1.6829268292682926
azure/pipelines/solutions,93,172,265,0.03490990990990991,0.03223992502343018,-0.26699848864797304,1.8404255319148937
software/requirements/degree,33,51,84,0.012387387387387387,0.009559512652296157,-0.28278747350912303,1.5294117647058822
software/systems/linux,21,18,39,0.007882882882882882,0.003373945641986879,-0.4508937240896003,0.8636363636363636
software/sql/aspnet,26,18,44,0.00975975975975976,0.003373945641986879,-0.6385814117772881,0.7037037037037037
customer/customers/application,34,33,67,0.012762762762762763,0.006185567010309278,-0.6577195752453485,0.9714285714285714
sql/aspnet/mvc,25,13,38,0.009384384384384385,0.002436738519212746,-0.6947645865171638,0.5384615384615384
scrum/software/sprint,32,26,58,0.012012012012012012,0.004873477038425492,-0.713853497358652,0.8181818181818182
backend/javascript/typescript,119,192,311,0.04466966966966967,0.03598875351452671,-0.8680916155142958,1.6083333333333334
angular/java/backend,55,62,117,0.020645645645645645,0.01162136832239925,-0.9024277323246396,1.125
failure/procedures/ability,50,35,85,0.01876876876876877,0.006560449859418931,-1.2208318909349838,0.7058823529411765
technologies/millions_americans/tech_trends,64,42,106,0.024024024024024024,0.007872539831302717,-1.6151484192721304,0.6615384615384615
noise/outlier,1278,2462,3740,0.4797297297297297,0.4614807872539831,-1.82489424757466,1.9257232212666144
java/boot/microservices,141,175,316,0.05292792792792793,0.03280224929709466,-2.012567863083327,1.2394366197183098
systems/clearance/requirements,106,99,205,0.03978978978978979,0.018556701030927835,-2.1233088758861953,0.9345794392523364
