title_norm,n_2024,n_2026,n_ai_2024,n_ai_2026,share_2024,share_2026,share_delta_pp
senior systems engineer,244.0,30.0,1.0,3.0,0.027409570882947654,0.003920543648719289,-2.3489027234228366
c#/.net developer,120.0,0.0,0.0,0.0,0.013480116827679174,0.0,-1.3480116827679174
automation engineer,108.0,26.0,0.0,2.0,0.012132105144911256,0.003397804495556717,-0.8734300649354539
.net developer,68.0,3.0,0.0,0.0,0.007638732869018198,0.0003920543648719289,-0.7246678504146269
mainframe developer,66.0,2.0,0.0,0.0,0.007414064255223545,0.00026136957658128593,-0.7152694678642258
senior automation engineer,68.0,4.0,1.0,1.0,0.007638732869018198,0.0005227391531625719,-0.7115993715855626
"manager, devops - remote",60.0,0.0,0.0,0.0,0.006740058413839587,0.0,-0.6740058413839587
sr. systems engineer,62.0,4.0,1.0,0.0,0.006964727027634239,0.0005227391531625719,-0.6441987874471667
senior java developer,59.0,3.0,0.0,1.0,0.00662772410694226,0.0003920543648719289,-0.6235669742070331
python developer,65.0,9.0,3.0,6.0,0.007301729948326219,0.0011761630946157868,-0.6125566853710432
dotnet developer,51.0,3.0,0.0,0.0,0.005729049651763648,0.0003920543648719289,-0.5336995286891719
systems engineer iii,47.0,2.0,0.0,0.0,0.005279712424174343,0.00026136957658128593,-0.5018342847593057
software architect,41.0,1.0,1.0,1.0,0.004605706582790384,0.00013068478829064296,-0.4475021794499741
salesforce developer,45.0,5.0,1.0,2.0,0.00505504381037969,0.0006534239414532148,-0.4401619868926475
lead systems engineer,41.0,2.0,0.0,0.0,0.004605706582790384,0.00026136957658128593,-0.43443370062090975
senior .net developer,42.0,3.0,3.0,0.0,0.00471804088968771,0.0003920543648719289,-0.43259865248157814
application developer,41.0,4.0,0.0,2.0,0.004605706582790384,0.0005227391531625719,-0.40829674296278123
java architect,35.0,0.0,0.0,0.0,0.003931700741406426,0.0,-0.39317007414064253
qa lead,34.0,1.0,0.0,0.0,0.003819366434509099,0.00013068478829064296,-0.3688681646218456
senior firmware engineer,39.0,7.0,0.0,3.0,0.004381037968995732,0.0009147935180345008,-0.3466244450961231
senior product engineer,37.0,6.0,1.0,2.0,0.004156369355201079,0.0007841087297438578,-0.33722606254572207
principal systems engineer,39.0,9.0,0.0,1.0,0.004381037968995732,0.0011761630946157868,-0.3204874874379945
senior dotnet developer,28.0,0.0,2.0,0.0,0.0031453605931251404,0.0,-0.31453605931251405
sr. java developer,27.0,0.0,0.0,0.0,0.003033026286227814,0.0,-0.3033026286227814
automation tester,27.0,0.0,0.0,0.0,0.003033026286227814,0.0,-0.3033026286227814
senior application developer,29.0,2.0,0.0,0.0,0.003257694900022467,0.00026136957658128593,-0.29963253234411813
firmware engineer,33.0,6.0,0.0,1.0,0.0037070321276117726,0.0007841087297438578,-0.2922923397867915
software engineering manager,35.0,8.0,0.0,2.0,0.003931700741406426,0.0010454783063251437,-0.28862224350812815
sr systems engineer,29.0,3.0,0.0,0.0,0.003257694900022467,0.0003920543648719289,-0.2865640535150538
lead java developer,26.0,3.0,1.0,0.0,0.0029206919793304874,0.0003920543648719289,-0.2528637614458559
embedded engineer,20.0,0.0,0.0,0.0,0.0022466861379465287,0.0,-0.22466861379465286
lead developer,22.0,2.0,0.0,0.0,0.0024713547517411817,0.00026136957658128593,-0.2209985175159896
sr. automation engineer,17.0,0.0,0.0,0.0,0.0019096832172545495,0.0,-0.19096832172545494
database developer,18.0,1.0,1.0,0.0,0.002022017524151876,0.00013068478829064296,-0.1891332735861233
sr. test engineer,18.0,1.0,0.0,0.0,0.002022017524151876,0.00013068478829064296,-0.1891332735861233
lead software developer,19.0,2.0,0.0,0.0,0.0021343518310492026,0.00026136957658128593,-0.18729822544679167
senior qa engineer,21.0,5.0,0.0,1.0,0.002359020444843855,0.0006534239414532148,-0.17055965033906403
senior database developer,15.0,0.0,1.0,0.0,0.0016850146034598967,0.0,-0.16850146034598967
drupal developer,14.0,0.0,0.0,0.0,0.0015726802965625702,0.0,-0.15726802965625702
lead application developer,14.0,0.0,0.0,0.0,0.0015726802965625702,0.0,-0.15726802965625702
senior react developer,15.0,1.0,0.0,0.0,0.0016850146034598967,0.00013068478829064296,-0.1554329815169254
senior it systems engineer,13.0,0.0,0.0,0.0,0.0014603459896652437,0.0,-0.14603459896652438
senior java engineer,13.0,0.0,0.0,0.0,0.0014603459896652437,0.0,-0.14603459896652438
devops architect,13.0,0.0,0.0,0.0,0.0014603459896652437,0.0,-0.14603459896652438
php developer,13.0,0.0,0.0,0.0,0.0014603459896652437,0.0,-0.14603459896652438
sr java developer,13.0,0.0,0.0,0.0,0.0014603459896652437,0.0,-0.14603459896652438
lead test engineer,14.0,1.0,0.0,0.0,0.0015726802965625702,0.00013068478829064296,-0.14419955082719274
senior python developer,14.0,1.0,1.0,0.0,0.0015726802965625702,0.00013068478829064296,-0.14419955082719274
software engineer senior,15.0,2.0,0.0,0.0,0.0016850146034598967,0.00026136957658128593,-0.14236450268786108
sr. .net developer,12.0,0.0,0.0,0.0,0.0013480116827679174,0.0,-0.13480116827679173
lead salesforce developer,12.0,0.0,0.0,0.0,0.0013480116827679174,0.0,-0.13480116827679173
senior software architect,13.0,1.0,1.0,1.0,0.0014603459896652437,0.00013068478829064296,-0.1329661201374601
computer scientist,11.0,0.0,0.0,0.0,0.0012356773758705909,0.0,-0.12356773758705908
engineer systems 3,11.0,0.0,0.0,0.0,0.0012356773758705909,0.0,-0.12356773758705908
sr. firmware engineer,12.0,1.0,0.0,0.0,0.0013480116827679174,0.00013068478829064296,-0.12173268944772744
.net architect,12.0,1.0,1.0,0.0,0.0013480116827679174,0.00013068478829064296,-0.12173268944772744
it systems engineer,13.0,2.0,0.0,0.0,0.0014603459896652437,0.00026136957658128593,-0.11989764130839577
system engineer iii,13.0,2.0,0.0,0.0,0.0014603459896652437,0.00026136957658128593,-0.11989764130839577
senior php developer,10.0,0.0,0.0,0.0,0.0011233430689732643,0.0,-0.11233430689732643
technical systems engineer (electronic security),10.0,0.0,0.0,0.0,0.0011233430689732643,0.0,-0.11233430689732643
systems engineer 3,11.0,1.0,0.0,0.0,0.0012356773758705909,0.00013068478829064296,-0.1104992587579948
software developer iii,12.0,2.0,0.0,0.0,0.0013480116827679174,0.00026136957658128593,-0.10866421061866315
senior embedded systems engineer,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
senior software engineering lead,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
senior programmer,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
sr. android developer,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
senior applications developer,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
lead .net developer,9.0,0.0,0.0,0.0,0.001011008762075938,0.0,-0.10110087620759381
embedded systems engineer,10.0,1.0,0.0,1.0,0.0011233430689732643,0.00013068478829064296,-0.09926582806826215
qa automation lead,11.0,2.0,0.0,0.0,0.0012356773758705909,0.00026136957658128593,-0.09743077992893048
automation engineer iii,11.0,2.0,0.0,0.0,0.0012356773758705909,0.00026136957658128593,-0.09743077992893048
staff systems engineer,11.0,2.0,0.0,1.0,0.0012356773758705909,0.00026136957658128593,-0.09743077992893048
