company_name_canonical,n_2024,n_2026,n_ai_2024,n_ai_2026,ai_rate_2024,ai_rate_2026,delta
Capital One,709.0,150.0,18.0,43.0,0.02538787023977433,0.2866666666666667,0.26127879642689233
Google,33.0,464.0,1.0,112.0,0.030303030303030304,0.2413793103448276,0.2110762800417973
JPMorgan Chase & Co.,12.0,387.0,0.0,71.0,0.0,0.1834625322997416,0.1834625322997416
Amazon,173.0,214.0,3.0,75.0,0.017341040462427744,0.35046728971962615,0.3331262492571984
Northrop Grumman,308.0,60.0,0.0,1.0,0.0,0.016666666666666666,0.016666666666666666
Amazon Web Services (AWS),108.0,217.0,4.0,54.0,0.037037037037037035,0.2488479262672811,0.21181088923024408
Walmart,172.0,142.0,12.0,51.0,0.06976744186046512,0.3591549295774648,0.2893874877169997
Motion Recruitment,124.0,139.0,1.0,35.0,0.008064516129032258,0.2517985611510791,0.24373404502204687
Microsoft,20.0,225.0,1.0,124.0,0.05,0.5511111111111111,0.5011111111111111
Raytheon,146.0,74.0,0.0,0.0,0.0,0.0,0.0
Anduril Industries,52.0,157.0,4.0,27.0,0.07692307692307693,0.17197452229299362,0.09505144536991669
Wells Fargo,37.0,167.0,0.0,75.0,0.0,0.4491017964071856,0.4491017964071856
Booz Allen Hamilton,10.0,193.0,1.0,39.0,0.1,0.20207253886010362,0.10207253886010362
Leidos,69.0,127.0,0.0,19.0,0.0,0.14960629921259844,0.14960629921259844
CyberCoders,97.0,98.0,0.0,19.0,0.0,0.19387755102040816,0.19387755102040816
Lockheed Martin,86.0,108.0,0.0,2.0,0.0,0.018518518518518517,0.018518518518518517
Actalent,39.0,150.0,0.0,3.0,0.0,0.02,0.02
Kforce Inc,99.0,85.0,1.0,19.0,0.010101010101010102,0.2235294117647059,0.21342840166369578
Apex Systems,78.0,104.0,1.0,24.0,0.01282051282051282,0.23076923076923078,0.21794871794871795
NVIDIA,57.0,119.0,8.0,31.0,0.14035087719298245,0.2605042016806723,0.12015332448768984
hackajob,10.0,155.0,0.0,39.0,0.0,0.25161290322580643,0.25161290322580643
Tata Consultancy Services,71.0,84.0,1.0,20.0,0.014084507042253521,0.23809523809523808,0.22401073105298455
BLUE ORIGIN,104.0,50.0,0.0,11.0,0.0,0.22,0.22
Insight Global,61.0,77.0,1.0,14.0,0.01639344262295082,0.18181818181818182,0.165424739195231
Uber,9.0,129.0,0.0,39.0,0.0,0.3023255813953488,0.3023255813953488
"Syms Strategic Group, LLC (SSG)",117.0,19.0,0.0,0.0,0.0,0.0,0.0
"BAE Systems, Inc.",52.0,83.0,0.0,2.0,0.0,0.024096385542168676,0.024096385542168676
SpaceX,40.0,92.0,0.0,9.0,0.0,0.09782608695652174,0.09782608695652174
Jobot,70.0,60.0,3.0,16.0,0.04285714285714286,0.26666666666666666,0.2238095238095238
TikTok,15.0,113.0,0.0,26.0,0.0,0.23008849557522124,0.23008849557522124
Palo Alto Networks,98.0,27.0,23.0,10.0,0.23469387755102042,0.37037037037037035,0.13567649281934993
General Motors,14.0,108.0,0.0,15.0,0.0,0.1388888888888889,0.1388888888888889
ByteDance,44.0,77.0,2.0,21.0,0.045454545454545456,0.2727272727272727,0.22727272727272724
Qualcomm,5.0,109.0,1.0,14.0,0.2,0.12844036697247707,-0.07155963302752294
Robert Half,54.0,54.0,0.0,13.0,0.0,0.24074074074074073,0.24074074074074073
Intellectt Inc,90.0,15.0,0.0,6.0,0.0,0.4,0.4
Adobe,18.0,86.0,3.0,56.0,0.16666666666666666,0.6511627906976745,0.48449612403100784
L3Harris Technologies,70.0,34.0,0.0,1.0,0.0,0.029411764705882353,0.029411764705882353
Capgemini,23.0,78.0,1.0,23.0,0.043478260869565216,0.2948717948717949,0.25139353400222963
CACI International Inc,52.0,48.0,0.0,9.0,0.0,0.1875,0.1875
Collins Aerospace,70.0,30.0,0.0,1.0,0.0,0.03333333333333333,0.03333333333333333
myGwork - LGBTQ+ Business Community,12.0,85.0,0.0,25.0,0.0,0.29411764705882354,0.29411764705882354
Piper Companies,24.0,71.0,0.0,8.0,0.0,0.11267605633802817,0.11267605633802817
TEKsystems,31.0,62.0,1.0,15.0,0.03225806451612903,0.24193548387096775,0.20967741935483872
"Mission Technologies, a division of HII",68.0,21.0,0.0,2.0,0.0,0.09523809523809523,0.09523809523809523
Tesla,79.0,6.0,4.0,1.0,0.05063291139240506,0.16666666666666666,0.1160337552742616
