company_industry,n_all,n_ai_all,n_noagg,n_ai_noagg,n_nobig,n_ai_nobig,rate_all,rate_noagg,rate_nobig,wilson_lo,wilson_hi
Research Services,169,122.0,169.0,122.0,32.0,7.0,0.7218934911242604,0.7218934911242604,0.21875,0.6499802132077308,0.7839431015498276
"Financial Services, Investment Management, and Banking",153,69.0,153.0,69.0,153.0,69.0,0.45098039215686275,0.45098039215686275,0.45098039215686275,0.37429677416166335,0.5300653338504968
Computer and Network Security,150,51.0,149.0,51.0,150.0,51.0,0.34,0.3422818791946309,0.34,0.2690321465825542,0.4189586179440758
Retail,285,93.0,281.0,90.0,285.0,93.0,0.3263157894736842,0.3202846975088968,0.3263157894736842,0.27450434945707036,0.3827472375719449
Hospitals and Health Care,369,119.0,367.0,119.0,369.0,119.0,0.3224932249322493,0.3242506811989101,0.3224932249322493,0.2768396953876506,0.37180466189436945
"Technology, Information and Media",209,64.0,124.0,37.0,209.0,64.0,0.3062200956937799,0.29838709677419356,0.3062200956937799,0.2476954507683927,0.37173984759433343
Internet Marketplace Platforms,136,41.0,136.0,41.0,7.0,2.0,0.3014705882352941,0.3014705882352941,0.2857142857142857,0.23066975813231694,0.383179053666175
Software Development,6870,1919.0,3912.0,1308.0,6382.0,1691.0,0.27933042212518194,0.3343558282208589,0.26496396114070825,0.26884625219742597,0.29006124430351166
"Technology, Information and Internet",1279,335.0,1239.0,325.0,1214.0,315.0,0.2619233776387803,0.2623083131557708,0.25947281713344317,0.23856510897809516,0.28670753575060715
Entertainment Providers,225,58.0,224.0,58.0,196.0,52.0,0.2577777777777778,0.25892857142857145,0.2653061224489796,0.20502504155098136,0.3186629592320929
Financial Services,1785,438.0,1765.0,430.0,1784.0,438.0,0.2453781512605042,0.24362606232294617,0.24551569506726456,0.22597619740306885,0.26587372379733254
"Information Services and Technology, Information and Internet",464,112.0,464.0,112.0,1.0,0.0,0.2413793103448276,0.2413793103448276,0.0,0.20466828562030087,0.28233757277279636
Insurance,220,53.0,218.0,53.0,220.0,53.0,0.2409090909090909,0.24311926605504589,0.2409090909090909,0.18915738561180667,0.30155390308520047
Telecommunications,146,35.0,136.0,31.0,146.0,35.0,0.23972602739726026,0.22794117647058823,0.23972602739726026,0.1777170167737743,0.3150807109600459
Internet Publishing,185,44.0,85.0,17.0,179.0,40.0,0.23783783783783785,0.2,0.22346368715083798,0.18221171419970933,0.3041302782426339
IT Services and IT Consulting,3034,641.0,2587.0,540.0,2746.0,574.0,0.2112722478576137,0.20873598763046,0.2090313182811362,0.19711639778755277,0.22615833780103087
Information Technology & Services,186,39.0,178.0,37.0,186.0,39.0,0.20967741935483872,0.20786516853932585,0.20967741935483872,0.15734710578165073,0.2737575625313008
Staffing and Recruiting,676,137.0,418.0,85.0,676.0,137.0,0.20266272189349113,0.20334928229665072,0.20266272189349113,0.17407860492344399,0.23460718306010986
Banking,124,25.0,116.0,24.0,124.0,25.0,0.20161290322580644,0.20689655172413793,0.20161290322580644,0.14045552978982973,0.28070315408146096
Business Consulting and Services,467,94.0,328.0,90.0,467.0,94.0,0.2012847965738758,0.27439024390243905,0.2012847965738758,0.16742246620791645,0.2400215659251831
"Software Development, Financial Services, and Technology, Information and Internet",112,20.0,112.0,20.0,112.0,20.0,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.11867570210914297,0.25978592134909656
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",105,15.0,105.0,15.0,105.0,15.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.08852402661833805,0.22240120785083545
Computers and Electronics Manufacturing,110,15.0,108.0,15.0,102.0,13.0,0.13636363636363635,0.1388888888888889,0.12745098039215685,0.08441081826064381,0.2128583698041761
Automation Machinery Manufacturing,119,16.0,117.0,16.0,119.0,16.0,0.13445378151260504,0.13675213675213677,0.13445378151260504,0.084484422396931,0.20728644349866138
Motor Vehicle Manufacturing,142,19.0,137.0,18.0,142.0,19.0,0.13380281690140844,0.13138686131386862,0.13380281690140844,0.08736005100333503,0.19953751457466187
Semiconductor Manufacturing,374,44.0,372.0,44.0,374.0,44.0,0.11764705882352941,0.11827956989247312,0.11764705882352941,0.08881551791176628,0.15425353536346864
"Appliances, Electrical, and Electronics Manufacturing",152,14.0,152.0,14.0,152.0,14.0,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.05565814076397554,0.14866214342201844
Aviation and Aerospace Component Manufacturing,285,26.0,285.0,26.0,285.0,26.0,0.0912280701754386,0.0912280701754386,0.0912280701754386,0.06301652720878786,0.1303129654958641
Civil Engineering,157,14.0,157.0,14.0,157.0,14.0,0.08917197452229299,0.08917197452229299,0.08917197452229299,0.053860303148815,0.14410838156956632
Manufacturing,102,9.0,99.0,9.0,102.0,9.0,0.08823529411764706,0.09090909090909091,0.08823529411764706,0.047115025691464585,0.15924617822079679
Medical Equipment Manufacturing,148,12.0,146.0,12.0,148.0,12.0,0.08108108108108109,0.0821917808219178,0.08108108108108109,0.04698790503444144,0.13637159591918396
Defense and Space Manufacturing,1005,67.0,999.0,65.0,1005.0,67.0,0.06666666666666667,0.06506506506506507,0.06666666666666667,0.05283578789828491,0.08379775298662705
