metro_area,n_all_2024,n_all_2026,n_ai_all_2024,n_ai_all_2026,n_noagg_2024,n_noagg_2026,n_ai_noagg_2024,n_ai_noagg_2026,n_single_2024,n_single_2026,n_ai_single_2024,n_ai_single_2026,rate_all_2024,rate_all_2026,rate_noagg_2024,rate_noagg_2026,rate_single_2024,rate_single_2026,delta_all,delta_noagg,delta_single,is_tech_hub
Seattle Metro,759.0,1388.0,20.0,435.0,710.0,1216.0,18.0,396.0,759.0,1388.0,20.0,435.0,0.026350461133069828,0.3134005763688761,0.02535211267605634,0.3256578947368421,0.026350461133069828,0.3134005763688761,0.28705011523580626,0.30030578206078573,0.28705011523580626,True
Tampa Bay Metro,214.0,160.0,1.0,45.0,178.0,133.0,1.0,38.0,214.0,160.0,1.0,45.0,0.004672897196261682,0.28125,0.0056179775280898875,0.2857142857142857,0.004672897196261682,0.28125,0.2765771028037383,0.2800963081861958,0.2765771028037383,False
Salt Lake City Metro,328.0,1044.0,8.0,299.0,276.0,857.0,8.0,256.0,328.0,1044.0,8.0,299.0,0.024390243902439025,0.28639846743295017,0.028985507246376812,0.29871645274212366,0.024390243902439025,0.28639846743295017,0.2620082235305111,0.26973094549574683,0.2620082235305111,False
Nashville Metro,102.0,130.0,0.0,33.0,99.0,94.0,0.0,24.0,102.0,130.0,0.0,33.0,0.0,0.25384615384615383,0.0,0.2553191489361702,0.0,0.25384615384615383,0.25384615384615383,0.2553191489361702,0.25384615384615383,False
Charlotte Metro,303.0,656.0,1.0,168.0,251.0,370.0,1.0,98.0,303.0,656.0,1.0,168.0,0.0033003300330033004,0.25609756097560976,0.00398406374501992,0.2648648648648649,0.0033003300330033004,0.25609756097560976,0.2527972309426065,0.26088080111984496,0.2527972309426065,False
San Francisco Bay Area,1724.0,3215.0,113.0,1018.0,1648.0,3019.0,108.0,967.0,1724.0,3215.0,113.0,1018.0,0.06554524361948956,0.3166407465007776,0.06553398058252427,0.32030473666777076,0.06554524361948956,0.3166407465007776,0.25109550288128807,0.25477075608524646,0.25109550288128807,True
New York City Metro,67.0,1228.0,1.0,321.0,52.0,1030.0,1.0,273.0,67.0,1228.0,1.0,321.0,0.014925373134328358,0.26140065146579805,0.019230769230769232,0.2650485436893204,0.014925373134328358,0.26140065146579805,0.2464752783314697,0.24581777445855119,0.2464752783314697,True
Atlanta Metro,584.0,639.0,8.0,164.0,510.0,486.0,6.0,134.0,584.0,639.0,8.0,164.0,0.0136986301369863,0.2566510172143975,0.011764705882352941,0.2757201646090535,0.0136986301369863,0.2566510172143975,0.24295238707741118,0.26395545872670056,0.24295238707741118,False
Minneapolis-Saint Paul,260.0,344.0,5.0,90.0,232.0,235.0,5.0,52.0,260.0,344.0,5.0,90.0,0.019230769230769232,0.2616279069767442,0.021551724137931036,0.22127659574468084,0.019230769230769232,0.2616279069767442,0.242397137745975,0.1997248716067498,0.242397137745975,False
Miami Metro,217.0,189.0,5.0,47.0,192.0,132.0,5.0,28.0,217.0,189.0,5.0,47.0,0.02304147465437788,0.24867724867724866,0.026041666666666668,0.21212121212121213,0.02304147465437788,0.24867724867724866,0.22563577402287077,0.18607954545454547,0.22563577402287077,False
Dallas-Fort Worth Metro,849.0,1262.0,21.0,313.0,732.0,888.0,15.0,226.0,849.0,1262.0,21.0,313.0,0.024734982332155476,0.2480190174326466,0.020491803278688523,0.2545045045045045,0.024734982332155476,0.2480190174326466,0.2232840351004911,0.234012701225816,0.2232840351004911,False
Austin Metro,356.0,709.0,6.0,163.0,343.0,579.0,6.0,131.0,356.0,709.0,6.0,163.0,0.016853932584269662,0.229901269393512,0.01749271137026239,0.22625215889464595,0.016853932584269662,0.229901269393512,0.21304733680924232,0.20875944752438355,0.21304733680924232,True
Chicago Metro,727.0,656.0,12.0,147.0,611.0,502.0,12.0,121.0,727.0,656.0,12.0,147.0,0.016506189821182942,0.22408536585365854,0.019639934533551555,0.2410358565737052,0.016506189821182942,0.22408536585365854,0.2075791760324756,0.22139592204015363,0.2075791760324756,False
Columbus Metro,140.0,303.0,1.0,64.0,123.0,214.0,1.0,48.0,140.0,303.0,1.0,64.0,0.007142857142857143,0.21122112211221122,0.008130081300813009,0.22429906542056074,0.007142857142857143,0.21122112211221122,0.20407826496935408,0.21616898411974775,0.20407826496935408,False
Raleigh-Durham-Chapel Hill,242.0,363.0,2.0,75.0,210.0,287.0,2.0,57.0,242.0,363.0,2.0,75.0,0.008264462809917356,0.2066115702479339,0.009523809523809525,0.1986062717770035,0.008264462809917356,0.2066115702479339,0.19834710743801653,0.18908246225319397,0.19834710743801653,False
Boston Metro,857.0,961.0,17.0,207.0,735.0,792.0,16.0,186.0,857.0,961.0,17.0,207.0,0.019836639439906652,0.2154006243496358,0.021768707482993196,0.23484848484848486,0.019836639439906652,0.2154006243496358,0.19556398490972915,0.21307977736549166,0.19556398490972915,True
Phoenix Metro,352.0,430.0,5.0,85.0,310.0,280.0,5.0,58.0,352.0,430.0,5.0,85.0,0.014204545454545454,0.19767441860465115,0.016129032258064516,0.20714285714285716,0.014204545454545454,0.19767441860465115,0.1834698731501057,0.19101382488479263,0.1834698731501057,False
San Diego Metro,265.0,315.0,5.0,57.0,235.0,296.0,5.0,56.0,265.0,315.0,5.0,57.0,0.018867924528301886,0.18095238095238095,0.02127659574468085,0.1891891891891892,0.018867924528301886,0.18095238095238095,0.16208445642407907,0.16791259344450835,0.16208445642407907,False
Houston Metro,233.0,316.0,4.0,54.0,207.0,239.0,3.0,44.0,233.0,316.0,4.0,54.0,0.017167381974248927,0.17088607594936708,0.014492753623188406,0.18410041841004185,0.017167381974248927,0.17088607594936708,0.15371869397511817,0.16960766478685343,0.15371869397511817,False
Philadelphia Metro,493.0,510.0,8.0,86.0,335.0,326.0,5.0,58.0,493.0,510.0,8.0,86.0,0.016227180527383367,0.16862745098039217,0.014925373134328358,0.17791411042944785,0.016227180527383367,0.16862745098039217,0.1524002704530088,0.1629887372951195,0.1524002704530088,False
Portland Metro,116.0,87.0,1.0,14.0,94.0,79.0,1.0,13.0,116.0,87.0,1.0,14.0,0.008620689655172414,0.16091954022988506,0.010638297872340425,0.16455696202531644,0.008620689655172414,0.16091954022988506,0.15229885057471265,0.15391866415297603,0.15229885057471265,False
Pittsburgh Metro,204.0,273.0,8.0,51.0,191.0,227.0,8.0,39.0,204.0,273.0,8.0,51.0,0.0392156862745098,0.18681318681318682,0.041884816753926704,0.17180616740088106,0.0392156862745098,0.18681318681318682,0.147597500538677,0.12992135064695437,0.147597500538677,False
Detroit Metro,360.0,376.0,9.0,62.0,338.0,303.0,9.0,46.0,360.0,376.0,9.0,62.0,0.025,0.16489361702127658,0.026627218934911243,0.15181518151815182,0.025,0.16489361702127658,0.1398936170212766,0.12518796258324058,0.1398936170212766,False
Denver Metro,554.0,452.0,1.0,62.0,463.0,361.0,1.0,55.0,554.0,452.0,1.0,62.0,0.0018050541516245488,0.13716814159292035,0.0021598272138228943,0.1523545706371191,0.0018050541516245488,0.13716814159292035,0.1353630874412958,0.1501947434232962,0.1353630874412958,False
