title,desc_snippet,yoe_min_years_llm,seniority_final,op,period
Junior Software Engineer,"Apply today for a full time, direct hire position with a large client of ours in Exton, PA, a leading provider of aircraft parts, instruments, and aviation products.
Job Title:
Junior Software Engineer
Location:
Exton, PA
Salary:
$60-75k with 10% bon",,entry,OP_A_junior_title,2024-01
Junior Linux Systems Engineer,"GRID Networks is seeking a Linux System Engineer with 1-3 years of experience to join our team. The ideal candidate will have a strong foundation in Linux administration and common open-source tools and software, as well as experience with networking",1,entry,OP_A_junior_title,2024-01
Junior Data Engineer,"Job Summary
The Mid-Ohio Food Collective (MOFC) is looking for a Junior Data Engineer to help build data systems and databases to create an infrastructure that harnesses the power of data to drive operational efficiency, identify unique insights, and",1,entry,OP_A_junior_title,2024-01
MDA Systems Engineer - Junior,"GovSG is looking for an amazingly talented Systems Engineer to join our team! In this role you will get to support Missile Defense System Architecture Trades.
This position is hybrid and the onsite location is in Huntsville, AL.
What You'll Be Doing ",3,entry,OP_A_junior_title,2024-01
Junior AWS DevOps Engineer,"AWS DevOps Engineer
Are you seeking to grow and enhance your technical career to new heights, in a full-time, W-2 opportunity?
What if an organization existed solely for the purpose of investing in YOU, being of service to YOU, showing you how, and s",3,entry,OP_A_junior_title,2024-01
Junior .NET Developer,"AGM Tech Solutions, on behalf of the Client - a Global Technology Company, is hiring a
Hybrid/Remote
Position Title:
Junior Full Stack .NET developer
(MUST BE ELIGIBLE TO WORK ON OUR W2)
Position Summary:
Primary Responsibilities and Duties:
1. Devel",5,entry,OP_A_junior_title,2024-01
Junior Test Engineer,"Introduction
Visium Resources has been asked to identify qualified candidates for this Junior Test Engineer position. This position is a contract opportunity which is expected to be on-site with extensive travel, for a duration of greater than one ye",5,entry,OP_A_junior_title,2024-01
Junior Test Automation Engineer,"Note: Only W2
Required Qualifications:
Expertise in Assuring Quality on iOS and Android Mobile Applications.
Expertise in Automation Testing using Appium.
Builds and drives teams, enterprise partners and vendors in delivering innovative digital produ",,entry,OP_A_junior_title,2024-01
Junior Dotnet Developer,"UK based MNC Capita
is
hiring Junior Dot net Developer
as following
,
Job Information
Notice Period: * only Immediate to 30days joiners
Company: Capita
Location: Permanent WFH/Pune
Experience required: 2+yrs
Job type: Permanent/Full time
Job Descript",2,entry,OP_A_junior_title,2024-01
Junior Embedded System Engineer,"Flemington, NJ
Onsite, Permanent, Full Benefits
The Junior Embedded System Engineer will help our team continue to innovate and deliver high-quality products. The engineer will fix bugs, develop features, and expand and improve drivers. The Junior Em",,entry,OP_A_junior_title,2024-01
Junior Data Engineer II,"Job Description Summary
Responsible for the design, development, and maintenance of ETL processes that extract data from SAP systems and load it into BW and other data warehouses. The ideal candidate will have experience with in SAP ERP and BW system",3,entry,OP_A_junior_title,2024-01
Junior Software Developer,"This position is looking to find a Junior Software Developer who is able to work onsite in Dayton, OH. This is a 6-month contract to hire position that is looking to pay between $28-$37/hr. This is a full stack position that is looking for 1-3 years ",1,entry,OP_A_junior_title,2024-01
Junior Site Reliability Engineer-US,"Role: Junior Site Reliability Engineer
Location: Rancho Cucamonga, CA-Onsite from Day 1
Duration: 6+ Months
Job Description
Design, develop, and maintain integration flows using an array of different platforms, APIs, databases, protocols, and data fo",,entry,OP_A_junior_title,2024-01
Junior Java Developer,"Role : Java Full Stack Developer
Location : Phoenix, AZ(Onsite) F2F
Full Time
ready to Oniste face to face interview
Required Qualifications
• Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three y",3,entry,OP_A_junior_title,2024-01
