title_normalized,seniority_native,n
. software engineer,mid-senior,8
. software engineer,associate,1
.net developer,entry,8
.net developer,mid-senior,5
adobe developer,mid-senior,2
adobe developer,associate,1
ai engineer,mid-senior,4
ai engineer,entry,1
android developer,mid-senior,9
android developer,entry,1
angular developer,mid-senior,4
angular developer,entry,2
angular developer,associate,1
application architect,mid-senior,6
application architect,associate,1
application developer,mid-senior,12
application developer,entry,4
application developer,associate,2
application developer,executive,1
artificial intelligence engineer,mid-senior,6
artificial intelligence engineer,entry,1
associate systems engineer,associate,2
associate systems engineer,entry,2
automation engineer,mid-senior,17
automation engineer,entry,16
automation engineer,associate,4
automation engineer,director,1
aws cloud engineer,mid-senior,5
aws cloud engineer,entry,1
aws data engineer,entry,1
aws data engineer,mid-senior,1
aws devops engineer,mid-senior,2
aws devops engineer,entry,1
aws engineer,entry,2
aws engineer,mid-senior,2
azure devops engineer,mid-senior,8
azure devops engineer,associate,1
azure engineer,entry,2
azure engineer,mid-senior,1
azure engineer,associate,1
back end developer,mid-senior,7
back end developer,associate,1
backend engineer,mid-senior,7
backend engineer,entry,1
backend software engineer,mid-senior,2
backend software engineer,entry,1
big data developer,entry,1
big data developer,mid-senior,1
big data developer,executive,1
c++ developer,mid-senior,4
c++ developer,entry,2
cloud administrator,mid-senior,2
cloud administrator,entry,1
cloud data engineer,mid-senior,1
cloud data engineer,entry,1
cloud devops engineer,mid-senior,3
cloud devops engineer,entry,1
cloud engineer,mid-senior,19
cloud engineer,entry,6
cloud engineer,associate,3
cloud infrastructure engineer,entry,1
cloud infrastructure engineer,mid-senior,1
cloud software engineer,entry,2
cloud software engineer,mid-senior,1
cloud software engineer,associate,1
cloud systems engineer,mid-senior,1
cloud systems engineer,associate,1
computer vision/ machine learning engineer,mid-senior,2
computer vision/ machine learning engineer,entry,1
core java developer,entry,2
core java developer,mid-senior,1
data engineer,mid-senior,89
data engineer,entry,28
data engineer,associate,8
data engineer,executive,1
data engineer intern,mid-senior,1
data engineer intern,intern,1
data engineering analyst,entry,1
data engineering analyst,director,1
data platform engineer,entry,3
data platform engineer,mid-senior,1
data platform software engineer,mid-senior,1
data platform software engineer,entry,1
database developer,mid-senior,11
database developer,entry,1
database engineer,entry,3
database engineer,mid-senior,2
developer,entry,23
developer,mid-senior,8
developer,associate,2
devops developer,associate,1
devops developer,mid-senior,1
devops engineer,mid-senior,53
devops engineer,entry,9
devops engineer,associate,1
devops engineer (remote),entry,1
devops engineer (remote),mid-senior,1
devops/ cloud engineer,entry,1
devops/ cloud engineer,mid-senior,1
devsecops engineer,entry,5
devsecops engineer,mid-senior,3
devsecops engineer,associate,1
drupal developer,mid-senior,3
drupal developer,entry,1
embedded engineer,mid-senior,4
embedded engineer,associate,2
embedded engineer,entry,1
embedded software engineer,mid-senior,21
embedded software engineer,entry,7
embedded software engineer,associate,3
engineer software,associate,1
engineer software,mid-senior,1
engineer – ground systems engineer,mid-senior,1
engineer – ground systems engineer,entry,1
firmware engineer,mid-senior,8
firmware engineer,associate,1
firmware engineer,entry,1
front end developer,entry,5
front end developer,mid-senior,1
frontend developer,mid-senior,14
frontend developer,entry,1
frontend engineer,mid-senior,5
frontend engineer,associate,1
full stack .net developer,mid-senior,3
full stack .net developer,entry,1
full stack developer,mid-senior,10
full stack developer,entry,6
full stack developer,associate,1
full stack engineer,mid-senior,31
full stack engineer,associate,6
full stack engineer,entry,2
full stack java developer,entry,3
full stack java developer,mid-senior,1
full stack software developer,mid-senior,2
full stack software developer,entry,1
full stack software development engineer,mid-senior,1
full stack software development engineer,entry,1
full stack software engineer,mid-senior,3
full stack software engineer,entry,2
full-stack engineer,mid-senior,2
full-stack engineer,entry,1
full-stack software engineer,associate,1
full-stack software engineer,entry,1
generative ai engineer,mid-senior,2
generative ai engineer,entry,1
infrastructure engineer,mid-senior,17
infrastructure engineer,entry,5
infrastructure engineer,associate,1
ios developer,mid-senior,5
ios developer,director,1
it data engineer,entry,1
it data engineer,mid-senior,1
it systems engineer,entry,2
it systems engineer,mid-senior,1
java application developer,associate,2
java application developer,mid-senior,1
java architect,director,8
java architect,mid-senior,5
java architect,executive,1
java backend developer,mid-senior,4
java backend developer,associate,1
java developer,mid-senior,24
java developer,entry,18
java developer,associate,4
java engineer,mid-senior,4
java engineer,entry,1
java full stack developer,mid-senior,5
java full stack developer,entry,1
java fullstack developer,mid-senior,2
java fullstack developer,entry,1
java software engineer,mid-senior,13
java software engineer,entry,3
machine learning engineer,mid-senior,35
machine learning engineer,entry,2
mbse systems engineer,entry,1
mbse systems engineer,associate,1
"milcomm systems engineer,",entry,1
"milcomm systems engineer,",mid-senior,1
mission software engineer - fury / cca (generalist),entry,2
mission software engineer - fury / cca (generalist),mid-senior,2
ml engineer,mid-senior,2
ml engineer,entry,1
oracle application developer,mid-senior,1
oracle application developer,entry,1
platform engineer,mid-senior,3
platform engineer,entry,1
power systems engineer,mid-senior,4
power systems engineer,associate,1
product engineer,entry,8
product engineer,mid-senior,5
product engineer,associate,4
product test engineer,mid-senior,2
product test engineer,entry,1
programmer,entry,1
programmer,associate,1
programmer analyst,mid-senior,3
programmer analyst,associate,2
project systems engineer,mid-senior,1
project systems engineer,entry,1
python software engineer,mid-senior,1
python software engineer,associate,1
qa,mid-senior,2
qa,associate,1
qa engineer,mid-senior,4
qa engineer,entry,2
quality assurance automation engineer,mid-senior,4
quality assurance automation engineer,associate,1
quality assurance engineer,mid-senior,9
quality assurance engineer,entry,6
quality assurance engineer,associate,2
quality system engineer,mid-senior,1
quality system engineer,associate,1
react developer,mid-senior,8
react developer,entry,3
react developer,associate,1
react native developer,mid-senior,4
react native developer,entry,2
react native developer,associate,1
reliability engineer,entry,7
reliability engineer,mid-senior,4
reliability engineer,associate,3
site reliability engineer,mid-senior,28
site reliability engineer,entry,5
site reliability engineer,associate,3
software developer,mid-senior,17
software developer,entry,12
software developer,associate,2
software developer,director,1
software developer -,entry,1
software developer -,mid-senior,1
software development engineer,mid-senior,20
software development engineer,entry,8
software development engineer,associate,1
software development engineer in test,mid-senior,2
software development engineer in test,entry,1
software engineer,mid-senior,248
software engineer,entry,52
software engineer,associate,18
software engineer,director,2
software engineer (mobile sdk),mid-senior,2
software engineer (mobile sdk),entry,1
software engineer (on-site),entry,1
software engineer (on-site),mid-senior,1
software engineer - backend,mid-senior,4
software engineer - backend,entry,1
software engineer in test,mid-senior,11
software engineer in test,associate,1
"software engineer, full stack",mid-senior,9
"software engineer, full stack",entry,4
software engineering,mid-senior,2
software engineering,entry,1
software quality assurance analyst,associate,1
software quality assurance analyst,mid-senior,1
software quality engineer,mid-senior,2
software quality engineer,entry,1
software solutions architect,associate,2
software solutions architect,mid-senior,1
software systems engineer,entry,1
software systems engineer,mid-senior,1
software test engineer,mid-senior,2
software test engineer,entry,2
system engineer,mid-senior,27
system engineer,associate,11
system engineer,entry,3
system engineer,director,1
systems engineer,mid-senior,28
systems engineer,entry,19
systems engineer,associate,2
test automation engineer,mid-senior,2
test automation engineer,entry,2
test engineer,mid-senior,10
test engineer,entry,9
test engineer,associate,6
ui developer,mid-senior,5
ui developer,entry,1
web developer,mid-senior,6
web developer,entry,3
wordpress developer,mid-senior,1
wordpress developer,associate,1
wordpress web developer,entry,1
wordpress web developer,associate,1
