title_normalized,asaniczka_count,arshkon_count
software engineer,105,52
systems engineer,48,19
data engineer,32,28
automation engineer,33,16
test engineer,39,9
java developer,22,18
quality assurance engineer,26,6
software developer,19,12
developer,5,23
product engineer,19,8
devops engineer,18,9
embedded software engineer,19,7
reliability engineer,18,7
system engineer,22,3
full stack developer,18,6
.net developer,14,8
application developer,16,4
full stack engineer,13,2
machine learning engineer,11,2
software development engineer,5,8
firmware engineer,12,1
cloud engineer,6,6
software test engineer,10,2
infrastructure engineer,5,5
java software engineer,6,3
front end developer,4,5
qa engineer,6,2
devsecops engineer,3,5
angular developer,5,2
test automation engineer,5,2
site reliability engineer,2,5
systems integration engineer,4,3
java engineer,5,1
android developer,5,1
it systems engineer,3,2
testing engineer,4,1
"software engineer, full stack",1,4
database developer,4,1
embedded engineer,4,1
full stack java developer,2,3
frontend developer,4,1
data platform engineer,1,3
mobile engineer,3,1
programmer,3,1
react developer,1,3
web developer,1,3
database engineer,1,3
fullstack developer,2,2
full stack software engineer,2,2
software tester,1,2
c++ developer,1,2
ui developer,2,1
associate systems engineer,1,2
full stack .net developer,2,1
associate quality engineer,2,1
advanced software engineer,2,1
mobile application developer,1,2
java full stack developer,2,1
platform engineer,2,1
embedded systems engineer,2,1
software engineer (on-site),1,1
ai engineer,1,1
software development engineer in test,1,1
software quality engineer,1,1
mbse systems engineer,1,1
quality systems engineer,1,1
full stack software developer,1,1
cloud infrastructure engineer,1,1
software engineer - fraud,1,1
model based systems engineer,1,1
artificial intelligence engineer,1,1
fluid systems engineer,1,1
aws data engineer,1,1
big data developer,1,1
backend engineer,1,1
applications programmer,1,1
cloud devops engineer,1,1
software engineer (remote),1,1
software engineering,1,1
backend software engineer,1,1
it data engineer,1,1
