source,seniority_native,n,pct
kaggle_arshkon,mid-senior,39580,33.5
kaggle_arshkon,entry,34378,29.09
kaggle_arshkon,,28657,24.25
kaggle_arshkon,associate,9421,7.97
kaggle_arshkon,director,3591,3.04
kaggle_arshkon,intern,1359,1.15
kaggle_arshkon,executive,1179,1.0
kaggle_asaniczka,mid-senior,900065,88.7
kaggle_asaniczka,associate,114687,11.3
scraped,mid-senior,13065,49.16
scraped,entry,6660,25.06
scraped,,3870,14.56
scraped,associate,1231,4.63
scraped,director,948,3.57
scraped,intern,595,2.24
scraped,executive,207,0.78
