sector,oes_employment,oes_pct,our_postings,our_pct
"Professional, Scientific, and Technical Services",690860.0,41.75768382241833,2005.0,23.254465321271166
Information,330980.0,20.005439874278462,2529.0,29.331941544885176
Finance and Insurance,160000.0,9.670887606153102,991.0,11.493852934353978
Manufacturing,141300.0,8.540602617183959,765.0,8.872651356993737
Management of Companies,99720.0,6.027380700534922,0.0,0.0
Wholesale Trade,63860.0,3.859893015805857,2.0,0.023196474135931337
Administrative and Support,63100.0,3.8139562996766294,281.0,3.259104616098353
Educational Services,21840.0,1.3200761582398985,50.0,0.5799118533982834
Government,19710.0,1.1913324669829852,26.0,0.3015541637671074
Transportation and Warehousing,17620.0,1.0650064976276103,47.0,0.5451171421943865
Health Care and Social Assistance,15840.0,0.9574178730091571,132.0,1.5309672929714684
Retail Trade,9060.0,0.5476140106984194,116.0,1.3453954998840176
Other Services,5970.0,0.3608449938045876,0.0,0.0
Real Estate and Rental and Leasing,4780.0,0.28891776723382395,30.0,0.3479471120389701
Construction,4040.0,0.24418991205536583,12.0,0.13917884481558804
Utilities,2640.0,0.1595696455015262,25.0,0.2899559266991417
"Arts, Entertainment, and Recreation",1840.0,0.11121520747076068,0.0,0.0
"Mining, Quarrying, and Oil and Gas Extraction",940.0,0.056816464686149475,26.0,0.3015541637671074
Accommodation and Food Services,270.0,0.01631962283538336,0.0,0.0
Agriculture,80.0,0.0048354438030765515,0.0,0.0
0,0.0,0.0,1585.0,18.383205752725583
