state,oes_employment,n_arshkon,n_asaniczka,n_scraped,n_all
CA,292630.0,578.0,3248,933.0,4759.0
TX,151460.0,411.0,1422,459.0,2292.0
NY,104130.0,221.0,1017,294.0,1532.0
WA,91470.0,184.0,725,270.0,1179.0
VA,83290.0,269.0,1326,234.0,1829.0
FL,82610.0,127.0,879,111.0,1117.0
NC,57590.0,126.0,527,168.0,821.0
NJ,57120.0,118.0,648,119.0,885.0
IL,54490.0,156.0,908,175.0,1239.0
MA,54260.0,116.0,870,196.0,1182.0
CO,48980.0,77.0,585,115.0,777.0
PA,47350.0,105.0,727,109.0,941.0
GA,47350.0,140.0,568,158.0,866.0
OH,44280.0,94.0,714,60.0,868.0
MI,41490.0,76.0,568,73.0,717.0
MN,39580.0,54.0,265,85.0,404.0
AZ,35650.0,75.0,408,93.0,576.0
MD,31940.0,68.0,996,118.0,1182.0
UT,29160.0,13.0,317,0.0,330.0
WI,22170.0,40.0,395,1.0,436.0
OR,21100.0,13.0,164,31.0,208.0
TN,18750.0,23.0,240,44.0,307.0
AL,18020.0,16.0,250,0.0,266.0
MO,17060.0,25.0,280,15.0,320.0
CT,16490.0,24.0,425,17.0,466.0
KS,15850.0,18.0,144,17.0,179.0
IN,12690.0,29.0,335,1.0,365.0
SC,12230.0,10.0,133,1.0,144.0
IA,9840.0,15.0,212,0.0,227.0
NE,8940.0,9.0,112,0.0,121.0
DC,8250.0,32.0,206,54.0,292.0
NH,8010.0,17.0,184,21.0,222.0
OK,7150.0,8.0,93,0.0,101.0
KY,7070.0,14.0,63,0.0,77.0
AR,6390.0,13.0,123,0.0,136.0
RI,6010.0,10.0,117,6.0,133.0
ID,4960.0,8.0,37,0.0,45.0
NM,4810.0,9.0,89,0.0,98.0
NV,4640.0,17.0,150,0.0,167.0
LA,3870.0,3.0,71,0.0,74.0
DE,3850.0,10.0,188,26.0,224.0
MS,3200.0,3.0,40,0.0,43.0
ME,2740.0,10.0,64,0.0,74.0
WV,2280.0,5.0,19,0.0,24.0
SD,2190.0,0.0,32,0.0,32.0
MT,2070.0,1.0,61,0.0,62.0
HI,1940.0,0.0,65,0.0,65.0
ND,1510.0,3.0,7,0.0,10.0
WY,1020.0,0.0,2,0.0,2.0
AK,430.0,2.0,7,0.0,9.0
VT,0.0,0.0,16,0.0,16.0
