period,variant,total,known,entry_n,entry_share
2024-01,A_patched,21626,21626.0,121.0,0.56
2024-04,A_patched,4438,3553.0,745.0,20.97
2026-03,A_patched,4219,3948.0,549.0,13.91
2024-01,B_final,21626,15286.0,124.0,0.81
2024-04,B_final,4438,2015.0,89.0,4.42
2026-03,B_final,4219,2336.0,132.0,5.65
2024-01,C_native_only,21626,21626.0,0.0,0.0
2024-04,C_native_only,4438,3099.0,710.0,22.91
2026-03,C_native_only,4219,3519.0,545.0,15.49
2024-01,D_high_confidence,21626,21626.0,121.0,0.56
2024-04,D_high_confidence,4438,3473.0,745.0,21.45
2026-03,D_high_confidence,4219,3858.0,548.0,14.2
2024-01,E_all_nonunknown,21626,21626.0,121.0,0.56
2024-04,E_all_nonunknown,4438,3553.0,745.0,20.97
2026-03,E_all_nonunknown,4219,3948.0,549.0,13.91
