term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category,favors
ai,1021,7971,0.0011665398440195696,0.004980334209104058,-43.783033297129045,43.783033297129045,AI/LLM,Senior 2026 (scraped)
capital,1973,1296,0.002254243988492273,0.0008097494837534637,28.673436053050967,28.673436053050967,,Senior 2024 (arshkon)
one,3426,3476,0.003914363864457439,0.0021718280906844445,24.53940592335829,24.53940592335829,,Senior 2024 (arshkon)
workflows,224,1591,0.00025593038693475374,0.000994067460379445,-19.024849853303987,19.024849853303987,,Senior 2026 (scraped)
development,6019,8063,0.006876986602501262,0.005037816425543348,18.374537667583517,18.374537667583517,,Senior 2024 (arshkon)
range,1564,4842,0.0017869425230622985,0.003025314043467802,-18.147417031884956,18.147417031884956,,Senior 2026 (scraped)
years,4688,6076,0.005356257383705917,0.0037963255117947885,17.785306334296237,17.785306334296237,,Senior 2024 (arshkon)
database,917,708,0.0010477150215141482,0.00044236314390235523,17.245478558269298,17.245478558269298,,Senior 2024 (arshkon)
across,1677,4960,0.0019160502628999198,0.0030990412341181947,-17.066089256558012,17.066089256558012,,Senior 2026 (scraped)
agile,1379,1327,0.0015755714445670778,0.0008291184914667025,16.71321180674767,16.71321180674767,,Senior 2024 (arshkon)
knowledge,2740,3271,0.003130577054469756,0.0020437427170968982,16.505943795279766,16.505943795279766,,Senior 2024 (arshkon)
new,3096,3812,0.003537323562276775,0.0023817631420279353,16.393913115145942,16.393913115145942,,Senior 2024 (arshkon)
fidelity,313,66,0.0003576170138865086,4.1237242228185655e-05,15.949899230161918,15.949899230161918,,Senior 2024 (arshkon)
environments,542,2101,0.0006192601326724845,0.0013127188775972434,-15.610890472482886,15.610890472482886,,Senior 2026 (scraped)
net,708,540,0.0008089228301330609,0.0003373956182306099,15.31244150494998,15.31244150494998,,Senior 2024 (arshkon)
chance,260,1311,0.00029706205626355345,0.0008191215842598696,-14.948827410634854,14.948827410634854,,Senior 2026 (scraped)
management,2542,3140,0.0029043528731613573,0.001961893039340954,14.736622333916177,14.736622333916177,Mgmt/Mentoring,Senior 2024 (arshkon)
technologies,2600,3231,0.0029706205626355347,0.002018750449079816,14.69610076284673,14.69610076284673,,Senior 2024 (arshkon)
ordinance,52,768,5.941241125271069e-05,0.00047985154592797855,-14.581787521878365,14.581787521878365,,Senior 2026 (scraped)
ml,551,2022,0.0006295430500046844,0.001263359148263506,-14.508383519921788,14.508383519921788,AI/LLM,Senior 2026 (scraped)
test,1952,2301,0.0022302505147171396,0.0014376802176826544,14.292943070453536,14.292943070453536,,Senior 2024 (arshkon)
software,7031,10333,0.008033243529188633,0.006456127635512763,14.235956487866295,14.235956487866295,,Senior 2024 (arshkon)
sql,1313,1404,0.001500163384130945,0.0008772286073995858,13.9909284296925,13.9909284296925,,Senior 2024 (arshkon)
technology,2716,3474,0.0031031559415838892,0.0021705784772835905,13.988806913043701,13.988806913043701,,Senior 2024 (arshkon)
llm,60,697,6.855278221466619e-05,0.0004354902701976576,-13.745127970618165,13.745127970618165,AI/LLM,Senior 2026 (scraped)
server,694,593,0.0007929271809496389,0.00037051037335324383,13.612073006054963,13.612073006054963,,Senior 2024 (arshkon)
web,1444,1615,0.0016498369586329662,0.0010090628211896944,13.591056844162562,13.591056844162562,,Senior 2024 (arshkon)
remote,888,847,0.0010145811767770594,0.0005292112752617159,13.559988378595865,13.559988378595865,,Senior 2024 (arshkon)
observability,161,933,0.00018394996560935426,0.0005829446514984427,-13.520790291846748,13.520790291846748,,Senior 2026 (scraped)
team,6043,8846,0.006904407715387129,0.0055270400719777315,13.411811933187817,13.411811933187817,,Senior 2024 (arshkon)
trends,407,267,0.0004650163726894856,0.0001668233890140238,13.019854832179165,13.019854832179165,,Senior 2024 (arshkon)
java,1512,1764,0.0017275301118095878,0.0011021590195533257,12.839666155838914,12.839666155838914,,Senior 2024 (arshkon)
