term,count_a,count_b,freq_a,freq_b,z_score,abs_z,category
capital,222,1973,0.0008384255727353067,0.0022642739346837876,-14.057397218477655,14.057397218477655,
senior,110,1389,0.00041543609459857543,0.0015940580310571622,-13.590199657251516,13.590199657251516,
one,599,3426,0.002262238369677697,0.003931780283946608,-12.52391597037541,12.52391597037541,
actalent,103,22,0.00038899925221502974,2.5247859383194795e-05,11.645379586838645,11.645379586838645,
clearance,220,270,0.0008308721891971509,0.00030986009243011794,10.863344667230795,10.863344667230795,
azure,323,1934,0.0012198714414121807,0.0022195163657772153,-9.978130052988101,9.978130052988101,
experience,3488,13814,0.01317310089054392,0.015853360432702406,-9.929943048728658,9.929943048728658,
talent,259,386,0.0009781631681911912,0.0004429851691778723,9.865976447883495,9.865976447883495,
program,421,767,0.0015899872347818205,0.0008802321884959276,9.756412807007257,9.756412807007257,
apex,160,191,0.0006042706830524734,0.00021919732464500936,9.463681244256879,9.463681244256879,
lead,199,1338,0.0007515616620465137,0.0015355289024870289,-9.417033411222238,9.417033411222238,Mgmt/Mentoring
defense,119,117,0.00044942632052027704,0.00013427270671971777,9.280186417771807,9.280186417771807,
dice,72,37,0.000271921807373613,4.246230896264579e-05,9.180300470364333,9.180300470364333,
cloud,793,3681,0.002994916572878821,0.004224425926797275,-8.823482454273782,8.823482454273782,
systems,1671,4276,0.006310851946129269,0.0049072657601154975,8.760032776548933,8.760032776548933,System Design
fanduel,58,19,0.0002190481226065216,2.1804969467304595e-05,8.728547373694475,8.728547373694475,
asia,57,17,0.00021527143083744364,1.9509709523377798e-05,8.688799791300386,8.688799791300386,
delta,58,24,0.0002190481226065216,2.7543119327121596e-05,8.5435387182052,8.5435387182052,
bae,65,37,0.0002454849649900673,4.246230896264579e-05,8.520223655873533,8.520223655873533,
drawings,57,23,0.00021527143083744364,2.6395489355158196e-05,8.496134373989875,8.496134373989875,
platform,346,1866,0.0013067353521009737,0.002141477527683704,-8.457259617916398,8.457259617916398,System Design
years,1078,4688,0.00407127372706604,0.005380089308564418,-8.29835912850455,8.29835912850455,
usaa,50,14,0.00018883458845389792,1.6066819607487597e-05,8.14981281214801,8.14981281214801,
teams,510,2478,0.0019261128022297588,0.0028438270705253045,-8.037071063473157,8.037071063473157,
military,170,253,0.0006420376007432529,0.00029035038290674015,8.003399050865879,8.003399050865879,
nasa,50,21,0.00018883458845389792,2.4100229411231395e-05,7.916967112445008,7.916967112445008,
government,187,294,0.0007062413608175782,0.0003374032117572395,7.899008375397986,7.899008375397986,
equipment,189,300,0.0007137947443557342,0.0003442889915890199,7.852886085363753,7.852886085363753,
maintenance,241,421,0.000910182716347788,0.0004831522181965913,7.843054632197094,7.843054632197094,
manufacturing,172,268,0.0006495909842814089,0.0003075648324861911,7.65399253868509,7.65399253868509,
building,350,1790,0.0013218421191772854,0.0020542576498144855,-7.560079476384127,7.560079476384127,
manpowergroup,47,6,0.00017750451314666404,6.885779831780399e-06,7.497736805816377,7.497736805816377,
cgi,122,2,0.00046075639582751095,2.2952599439267997e-06,7.449157463038924,7.449157463038924,
dental,310,607,0.0011707744484141672,0.0006966113929817837,7.441006182072667,7.441006182072667,
architecture,276,1478,0.0010423669282655166,0.001696197098561905,-7.4386306266448665,7.4386306266448665,System Design
air,64,53,0.00024170827322098936,6.082438851406019e-05,7.4291718610725805,7.4291718610725805,
secret,115,151,0.0004343195534439652,0.00017329212576647337,7.424266546672414,7.424266546672414,
posted,54,513,0.00020394135553020976,0.000588734175617224,-7.414030764309645,7.414030764309645,
leidos,48,5,0.000181281204915742,5.738149859816999e-06,7.350498002932607,7.350498002932607,
anduril,52,36,0.00019638797199205384,4.1314678990682396e-05,7.189969221585078,7.189969221585078,
teksystems,44,5,0.00016617443783943018,5.738149859816999e-06,7.134606692747325,7.134606692747325,
georgia,41,6,0.0001548443625321963,6.885779831780399e-06,7.12365695156289,7.12365695156289,
experts,115,160,0.0004343195534439652,0.00018362079551414396,7.042583081435442,7.042583081435442,
frameworks,165,973,0.0006231541418978631,0.001116643962720388,-6.936395001990718,6.936395001990718,
navy,41,21,0.0001548443625321963,2.4100229411231395e-05,6.932198486164972,6.932198486164972,
national,488,1102,0.0018430255833100438,0.0012646882291036665,6.932125363587558,6.932125363587558,
original,40,20,0.00015106767076311834,2.2952599439267995e-05,6.880578796481965,6.880578796481965,
learning,304,1537,0.0011481142977996994,0.0017639072669077456,-6.854378551278593,6.854378551278593,AI/LLM
analysis,379,816,0.0014313661804805462,0.0009364660571221342,6.829696977241335,6.829696977241335,
amazon,36,389,0.0001359609036868065,0.0004464280590937625,-6.8272650522946305,6.8272650522946305,
engineers,296,1498,0.0011179007636470757,0.0017191496980011728,-6.779087124528865,6.779087124528865,
aws,395,1883,0.0014917932487857936,0.0021609872372070817,-6.712544779882085,6.712544779882085,
experis,37,5,0.00013973759545588446,5.738149859816999e-06,6.702687110417765,6.702687110417765,
corrective,46,33,0.0001737278213775861,3.787178907479219e-05,6.6773791217881655,6.6773791217881655,
machine,140,846,0.0005287368476709142,0.0009708949562810363,-6.667767992101769,6.667767992101769,AI/LLM
obtain,98,133,0.0003701157933696399,0.00015263478627113218,6.653849975766236,6.653849975766236,
build,405,1913,0.001529560166476573,0.002195416136365984,-6.6233891962194225,6.6233891962194225,
sr,11,273,4.1543609459857546e-05,0.00031330298234600814,-6.571656893915722,6.571656893915722,
servicenow,79,96,0.0002983586497571587,0.00011017247730848638,6.558570185280983,6.558570185280983,
missions,54,51,0.00020394135553020976,5.852912857013339e-05,6.3931169404430435,6.3931169404430435,
north,70,82,0.0002643684238354571,9.410565770099879e-05,6.34760930718781,6.34760930718781,
personnel,62,67,0.00023415488968283344,7.689120812154778e-05,6.319302431694568,6.319302431694568,
system,817,2072,0.0030855571753366923,0.0023778893019081645,6.3177370487147435,6.3177370487147435,System Design
grammarly,36,21,0.0001359609036868065,2.4100229411231395e-05,6.301021607034142,6.301021607034142,
entry,30,11,0.00011330075307233876,1.2623929691597398e-05,6.226051834043427,6.226051834043427,
facilities,58,61,0.0002190481226065216,7.000542828976738e-05,6.219964178647545,6.219964178647545,
sex,325,706,0.0012274248249503365,0.0008102267602061602,6.199314829242762,6.199314829242762,
must,486,1144,0.0018354721997718877,0.0013128886879261294,6.19379549939993,6.19379549939993,
creates,74,93,0.00027947519091176893,0.00010672958739259618,6.179582147645326,6.179582147645326,
digital,145,831,0.000547620306516304,0.0009536805067015852,-6.170652843473822,6.170652843473822,
data,1883,7256,0.007111510601173796,0.008327203076566429,-6.158626424387226,6.158626424387226,
activities,204,395,0.0007704451208919035,0.0004533138389255429,6.152891276385498,6.152891276385498,
devops,202,1064,0.0007628917373537476,0.0012210782901690574,-6.137513764640494,6.137513764640494,
th,34,20,0.00012840752014865058,2.2952599439267995e-05,6.109982923238542,6.109982923238542,
plant,45,39,0.00016995112960850814,4.475756890657259e-05,6.098723195234561,6.098723195234561,
staffing,90,128,0.0003399022592170163,0.00014689663641131518,6.098673662577253,6.098673662577253,
manpower,29,5,0.0001095240613032608,5.738149859816999e-06,6.091683859903781,6.091683859903781,
interviewing,33,19,0.00012463082837957262,2.1804969467304595e-05,6.053266306102204,6.053266306102204,
scalable,125,738,0.0004720864711347448,0.000846950919308989,-6.048853478732107,6.048853478732107,System Design
network,285,608,0.0010763571541872181,0.000697759022953747,6.0403487666924445,6.0403487666924445,
jefferson,30,4,0.00011330075307233876,4.590519887853599e-06,6.025557677599181,6.025557677599181,
mentor,49,401,0.00018505789668481996,0.0004601996187573233,-6.022546382462708,6.022546382462708,Mgmt/Mentoring
serves,74,96,0.00027947519091176893,0.00011017247730848638,6.017564349430756,6.017564349430756,
jabil,27,7,0.00010197067776510488,8.033409803743798e-06,5.991914167098324,5.991914167098324,
fidelity,3,313,1.1330075307233875e-05,0.0003592081812245441,-5.963404764974312,5.963404764974312,
specialized,62,73,0.00023415488968283344,8.377698795332819e-05,5.951315388932947,5.951315388932947,
nuclear,32,19,0.00012085413661049468,2.1804969467304595e-05,5.912755061921073,5.912755061921073,
scalability,55,422,0.00020771804729928772,0.0004842998481685547,-5.90796659069594,5.90796659069594,System Design
architect,44,371,0.00016617443783943018,0.00042577071959842133,-5.9033696209644715,5.9033696209644715,
ml,84,551,0.0003172421086025485,0.0006323441145518333,-5.893087654368124,5.893087654368124,AI/LLM
app,37,337,0.00013973759545588446,0.0003867513005516657,-5.880231615217519,5.880231615217519,
temporary,37,28,0.00013973759545588446,3.2133639214975194e-05,5.8681838452167945,5.8681838452167945,
cad,29,15,0.0001095240613032608,1.7214449579450997e-05,5.818254840192586,5.818254840192586,
characteristic,153,281,0.0005778338406689276,0.0003224840221217153,5.80549188483673,5.80549188483673,
disability,642,1612,0.002424636115748049,0.0018499795148050004,5.803660732274844,5.803660732274844,
code,566,2439,0.0021376075412981245,0.002799069501618732,-5.797638743144151,5.797638743144151,
department,150,274,0.0005665037653616937,0.00031445061231797153,5.796168352600927,5.796168352600927,
practices,420,1888,0.0015862105430127426,0.002166725387066899,-5.7957059846868075,5.7957059846868075,
education,355,808,0.0013407255780226752,0.000927285017346427,5.7934009585393795,5.7934009585393795,
summer,26,10,9.819398599602692e-05,1.1476299719633997e-05,5.769294593316001,5.769294593316001,
stack,235,1166,0.0008875225657333203,0.0013381365473093241,-5.751596863668431,5.751596863668431,
sis,25,8,9.441729422694896e-05,9.181039775707199e-06,5.738013285898593,5.738013285898593,
requirements,966,2561,0.003648284248929308,0.002939080358198267,5.7374552504548495,5.7374552504548495,
travel,165,314,0.0006231541418978631,0.0003603558111965075,5.696822498427443,5.696822498427443,
destination,43,41,0.00016239774607035222,4.7052828850499393e-05,5.675221096358404,5.675221096358404,
expertise,218,1091,0.000823318805658995,0.0012520642994120691,-5.659323582721708,5.659323582721708,
now,122,211,0.00046075639582751095,0.00024214992408427735,5.656433924633243,5.656433924633243,
veteran,388,907,0.001465356406402248,0.0010409003845708036,5.641311934704035,5.641311934704035,
dynamics,36,29,0.0001359609036868065,3.328126918693859e-05,5.6403620561953085,5.6403620561953085,
role,740,3065,0.0027947519091176894,0.00351748586406782,-5.638924247093724,5.638924247093724,
betting,25,10,9.441729422694896e-05,1.1476299719633997e-05,5.632672055953156,5.632672055953156,
fortune,108,179,0.0004078827110604195,0.00020542576498144857,5.629496724756642,5.629496724756642,
google,60,427,0.00022660150614467752,0.0004900379980283717,-5.597314891543338,5.597314891543338,
click,85,128,0.00032101880037162646,0.00014689663641131518,5.587397932642887,5.587397932642887,
allegis,27,3,0.00010197067776510488,3.4428899158901995e-06,5.571007637587393,5.571007637587393,
reason,36,30,0.0001359609036868065,3.4428899158901994e-05,5.556021859636772,5.556021859636772,
node,50,379,0.00018883458845389792,0.0004349517593741285,-5.54797806948793,5.54797806948793,
visionary,26,13,9.819398599602692e-05,1.4919189635524197e-05,5.547393855661847,5.547393855661847,
gaming,49,54,0.00018505789668481996,6.19720184860236e-05,5.544854326138351,5.544854326138351,
kubernetes,119,678,0.00044942632052027704,0.000778093120991185,-5.527716288451773,5.527716288451773,
backend,96,580,0.000362562409831484,0.0006656253837387719,-5.51813850821934,5.51813850821934,
assistance,195,397,0.0007364548949702019,0.00045560909886946973,5.492275475742987,5.492275475742987,
tools,630,2642,0.002379315814519114,0.003032038385927302,-5.487693162825304,5.487693162825304,
eoe,32,24,0.00012085413661049468,2.7543119327121596e-05,5.4766056751728796,5.4766056751728796,
anticipated,44,46,0.00016617443783943018,5.279097871031639e-05,5.4379576367652875,5.4379576367652875,
guidewire,27,16,0.00010197067776510488,1.8362079551414397e-05,5.434122240095964,5.434122240095964,
gcp,47,358,0.00017750451314666404,0.00041085152996289713,-5.411771991913589,5.411771991913589,
interns,22,6,8.308721891971509e-05,6.885779831780399e-06,5.408136241908768,5.408136241908768,
materials,51,60,0.00019261128022297588,6.885779831780399e-05,5.400826999889645,5.400826999889645,
employer,520,1294,0.0019638797199205385,0.0014850331837206394,5.387611347952947,5.387611347952947,
clients,299,677,0.0011292308389543096,0.0007769454910192216,5.386916508782085,5.386916508782085,
anomalo,22,7,8.308721891971509e-05,8.033409803743798e-06,5.384350854241152,5.384350854241152,
word,42,43,0.00015862105430127426,4.9348088794426194e-05,5.3821265319158975,5.3821265319158975,
carbon,22,8,8.308721891971509e-05,9.181039775707199e-06,5.335757809933952,5.335757809933952,
world,547,1375,0.0020658503976856432,0.0015779912114496748,5.33414109128239,5.33414109128239,
models,119,664,0.00044942632052027704,0.0007620263013836975,-5.309266195704655,5.309266195704655,
dmi,25,14,9.441729422694896e-05,1.6066819607487597e-05,5.305490266703988,5.305490266703988,
sustainment,25,14,9.441729422694896e-05,1.6066819607487597e-05,5.305490266703988,5.305490266703988,
large,166,855,0.0006269308336669411,0.0009812236260287068,-5.2882395629621985,5.2882395629621985,
simulator,21,6,7.931052715063713e-05,6.885779831780399e-06,5.280213653848499,5.280213653848499,
intel,21,5,7.931052715063713e-05,5.738149859816999e-06,5.27875916596619,5.27875916596619,
netsmart,22,9,8.308721891971509e-05,1.0328669747670599e-05,5.269611437811209,5.269611437811209,
high,357,1598,0.0013482789615608312,0.0018339126951975129,-5.26709868595178,5.26709868595178,
color,376,896,0.0014200361051733123,0.0010282764548792062,5.256068826798752,5.256068826798752,
mars,21,7,7.931052715063713e-05,8.033409803743798e-06,5.247049349859853,5.247049349859853,
creed,97,163,0.000366339101600562,0.00018706368543003416,5.241289869856688,5.241289869856688,
job,1000,2712,0.0037766917690779584,0.00311237248396474,5.240856971927152,5.240856971927152,
usd,47,349,0.00017750451314666404,0.0004005228602152265,-5.239747026256225,5.239747026256225,
protected,502,1253,0.001895899268077135,0.00143798035487014,5.238067985632859,5.238067985632859,
caci,35,32,0.00013218421191772854,3.6724159102828795e-05,5.236556749336633,5.236556749336633,
mexico,42,45,0.00015862105430127426,5.164334873835299e-05,5.230319279215315,5.230319279215315,
salesforce,16,204,6.042706830524734e-05,0.00023411651428053356,-5.217716252466282,5.217716252466282,
requisition,44,49,0.00016617443783943018,5.623386862620659e-05,5.217016449746279,5.217016449746279,
fanatics,32,27,0.00012085413661049468,3.09860092430118e-05,5.208488942525158,5.208488942525158,
ci,153,796,0.0005778338406689276,0.0009135134576828662,-5.194658342357146,5.194658342357146,
aveva,26,17,9.819398599602692e-05,1.9509709523377798e-05,5.181295411423312,5.181295411423312,
intern,55,1,0.00020771804729928772,1.1476299719633998e-06,5.167335207929675,5.167335207929675,
va,57,76,0.00021527143083744364,8.721987786921838e-05,5.1562104152092285,5.1562104152092285,
financial,244,1153,0.0009215127916550219,0.0013232173576737999,-5.143145293015393,5.143145293015393,
category,53,68,0.0002001646637611318,7.803883809351119e-05,5.140678067915359,5.140678067915359,
strong,538,2263,0.0020318601717639415,0.0025970866265531737,-5.13368621875213,5.13368621875213,
interests,33,30,0.00012463082837957262,3.4428899158901994e-05,5.0997731216566695,5.0997731216566695,
domestic,53,69,0.0002001646637611318,7.918646806547459e-05,5.0771413086585175,5.0771413086585175,
clearlyrated,36,36,0.0001359609036868065,4.1314678990682396e-05,5.053690790277078,5.053690790277078,
events,78,124,0.00029458195798808077,0.00014230611652346156,5.03453336389107,5.03453336389107,
outcomesensuring,19,5,7.175714361248121e-05,5.738149859816999e-06,5.0268863193146585,5.0268863193146585,
talentmaintaining,19,5,7.175714361248121e-05,5.738149859816999e-06,5.0268863193146585,5.0268863193146585,
reflectionbuilding,19,5,7.175714361248121e-05,5.738149859816999e-06,5.0268863193146585,5.0268863193146585,
philippines,22,222,8.308721891971509e-05,0.00025477385377587473,-5.014087640774922,5.014087640774922,
meaningful,103,183,0.00038899925221502974,0.00021001628486930215,5.004039905067774,5.004039905067774,
block,7,159,2.643684238354571e-05,0.00018247316554218058,-5.003179757264512,5.003179757264512,
discrimination,92,157,0.0003474556427551722,0.00018017790559825376,5.001560074308652,5.001560074308652,
activate,19,4,7.175714361248121e-05,4.590519887853599e-06,4.99910829847727,4.99910829847727,
industrial,66,98,0.00024926165675914525,0.00011246773725241318,4.9978655462120605,4.9978655462120605,
tickets,30,26,0.00011330075307233876,2.9838379271048393e-05,4.97966649612815,4.97966649612815,
article,23,225,8.686391068879305e-05,0.00025821674369176493,-4.977778055753962,4.977778055753962,
capitalone,22,220,8.308721891971509e-05,0.00025247859383194796,-4.971544301940439,4.971544301940439,
cd,146,752,0.000551396998285382,0.0008630177389164766,-4.959105025149377,4.959105025149377,
bridge,27,21,0.00010197067776510488,2.4100229411231395e-05,4.957783637709957,4.957783637709957,
adjustment,19,7,7.175714361248121e-05,8.033409803743798e-06,4.952931444604474,4.952931444604474,
victim,38,41,0.00014351428722496242,4.7052828850499393e-05,4.95238310066958,4.95238310066958,
leadership,147,754,0.0005551736900544599,0.0008653129988604035,-4.928105969479406,4.928105969479406,Mgmt/Mentoring
exempt,36,283,0.0001359609036868065,0.00032477928206564214,-4.922726945632746,4.922726945632746,
office,269,618,0.0010159300858819708,0.0007092353226733811,4.92109905397094,4.92109905397094,
extent,27,241,0.00010197067776510488,0.00027657882324317934,-4.917938143254869,4.917938143254869,
docusign,43,1,0.00016239774607035222,1.1476299719633998e-06,4.909886436210328,4.909886436210328,
js,89,514,0.0003361255674479383,0.0005898818055891875,-4.902589329529336,4.902589329529336,
sciences,54,74,0.00020394135553020976,8.492461792529158e-05,4.894909379847402,4.894909379847402,
brand,53,72,0.0002001646637611318,8.262935798136479e-05,4.888563825428692,4.888563825428692,
button,30,27,0.00011330075307233876,3.09860092430118e-05,4.887550511734322,4.887550511734322,
patterns,84,492,0.0003172421086025485,0.0005646339462059927,-4.886946091894208,4.886946091894208,
actalentaccommodation,18,4,6.798045184340325e-05,4.590519887853599e-06,4.877235995956817,4.877235995956817,
actalentservices,18,4,6.798045184340325e-05,4.590519887853599e-06,4.877235995956817,4.877235995956817,
ar,23,15,8.686391068879305e-05,1.7214449579450997e-05,4.877211975202021,4.877211975202021,
cross,184,898,0.0006949112855103444,0.001030571714823133,-4.8766736289814965,4.8766736289814965,Mgmt/Mentoring
road,38,42,0.00014351428722496242,4.820045882246279e-05,4.873356049556081,4.873356049556081,
robust,69,427,0.00026059173206637915,0.0004900379980283717,-4.870342918801597,4.870342918801597,
categories,31,29,0.00011707744484141672,3.328126918693859e-05,4.8689995343868215,4.8689995343868215,
status,886,2409,0.0033461489074030713,0.00276464060245983,4.867450466287647,4.867450466287647,
london,20,10,7.553383538155917e-05,1.1476299719633997e-05,4.865506440026942,4.865506440026942,
registered,41,48,0.0001548443625321963,5.508623865424319e-05,4.860049823967182,4.860049823967182,
distributed,125,660,0.0004720864711347448,0.0007574357814958438,-4.851647196434827,4.851647196434827,System Design
equal,525,1347,0.001982763178765928,0.0015458575722346996,4.841939789005091,4.841939789005091,
climate,21,12,7.931052715063713e-05,1.3771559663560798e-05,4.838283338394267,4.838283338394267,
latest,53,355,0.0002001646637611318,0.00040740864004700693,-4.828447800607221,4.828447800607221,
like,296,1327,0.0011179007636470757,0.0015229049727954315,-4.8194272991576135,4.8194272991576135,
new,776,3096,0.002930712812804496,0.003553062393198686,-4.818075521204133,4.818075521204133,
modification,29,26,0.0001095240613032608,2.9838379271048393e-05,4.814771762603173,4.814771762603173,
apply,472,1196,0.0017825985150047964,0.0013725654464682262,4.812059440917349,4.812059440917349,
readiness,30,28,0.00011330075307233876,3.2133639214975194e-05,4.79574687599601,4.79574687599601,
complex,351,1533,0.0013256188109463634,0.0017593167470198918,-4.794594614919202,4.794594614919202,
wide,132,261,0.0004985233135182905,0.00029953142268244733,4.769844762464494,4.769844762464494,
skillz,32,32,0.00012085413661049468,3.6724159102828795e-05,4.764706007189186,4.764706007189186,
jobot,33,34,0.00012463082837957262,3.9019419046755595e-05,4.752382515173828,4.752382515173828,
enrolled,17,4,6.420376007432529e-05,4.590519887853599e-06,4.748423579622172,4.748423579622172,
wellness,108,202,0.0004078827110604195,0.00023182125433660676,4.73983810101006,4.73983810101006,
persistent,21,13,7.931052715063713e-05,1.4919189635524197e-05,4.734414070715855,4.734414070715855,
history,40,292,0.00015106767076311834,0.00033510795181331275,-4.727425351612199,4.727425351612199,
virginia,37,42,0.00013973759545588446,4.820045882246279e-05,4.720875784164954,4.720875784164954,
action,142,288,0.0005362902312090701,0.00033051743192545916,4.720381753848943,4.720381753848943,
pet,42,52,0.00015862105430127426,5.9676758542096786e-05,4.712117931716369,4.712117931716369,
reports,114,218,0.00043054286167488727,0.00025018333388802114,4.696700661431213,4.696700661431213,
insurance,362,889,0.001367162420406221,0.0010202430450754623,4.696531460284117,4.696531460284117,
scale,192,916,0.000725124819662968,0.0010512290543184743,-4.68559183101547,4.68559183101547,
mentoring,41,294,0.0001548443625321963,0.0003374032117572395,-4.673791731644867,4.673791731644867,Mgmt/Mentoring
intelligence,141,287,0.0005325135394399921,0.0003293698019534957,4.671597017597044,4.671597017597044,AI/LLM
