term,freq_2024,freq_2026,count_2024,count_2026,ratio,level
skillsa,0.03965750337990086,0.0,176,0,inf,overall
grammar,0.036953582694907616,0.00023702299123014932,164,1,155.90716538981525,overall
onyou,0.036953582694907616,0.0,164,0,inf,overall
dataannotation,0.036728255971158176,0.0,163,0,inf,overall
positionyou,0.036728255971158176,0.0,163,0,inf,overall
chatbotwrite,0.030193780982424517,0.0,134,0,inf,overall
reassignment,0.02794051374493015,0.00047404598246029864,124,2,58.94051374493015,overall
virginiasenior,0.011716989634970707,0.0,52,0,inf,overall
leavepaid,0.010365029292474088,0.0,46,0,inf,overall
descriptionthis,0.010139702568724651,0.0,45,0,inf,overall
