ghost_job_risk,source,period,is_swe,is_aggregator,seniority_patched,n
high,kaggle_arshkon,2024-04,False,True,entry,16
high,kaggle_arshkon,2024-04,False,False,entry,62
high,kaggle_arshkon,2024-04,True,False,entry,2
high,kaggle_asaniczka,2024-01,False,False,mid-senior,3
high,kaggle_asaniczka,2024-01,False,False,entry,28
high,kaggle_asaniczka,2024-01,False,True,entry,4
high,kaggle_asaniczka,2024-01,False,False,associate,1
high,kaggle_asaniczka,2024-01,True,False,entry,2
high,scraped,2026-03,False,True,entry,1
high,scraped,2026-03,False,False,entry,6
high,scraped,2026-03,True,True,entry,2
medium,kaggle_arshkon,2024-04,False,False,associate,1
medium,kaggle_arshkon,2024-04,False,True,entry,16
medium,kaggle_arshkon,2024-04,False,False,entry,62
medium,kaggle_arshkon,2024-04,True,False,entry,2
medium,kaggle_asaniczka,2024-01,False,True,entry,12
medium,kaggle_asaniczka,2024-01,False,False,mid-senior,2
medium,kaggle_asaniczka,2024-01,False,False,entry,110
medium,kaggle_asaniczka,2024-01,True,False,mid-senior,1
medium,kaggle_asaniczka,2024-01,True,True,entry,1
medium,kaggle_asaniczka,2024-01,True,False,entry,8
medium,scraped,2026-03,False,False,entry,9
medium,scraped,2026-03,False,True,entry,1
medium,scraped,2026-03,True,False,entry,2
