pair,left_label,right_label,n
seniority_native__seniority_final,associate,associate,1583
seniority_native__seniority_final,associate,entry,48
seniority_native__seniority_final,associate,mid-senior,616
seniority_native__seniority_final,director,director,19
seniority_native__seniority_final,director,mid-senior,49
seniority_native__seniority_final,entry,entry,1180
seniority_native__seniority_final,entry,mid-senior,25
seniority_native__seniority_final,executive,director,9
seniority_native__seniority_final,executive,mid-senior,7
seniority_native__seniority_final,intern,entry,85
seniority_native__seniority_final,mid-senior,director,97
seniority_native__seniority_final,mid-senior,entry,102
seniority_native__seniority_final,mid-senior,mid-senior,25031
seniority_imputed__seniority_final,associate,associate,154
seniority_imputed__seniority_final,associate,entry,64
seniority_imputed__seniority_final,associate,mid-senior,70
seniority_imputed__seniority_final,director,director,117
seniority_imputed__seniority_final,director,mid-senior,1
seniority_imputed__seniority_final,entry,associate,2
seniority_imputed__seniority_final,entry,entry,350
seniority_imputed__seniority_final,entry,mid-senior,4
seniority_imputed__seniority_final,mid-senior,associate,86
seniority_imputed__seniority_final,mid-senior,director,1
seniority_imputed__seniority_final,mid-senior,entry,84
seniority_imputed__seniority_final,mid-senior,mid-senior,19007
seniority_imputed__seniority_final,unknown,associate,1374
seniority_imputed__seniority_final,unknown,director,14
seniority_imputed__seniority_final,unknown,entry,957
seniority_imputed__seniority_final,unknown,mid-senior,7598
seniority_imputed__seniority_final,unknown,unknown,1117
seniority_native__seniority_imputed,associate,associate,121
seniority_native__seniority_imputed,associate,entry,50
seniority_native__seniority_imputed,associate,mid-senior,702
seniority_native__seniority_imputed,associate,unknown,1374
seniority_native__seniority_imputed,director,director,11
seniority_native__seniority_imputed,director,mid-senior,50
seniority_native__seniority_imputed,director,unknown,7
seniority_native__seniority_imputed,entry,associate,64
seniority_native__seniority_imputed,entry,entry,87
seniority_native__seniority_imputed,entry,mid-senior,109
seniority_native__seniority_imputed,entry,unknown,945
seniority_native__seniority_imputed,executive,director,2
seniority_native__seniority_imputed,executive,mid-senior,7
seniority_native__seniority_imputed,executive,unknown,7
seniority_native__seniority_imputed,intern,entry,73
seniority_native__seniority_imputed,intern,unknown,12
seniority_native__seniority_imputed,mid-senior,associate,70
seniority_native__seniority_imputed,mid-senior,director,98
seniority_native__seniority_imputed,mid-senior,entry,106
seniority_native__seniority_imputed,mid-senior,mid-senior,17477
seniority_native__seniority_imputed,mid-senior,unknown,7479
