source,source_platform,seniority_native,n
kaggle_arshkon,linkedin,mid-senior,39657
kaggle_arshkon,linkedin,entry,34514
kaggle_arshkon,linkedin,,28341
kaggle_arshkon,linkedin,associate,9441
kaggle_arshkon,linkedin,director,3595
kaggle_arshkon,linkedin,intern,1368
kaggle_arshkon,linkedin,executive,1184
kaggle_asaniczka,linkedin,mid-senior,941350
kaggle_asaniczka,linkedin,associate,117429
scraped,indeed,,13567
scraped,linkedin,mid-senior,13225
scraped,linkedin,entry,6706
scraped,linkedin,,3900
scraped,linkedin,associate,1252
scraped,linkedin,director,959
scraped,linkedin,intern,600
scraped,linkedin,executive,211
