industry,oes_employment,oes_share,swe_postings,our_share,share_gap
Computer Systems Design and Related Services,582330.0,0.5218525123444067,4179.0,0.4684977578475336,-0.05335475449687305
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",86980.0,0.07794675102384643,0.0,0.0,-0.07794675102384643
Computer and Electronic Product Manufacturing,76580.0,0.06862683597845666,10.0,0.0011210762331838565,-0.0675057597452728
Credit Intermediation and Related Activities,74800.0,0.0670316966726111,1004.0,0.11255605381165919,0.045524357139048094
"Management, Scientific, and Technical Consulting Services",57100.0,0.05116991818189965,444.0,0.04977578475336323,-0.0013941334285364204
Insurance Carriers,49730.0,0.044565324539157083,0.0,0.0,-0.044565324539157083
"Web Search Portals, Libraries, Archives, and Other Information Services",49420.0,0.04428751937915028,799.0,0.08957399103139013,0.045286471652239854
Engineering Services,38690.0,0.03467187626020486,0.0,0.0,-0.03467187626020486
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",32550.0,0.029169541800715123,0.0,0.0,-0.029169541800715123
"Agencies, Brokerages, and Other Insurance Related Activities",21940.0,0.01966143616306267,0.0,0.0,-0.01966143616306267
Telecommunications,20850.0,0.018684637374651623,95.0,0.010650224215246636,-0.008034413159404986
"Other Professional, Scientific, and Technical Services",14260.0,0.012779037360313293,0.0,0.0,-0.012779037360313293
"Newspaper, Periodical, Book, and Directory Publishers",10660.0,0.009552912921524524,0.0,0.0,-0.009552912921524524
Other / Unmapped,0.0,0.0,945.0,0.10594170403587444,0.10594170403587444
Miscellaneous Manufacturing,0.0,0.0,901.0,0.10100896860986547,0.10100896860986547
Hospitals,0.0,0.0,217.0,0.024327354260089685,0.024327354260089685
Retail Trade,0.0,0.0,136.0,0.015246636771300448,0.015246636771300448
Insurance Carriers and Related Activities,0.0,0.0,111.0,0.012443946188340807,0.012443946188340807
Educational Services,0.0,0.0,49.0,0.005493273542600897,0.005493273542600897
Government,0.0,0.0,25.0,0.002802690582959641,0.002802690582959641
Software Publishers,0.0,0.0,5.0,0.0005605381165919282,0.0005605381165919282
Ambulatory Health Care Services,0.0,0.0,0.0,0.0,0.0
Employment Services,0.0,0.0,0.0,0.0,0.0
Management of Companies and Enterprises,0.0,0.0,0.0,0.0,0.0
Scientific Research and Development Services,0.0,0.0,0.0,0.0,0.0
Transportation Equipment Manufacturing,0.0,0.0,0.0,0.0,0.0
