comparison,corpus_a,corpus_b,feature_type,rank_abs_z,term,category,z_score,log_odds,winner_corpus,loser_corpus,count_corpus_a,count_corpus_b,count_a,count_b,winner
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,1.0,cplusplus,tech_stack,7.819762087881282,1.9618175982956743,junior_2024,junior_2026,137.0,0.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,2.0,llm,ai_tool,-6.902397448924834,-1.6106667846632803,junior_2026,junior_2024,11.0,81.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,3.0,frameworks,tech_stack,-6.555262751640349,-0.5679594159932337,junior_2026,junior_2024,170.0,267.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,4.0,agentic,ai_tool,-5.549406487973093,-2.3769660463641467,junior_2026,junior_2024,0.0,47.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,5.0,llms,ai_tool,-5.143733802227367,-1.246895790120143,junior_2026,junior_2024,14.0,56.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,6.0,claude,ai_tool,-3.9646465223871483,-2.3764255961866194,junior_2026,junior_2024,0.0,24.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,7.0,pytorch,tech_stack,-3.9061496703603193,-1.1569550392861228,junior_2026,junior_2024,10.0,35.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,8.0,reactjs,tech_stack,-3.800302682961476,-0.7055937308613984,junior_2026,junior_2024,34.0,64.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,9.0,genai,ai_tool,-3.754856610750045,-1.5199018084742235,junior_2026,junior_2024,4.0,25.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,10.0,database,tech_stack,3.726203594774267,0.381016940893101,junior_2024,junior_2026,225.0,106.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,11.0,databases,tech_stack,-3.6218631614479606,-0.37597426937740686,junior_2026,junior_2024,133.0,164.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,12.0,pandas,tech_stack,-3.3657233501799735,-1.2462881970525341,junior_2026,junior_2024,6.0,24.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,13.0,typescript,tech_stack,-3.2869404427147706,-0.4299883013253991,junior_2026,junior_2024,81.0,107.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,14.0,scala,tech_stack,3.2437559029670595,0.8728971203852751,junior_2024,junior_2026,47.0,11.0,,,
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,unigram,15.0,numpy,tech_stack,-3.1206942958613286,-1.3564414760075092,junior_2026,junior_2024,4.0,19.0,,,
