term,count_a,count_b,log_odds,z_score,winner,feature_type,comparison,corpus_a,corpus_b,category,winner_corpus
you'll,1010,3152,-0.6142164902660419,-17.673517807636113,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
observability,161,971,-1.2043859974770879,-15.161697087425079,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2026
database,933,705,0.7360794528290295,15.11635745573034,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
llm,61,727,-1.7684518052557845,-15.037036377443963,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
cplusplus,474,0,4.214678570534195,14.104736248835133,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
html,427,264,0.9253720896903301,12.133924314439872,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
agentic,2,537,-3.1355845970422545,-11.99581744460935,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
javascript,899,824,0.5513991143708266,11.707431608910028,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
exempt,275,148,1.056280658702116,10.656013588198007,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
enabling,110,533,-1.0099536261217512,-10.208403890948318,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
governance,197,726,-0.7628661104343113,-9.935210185304905,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
inference,13,302,-2.244269518481735,-9.867432638469547,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
llms,61,392,-1.257932240911516,-9.829090900548312,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
capabilities,547,1450,-0.45917324876624654,-9.477563897533237,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
rdbms,158,64,1.3232091883719272,9.233428731376344,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
onboarding,38,302,-1.4387777577032415,-9.125643925188466,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
retrieval,54,341,-1.242647516926393,-9.114611224116043,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
architectures,307,923,-0.5756593050917314,-9.080239486567312,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,sys_design,senior_2026
pwc,0,320,-3.2811532172596616,-9.022208089189142,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
orchestration,252,799,-0.624666185676559,-8.999768768258118,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
chatbots,109,19,2.0904775421405573,8.981154066233417,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
latency,85,399,-0.9812452449517215,-8.681389159678815,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,sys_design,senior_2026
desired,345,276,0.6797533962040214,8.623266918405374,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
translate,193,634,-0.6570712265734402,-8.328809609756103,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
reasonably,15,217,-1.9143876001484958,-8.314806545013724,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
annually,62,325,-1.0793890030634685,-8.277497066080626,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
lowest,7,210,-2.401217817185036,-8.17432538563626,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
genai,23,221,-1.5953850968904062,-8.077748969113953,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
specifications,323,269,0.6413343979850481,7.958346775789695,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
nodejs,355,309,0.5992778583004785,7.888412010002944,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
determined,105,412,-0.8194185051193319,-7.860861970177101,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
preferably,221,156,0.7986117282077005,7.830328165269584,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
claude,0,241,-3.2808605228737253,-7.8290240787134024,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,ai_tool,senior_2026
directory,122,54,1.2399173772444385,7.828506391847486,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
complexity,89,363,-0.8544689994905452,-7.587836500971323,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
workloads,62,297,-0.9991501699761836,-7.570383032405329,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
one's,140,76,1.0475525273623152,7.560546898105441,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
collaborating,191,592,-0.6033024030594003,-7.541189907963901,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
endorse,117,54,1.2005599706241163,7.524645906028253,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
throughput,27,207,-1.408238619870069,-7.493031913265199,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,sys_design,senior_2026
strengths,36,229,-1.24866782908091,-7.485283517277884,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
disruptors,97,36,1.404606973194137,7.457220608405043,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
accepted,30,213,-1.343095616721408,-7.456847355730145,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
elt,43,245,-1.152684789219597,-7.443245238632392,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
similar,353,924,-0.4466176271933291,-7.390248844597643,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
highest,107,397,-0.7683649742211873,-7.382036487090904,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
conversational,10,168,-2.0232924989853016,-7.353344698516718,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
benchmarks,11,167,-1.9498920168542764,-7.308791475023971,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
proficient,368,344,0.5311999422743092,7.252721701614759,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
interviews,35,218,-1.2303805855944558,-7.25240680198997,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
angular,425,416,0.48736696665735924,7.235341894719344,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
outputs,21,181,-1.5060683672338397,-7.178977725215801,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
actions,112,399,-0.7311733963198046,-7.144983617915775,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
offs,23,184,-1.4439664738873548,-7.131512493403568,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
according,97,41,1.283063370525248,7.114905383555065,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
copssc,110,54,1.142426374039375,7.081505837255813,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
updated,116,60,1.093143491804204,7.074195108030557,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
delivering,399,998,-0.40416775733769406,-7.057295872867584,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
iteration,11,156,-1.8993585150239527,-7.042287846335663,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
reactjs,165,112,0.8356552526677534,7.000651578673033,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
jquery,74,21,1.6525812454963082,6.9816004441778,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
utilize,255,216,0.624957112116685,6.921965376145763,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
sponsorship,134,435,-0.6457709002259273,-6.808532804662015,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
interpersonal,193,147,0.7260947165332405,6.79693998822451,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
focuses,45,227,-1.045059479507895,-6.792815849365568,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
guardrails,6,141,-2.2511294126372983,-6.739433927946752,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
generative,104,364,-0.7148723173038753,-6.7142649138582895,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
scrum,316,296,0.5290998516310816,6.697764091985822,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,method,senior_2024
measurable,20,160,-1.4438957066036835,-6.64984377227727,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
experimenting,97,48,1.1348407322482394,6.622533436435766,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
rigorous,18,152,-1.4890015228362596,-6.55300446329305,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
evaluating,64,265,-0.8679169711907564,-6.549477852395979,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
flows,38,201,-1.0870637590896948,-6.5342079829630055,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
isn't,18,151,-1.4835100061613726,-6.523038676744224,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
marrying,81,34,1.2895049657190523,6.5193468567062185,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
datasets,95,336,-0.7244211348781588,-6.512815040300935,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
engineerlocation,101,0,4.21242273159663,6.507347125199445,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2024
gpu,43,212,-1.0246354539822757,-6.490453316245958,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
git,477,510,0.40311140105810495,6.480227949147668,A,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,tech_stack,senior_2024
reflects,68,272,-0.8365953116987193,-6.476104019316523,B,unigram,T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,noise,senior_2026
