term,count_a,count_b,log_odds,z_score,winner,feature_type,comparison,corpus_a,corpus_b,category,winner_corpus
obtain,101,126,0.9349700493521285,7.348548239546334,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
clients,274,555,0.4997385883281904,7.176579561428669,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
betting,25,6,2.39326489298245,5.800371674978668,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
frameworks,170,1024,-0.41978631177569437,-5.776339571759177,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,tech_stack,senior_2024
vaccination,25,8,2.15143824963382,5.724709857937595,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
covid,29,16,1.6732436191595905,5.678246849305506,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
anticipated,35,29,1.3061487904193934,5.458567373052934,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
sustainment,24,10,1.9223487987816297,5.449313981826694,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
simulator,21,6,2.2477286452069833,5.2844908599326885,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
clearlyrated's,36,33,1.2143334920210354,5.28448999454748,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
thousands,71,108,0.754982478031506,5.201529386441021,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
instructions,36,38,1.0860133412041,4.896662016928341,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
pursuing,21,12,1.6416629045690438,4.789981365533146,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
outcomesensuring,17,3,2.6399294256943087,4.773578584433317,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
reflectionbuilding,17,3,2.6399294256943087,4.773578584433317,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
talentmaintaining,17,3,2.6399294256943087,4.773578584433317,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
expertise,199,1065,-0.32726950951536704,-4.77144539356485,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,senior_2024
citizenship,52,75,0.8028571138587797,4.678950654588008,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
optional,21,14,1.5028963165328086,4.58392755595077,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
gcp,48,367,-0.5973166695670553,-4.561904707666776,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,tech_stack,senior_2024
earlier,15,4,2.3056087472654507,4.479643608649801,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
date,130,279,0.4470912959309432,4.472900798254636,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
certifications,112,234,0.47080159897959284,4.349039285557049,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,credential,junior_2024
confirming,14,3,2.485586266228765,4.3443474896290155,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
chatbots,1,109,-1.7381271840492474,-4.303155252048689,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,senior_2024
anticipates,17,10,1.6155765508214817,4.2772945036256536,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
initiates,13,3,2.4252599399453647,4.184708799656023,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
sharepoint,36,48,0.8738090426644183,4.163320728393515,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
heroku,14,6,1.8974027673850973,4.144103649987188,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
robust,63,414,-0.4849670278581142,-4.126471415405057,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,senior_2024
kubernetes,125,692,-0.3533000441832277,-4.106783212170812,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,tech_stack,senior_2024
transitioning,16,10,1.5610253990566356,4.080330085551185,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
mlops,1,98,-1.720085430996594,-4.0724889934479656,B,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,senior_2024
what's,49,79,0.7022701143054819,4.069981989086372,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
continually,39,56,0.8067362480223155,4.067662497866238,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
measured,13,5,1.9922358911405578,4.0534235771222855,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
feasibility,28,33,0.9856881129494264,4.025081967183539,A,unigram,T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,noise,junior_2024
