tech,category,seniority_final,rate_2024_04,rate_2026_03,per1k_2024_04,per1k_2026_03,fold_change,char_fold_change,direction,abs_log2
AWS,cloud_devops,director,40.0,50.0,0.29561945713517873,0.34169429750183505,1.24999999999375,1.1558586185676165,rising,0.321928094880149
AWS,cloud_devops,mid-senior,33.057851239669425,41.21682075753057,0.38770167457222504,0.38675579907542806,1.2468088279078338,0.9975603007250332,rising,0.3182402749730674
Java,languages,director,45.0,38.46153846153847,0.29561945713517873,0.1645194765749576,0.8547008547040836,0.5565245218050813,declining,0.22650852980322955
API design,backend_infra,mid-senior,26.877470355731226,37.84670444378169,0.25638010684322754,0.2966459272981336,1.408120032966693,1.157055166228138,rising,0.4937703194757349
API design,backend_infra,unknown,24.501758499413835,35.984848484848484,0.3739723181337,0.29137415938555017,1.468663911826602,0.7791329611253396,rising,0.5545042881911121
Java,languages,entry,30.012936610608023,35.82887700534759,0.29105999660075915,0.31978423869778444,1.1937811174562023,1.0986883884209526,rising,0.255538339359608
Java,languages,mid-senior,31.620553359683797,32.26960930509991,0.32547545478679235,0.2174620243282556,1.0205263942731353,0.6681364799154237,rising,0.02931349583906068
Azure,cloud_devops,mid-senior,26.12288896873877,27.438115120787355,0.3951769022737218,0.3088642149967498,1.0503476531088183,0.7815846863469473,rising,0.0708669225599566
AWS,cloud_devops,associate,22.857142857142858,27.192982456140353,0.20604848458207872,0.2787630610106603,1.1896929824478413,1.3529003196658584,rising,0.25058931315703603
API design,backend_infra,director,35.0,26.923076923076923,0.29561945713517873,0.11389809916727833,0.7692307692373628,0.38528620844435696,declining,0.3785116232413636
JavaScript,languages,entry,22.121604139715394,26.38146167557932,0.18270919494646198,0.20642157206946934,1.1925654897704072,1.1297820670720682,rising,0.25406849404857584
API design,backend_infra,associate,19.523809523809526,26.31578947368421,0.18681729268775138,0.2739568013380627,1.3478818998538118,1.4664424097479827,rising,0.4306940944727439
SQL,data,mid-senior,30.039525691699602,26.274977631971367,0.2808261217589332,0.16706158757146378,0.874680176436903,0.5948933344597461,declining,0.193172497615765
SQL,data,entry,26.13195342820181,25.49019607843137,0.25423488754178236,0.19542370142642382,0.9754416618141799,0.7686738179300155,flat,0.035872502655960856
Kubernetes,cloud_devops,mid-senior,18.07402084081926,24.276767074261855,0.14021102769834506,0.1358109671115416,1.3431857408889794,0.9686182989480099,rising,0.4256588199781486
AWS,cloud_devops,entry,24.191461836998705,23.52941176470588,0.2839782448586482,0.20134563177267908,0.9726329034298824,0.7090178057966454,flat,0.04003269721145075
Java,languages,associate,23.809523809523807,22.807017543859647,0.22802698960416712,0.22589420461208676,0.9578947368438737,0.9906467870911708,flat,0.062060968129588084
SQL,data,associate,27.61904761904762,21.929824561403507,0.2527528077540166,0.18744412723130605,0.7940108892996541,0.7416104657959702,declining,0.33276930183791525
JavaScript,languages,associate,15.238095238095239,21.052631578947366,0.14560759577133564,0.1634128288683181,1.3815789473433797,1.1222823086967368,rising,0.4663180041963881
REST,backend_infra,mid-senior,19.511318720804887,20.548762302415746,0.14000899451722354,0.10831981978965512,1.0531713717767044,0.7736632949154321,rising,0.07474021043401977
CI/CD,cloud_devops,entry,14.489003880983182,20.499108734402853,0.10764262648008611,0.12774449746922076,1.4148045581582822,1.186746379754187,rising,0.5006027721736324
JavaScript,languages,mid-senior,22.421846927775782,20.45929018789144,0.21536737107555598,0.11865837091925344,0.9124712274542544,0.5509579783404948,declining,0.13214902714544086
HTML,frontend,unknown,22.27432590855803,20.454545454545457,0.32846245931319684,0.1087796861706054,0.9183014354103666,0.33117844598399876,declining,0.12296029420187993
REST,backend_infra,unknown,18.757327080890974,20.075757575757574,0.20083698566439448,0.0776997758361467,1.0702888257538283,0.3868798179390418,rising,0.09800017163062225
Java,languages,unknown,26.846424384525204,20.075757575757574,0.4828002414001207,0.11525466749028429,0.7478000529404515,0.23872123161605,declining,0.41927552155578424
