column,source,subset,total,non_null,non_null_pct,n_distinct
uid,kaggle_arshkon,all_linkedin,118100,118100,100.0,118100
uid,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1058779
uid,scraped,all_linkedin,145583,145583,100.0,145583
job_id,kaggle_arshkon,all_linkedin,118100,118100,100.0,118100
job_id,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1058779
job_id,scraped,all_linkedin,145583,145583,100.0,145583
source,kaggle_arshkon,all_linkedin,118100,118100,100.0,1
source,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1
source,scraped,all_linkedin,145583,145583,100.0,1
source_platform,kaggle_arshkon,all_linkedin,118100,118100,100.0,1
source_platform,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1
source_platform,scraped,all_linkedin,145583,145583,100.0,1
site,kaggle_arshkon,all_linkedin,118100,118100,100.0,1
site,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1
site,scraped,all_linkedin,145583,145583,100.0,1
title,kaggle_arshkon,all_linkedin,118100,118100,100.0,71747
title,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,485877
title,scraped,all_linkedin,145583,145583,100.0,79259
title_normalized,kaggle_arshkon,all_linkedin,118100,118100,100.0,67808
title_normalized,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,462887
title_normalized,scraped,all_linkedin,145583,145583,100.0,73665
company_name,kaggle_arshkon,all_linkedin,118100,116388,98.55,24423
company_name,kaggle_asaniczka,all_linkedin,1058779,1058773,100.0,69371
company_name,scraped,all_linkedin,145583,145583,100.0,21670
company_name_normalized,kaggle_arshkon,all_linkedin,118100,116388,98.55,24423
company_name_normalized,kaggle_asaniczka,all_linkedin,1058779,1058773,100.0,69371
company_name_normalized,scraped,all_linkedin,145583,145583,100.0,21670
location,kaggle_arshkon,all_linkedin,118100,118100,100.0,8526
location,kaggle_asaniczka,all_linkedin,1058779,1058766,100.0,20547
location,scraped,all_linkedin,145583,140589,96.57,3484
date_posted,kaggle_arshkon,all_linkedin,118100,118100,100.0,13
date_posted,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,6
date_posted,scraped,all_linkedin,145583,1972,1.35,12
scrape_date,kaggle_arshkon,all_linkedin,118100,0,0.0,0
scrape_date,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
scrape_date,scraped,all_linkedin,145583,145583,100.0,12
description,kaggle_arshkon,all_linkedin,118100,118093,99.99,107034
description,kaggle_asaniczka,all_linkedin,1058779,1015671,95.93,783046
description,scraped,all_linkedin,145583,145580,100.0,119934
description_raw,kaggle_arshkon,all_linkedin,118100,118093,99.99,107129
description_raw,kaggle_asaniczka,all_linkedin,1058779,1015671,95.93,783051
description_raw,scraped,all_linkedin,145583,145580,100.0,119940
description_length,kaggle_arshkon,all_linkedin,118100,118100,100.0,10421
description_length,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,15867
description_length,scraped,all_linkedin,145583,145583,100.0,12090
seniority_raw,kaggle_arshkon,all_linkedin,118100,89759,76.0,6
seniority_raw,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,2
seniority_raw,scraped,all_linkedin,145583,145580,100.0,7
seniority_native,kaggle_arshkon,all_linkedin,118100,89759,76.0,6
seniority_native,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,2
seniority_native,scraped,all_linkedin,145583,124618,85.6,6
company_industry,kaggle_arshkon,all_linkedin,118100,116568,98.7,374
company_industry,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
company_industry,scraped,all_linkedin,145583,145553,99.98,4089
company_size,kaggle_arshkon,all_linkedin,118100,116389,98.55,5100
company_size,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
company_size,scraped,all_linkedin,145583,0,0.0,0
company_size_raw,kaggle_arshkon,all_linkedin,118100,116389,98.55,5100
company_size_raw,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
company_size_raw,scraped,all_linkedin,145583,0,0.0,0
company_size_category,kaggle_arshkon,all_linkedin,118100,111702,94.58,7
company_size_category,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
company_size_category,scraped,all_linkedin,145583,0,0.0,0
search_query,kaggle_arshkon,all_linkedin,118100,0,0.0,0
search_query,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1970
search_query,scraped,all_linkedin,145583,145578,100.0,28
query_tier,kaggle_arshkon,all_linkedin,118100,0,0.0,0
query_tier,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
query_tier,scraped,all_linkedin,145583,145578,100.0,3
search_metro_id,kaggle_arshkon,all_linkedin,118100,0,0.0,0
search_metro_id,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
search_metro_id,scraped,all_linkedin,145583,145578,100.0,26
search_metro_name,kaggle_arshkon,all_linkedin,118100,0,0.0,0
search_metro_name,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,849
search_metro_name,scraped,all_linkedin,145583,145578,100.0,26
search_metro_region,kaggle_arshkon,all_linkedin,118100,0,0.0,0
search_metro_region,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
search_metro_region,scraped,all_linkedin,145583,145578,100.0,5
search_location,kaggle_arshkon,all_linkedin,118100,0,0.0,0
search_location,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
search_location,scraped,all_linkedin,145583,145578,100.0,26
work_type,kaggle_arshkon,all_linkedin,118100,118100,100.0,7
work_type,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
work_type,scraped,all_linkedin,145583,145580,100.0,7
is_remote,kaggle_arshkon,all_linkedin,118100,118100,100.0,1
is_remote,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,2
is_remote,scraped,all_linkedin,145583,145583,100.0,2
job_url,kaggle_arshkon,all_linkedin,118100,118100,100.0,118100
job_url,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,1058779
job_url,scraped,all_linkedin,145583,145583,100.0,145583
skills_raw,kaggle_arshkon,all_linkedin,118100,2167,1.83,1995
skills_raw,kaggle_asaniczka,all_linkedin,1058779,1013269,95.7,1008176
skills_raw,scraped,all_linkedin,145583,0,0.0,0
asaniczka_skills,kaggle_arshkon,all_linkedin,118100,0,0.0,0
asaniczka_skills,kaggle_asaniczka,all_linkedin,1058779,1013269,95.7,1008176
asaniczka_skills,scraped,all_linkedin,145583,0,0.0,0
company_id_kaggle,kaggle_arshkon,all_linkedin,118100,116390,98.55,24474
company_id_kaggle,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
company_id_kaggle,scraped,all_linkedin,145583,0,0.0,0
posting_age_days,kaggle_arshkon,all_linkedin,118100,0,0.0,0
posting_age_days,kaggle_asaniczka,all_linkedin,1058779,0,0.0,0
posting_age_days,scraped,all_linkedin,145583,1972,1.35,2
is_aggregator,kaggle_arshkon,all_linkedin,118100,118100,100.0,2
is_aggregator,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,2
is_aggregator,scraped,all_linkedin,145583,145583,100.0,2
real_employer,kaggle_arshkon,all_linkedin,118100,322,0.27,224
real_employer,kaggle_asaniczka,all_linkedin,1058779,21362,2.02,1081
real_employer,scraped,all_linkedin,145583,5957,4.09,1611
company_name_effective,kaggle_arshkon,all_linkedin,118100,116388,98.55,24600
company_name_effective,kaggle_asaniczka,all_linkedin,1058779,1058773,100.0,70230
company_name_effective,scraped,all_linkedin,145583,145583,100.0,22800
description_core,kaggle_arshkon,all_linkedin,118100,118100,100.0,105597
description_core,kaggle_asaniczka,all_linkedin,1058779,1058779,100.0,745923
description_core,scraped,all_linkedin,145583,145583,100.0,119030
