company,seniority,kaggle_arshkon,scraped
AT&T,mid-senior,6.0,6.0
AVEVA,entry,3.0,1.0
AVEVA,mid-senior,2.0,4.0
Actalent,entry,19.0,45.0
Actalent,mid-senior,4.0,82.0
Aditi Consulting,entry,2.0,17.0
Aditi Consulting,mid-senior,6.0,0.0
Adobe,entry,3.0,3.0
Adobe,mid-senior,6.0,63.0
Akkodis,associate,1.0,1.0
Akkodis,director,1.0,0.0
Akkodis,entry,2.0,1.0
Akkodis,mid-senior,21.0,19.0
AllSTEM Connections,mid-senior,6.0,7.0
Amazon,associate,5.0,15.0
Amazon,entry,0.0,26.0
Amazon,mid-senior,23.0,138.0
Amazon Web Services (AWS),associate,0.0,2.0
Amazon Web Services (AWS),director,0.0,3.0
Amazon Web Services (AWS),mid-senior,12.0,155.0
American Express,entry,2.0,1.0
American Express,mid-senior,4.0,8.0
Ampstek,associate,0.0,2.0
Ampstek,mid-senior,0.0,14.0
Amtex Systems Inc.,mid-senior,5.0,7.0
Anduril Industries,entry,3.0,18.0
Anduril Industries,mid-senior,2.0,137.0
Apex Systems,associate,1.0,0.0
Apex Systems,director,0.0,1.0
Apex Systems,entry,19.0,17.0
Apex Systems,mid-senior,32.0,68.0
"BAE Systems, Inc.",entry,9.0,8.0
"BAE Systems, Inc.",mid-senior,5.0,59.0
BCforward,entry,0.0,1.0
BCforward,mid-senior,8.0,9.0
BLUE ORIGIN,entry,1.0,3.0
BLUE ORIGIN,mid-senior,6.0,46.0
Boeing,associate,2.0,5.0
Boeing,entry,1.0,3.0
Boeing,mid-senior,4.0,17.0
Booz Allen Hamilton,director,0.0,2.0
Booz Allen Hamilton,entry,0.0,2.0
Booz Allen Hamilton,mid-senior,5.0,70.0
Brooksource,associate,0.0,1.0
Brooksource,entry,0.0,5.0
Brooksource,mid-senior,5.0,19.0
CACI International Inc,entry,6.0,2.0
CACI International Inc,mid-senior,5.0,3.0
CGI,entry,8.0,27.0
CGI,mid-senior,0.0,15.0
Capital One,entry,11.0,5.0
Capital One,mid-senior,104.0,171.0
Centraprise,mid-senior,11.0,7.0
Cisco,entry,0.0,51.0
Cisco,mid-senior,3.0,29.0
Cloudbeds,mid-senior,7.0,8.0
Cloudflare,associate,5.0,12.0
Cloudflare,entry,0.0,1.0
Cloudflare,mid-senior,2.0,8.0
Cognizant,entry,1.0,4.0
Cognizant,mid-senior,7.0,27.0
Collabera,entry,13.0,6.0
Collabera,mid-senior,1.0,1.0
Compunnel Inc.,mid-senior,23.0,11.0
DataAnnotation,entry,0.0,38.0
DataAnnotation,mid-senior,33.0,0.0
Deloitte,associate,0.0,4.0
Deloitte,entry,1.0,0.0
Deloitte,mid-senior,13.0,137.0
Dexian,associate,0.0,1.0
Dexian,entry,2.0,8.0
Dexian,mid-senior,5.0,6.0
EPITEC,associate,3.0,1.0
EPITEC,entry,1.0,3.0
EPITEC,mid-senior,7.0,14.0
Eliassen Group,mid-senior,12.0,9.0
Empower Professionals Inc,mid-senior,0.0,7.0
Experis,entry,19.0,5.0
Experis,mid-senior,7.0,20.0
FastTek Global,entry,0.0,1.0
FastTek Global,mid-senior,5.0,5.0
Fidelity Investments,director,0.0,1.0
Fidelity Investments,entry,0.0,1.0
Fidelity Investments,mid-senior,24.0,22.0
Ford Motor Company,associate,0.0,21.0
Ford Motor Company,mid-senior,4.0,6.0
Franklin Fitch,mid-senior,7.0,8.0
General Dynamics Mission Systems,entry,5.0,12.0
General Dynamics Mission Systems,mid-senior,0.0,19.0
General Motors,entry,1.0,17.0
General Motors,mid-senior,9.0,126.0
Goldman Sachs,associate,1.0,11.0
Goldman Sachs,director,1.0,10.0
Goldman Sachs,entry,1.0,4.0
Goldman Sachs,mid-senior,3.0,2.0
Goliath Partners,mid-senior,5.0,10.0
Google,associate,0.0,2.0
Google,entry,0.0,17.0
Google,mid-senior,13.0,399.0
HTC Global Services,mid-senior,7.0,8.0
Harnham,entry,0.0,1.0
Harnham,mid-senior,6.0,19.0
Honeywell,entry,7.0,2.0
Honeywell,mid-senior,4.0,20.0
ICE,entry,2.0,2.0
ICE,mid-senior,20.0,25.0
Infosys,associate,1.0,0.0
Infosys,entry,0.0,1.0
Infosys,mid-senior,4.0,25.0
Insight Global,associate,3.0,2.0
Insight Global,entry,2.0,3.0
Insight Global,mid-senior,20.0,42.0
JPMorgan Chase & Co.,associate,1.0,2.0
JPMorgan Chase & Co.,director,0.0,9.0
JPMorgan Chase & Co.,mid-senior,5.0,412.0
Jobot,director,0.0,5.0
Jobot,entry,6.0,4.0
Jobot,mid-senior,6.0,53.0
Ledgent Technology,associate,0.0,1.0
Ledgent Technology,entry,3.0,2.0
Ledgent Technology,mid-senior,6.0,10.0
Leidos,director,0.0,2.0
Leidos,entry,15.0,45.0
Leidos,mid-senior,1.0,175.0
MITRE,entry,1.0,0.0
MITRE,mid-senior,4.0,7.0
Mastech Digital,associate,0.0,1.0
Mastech Digital,entry,1.0,0.0
Mastech Digital,mid-senior,5.0,6.0
Matlen Silver,mid-senior,3.0,6.0
Meta,mid-senior,2.0,35.0
Microsoft,associate,1.0,0.0
Microsoft,entry,0.0,3.0
Microsoft,mid-senior,14.0,125.0
Mindlance,mid-senior,5.0,10.0
Motion Recruitment,entry,0.0,9.0
Motion Recruitment,mid-senior,42.0,90.0
NBCUniversal,associate,2.0,2.0
NBCUniversal,mid-senior,3.0,3.0
NLB Services,associate,0.0,1.0
NLB Services,entry,0.0,1.0
NLB Services,mid-senior,2.0,10.0
Northrop Grumman,associate,0.0,12.0
Northrop Grumman,entry,0.0,4.0
Northrop Grumman,mid-senior,13.0,34.0
OSI Engineering,associate,1.0,1.0
OSI Engineering,mid-senior,5.0,4.0
Open Systems Technologies,entry,26.0,1.0
Open Systems Technologies,mid-senior,5.0,11.0
Optomi,entry,0.0,1.0
Optomi,mid-senior,6.0,11.0
Oracle,associate,1.0,0.0
Oracle,entry,4.0,0.0
Oracle,mid-senior,14.0,60.0
Palo Alto Networks,associate,7.0,0.0
Palo Alto Networks,mid-senior,7.0,17.0
Photon,director,1.0,0.0
Photon,entry,0.0,1.0
Photon,mid-senior,12.0,14.0
Piper Companies,entry,13.0,8.0
Piper Companies,mid-senior,3.0,47.0
"Pyramid Consulting, Inc",mid-senior,1.0,1.0
Qualcomm,mid-senior,1.0,65.0
Quantum World Technologies Inc.,associate,1.0,0.0
Quantum World Technologies Inc.,mid-senior,5.0,5.0
Raas Infotek,associate,1.0,13.0
Raas Infotek,mid-senior,6.0,7.0
Radley James,associate,3.0,0.0
Radley James,mid-senior,3.0,4.0
Randstad Digital Americas,entry,0.0,10.0
Randstad Digital Americas,mid-senior,4.0,31.0
Robert Half,associate,2.0,5.0
Robert Half,entry,7.0,5.0
Robert Half,mid-senior,11.0,33.0
Robinhood,mid-senior,5.0,11.0
Rose International,director,1.0,0.0
Rose International,entry,0.0,1.0
Rose International,mid-senior,7.0,5.0
Russell Tobin,associate,1.0,0.0
Russell Tobin,director,0.0,1.0
Russell Tobin,entry,1.0,0.0
Russell Tobin,mid-senior,3.0,8.0
SAIC,director,0.0,1.0
SAIC,entry,6.0,0.0
SAIC,mid-senior,4.0,9.0
SSi People,associate,1.0,0.0
SSi People,entry,0.0,2.0
SSi People,mid-senior,3.0,5.0
Selby Jennings,associate,1.0,0.0
Selby Jennings,entry,0.0,1.0
Selby Jennings,mid-senior,10.0,5.0
ServiceNow,entry,4.0,1.0
ServiceNow,mid-senior,5.0,7.0
Smart IT Frame LLC,director,0.0,2.0
Smart IT Frame LLC,mid-senior,6.0,9.0
State Street,director,0.0,3.0
State Street,mid-senior,1.0,0.0
Synechron,associate,0.0,2.0
Synechron,director,0.0,1.0
Synechron,entry,1.0,1.0
Synechron,mid-senior,14.0,36.0
SynergisticIT,entry,6.0,13.0
System One,entry,1.0,0.0
System One,mid-senior,3.0,22.0
TEKsystems,entry,22.0,11.0
TEKsystems,mid-senior,2.0,45.0
Talent Groups,associate,1.0,0.0
Talent Groups,entry,1.0,1.0
Talent Groups,mid-senior,13.0,14.0
Tata Consultancy Services,associate,0.0,1.0
Tata Consultancy Services,entry,30.0,16.0
Tata Consultancy Services,mid-senior,8.0,50.0
Tech Consulting,associate,3.0,0.0
Tech Consulting,entry,3.0,13.0
The Walt Disney Company,mid-senior,5.0,24.0
TikTok,associate,0.0,2.0
TikTok,entry,1.0,93.0
TikTok,mid-senior,4.0,11.0
USAA,director,0.0,3.0
USAA,entry,8.0,0.0
USAA,mid-senior,2.0,3.0
UST,entry,2.0,2.0
UST,mid-senior,4.0,6.0
Uber,entry,0.0,10.0
Uber,mid-senior,8.0,91.0
VDart,entry,0.0,3.0
VDart,mid-senior,3.0,8.0
Viasat,entry,2.0,0.0
Viasat,mid-senior,1.0,9.0
Visa,director,1.0,4.0
Visa,entry,0.0,2.0
Visa,mid-senior,4.0,30.0
VySystems,associate,0.0,1.0
VySystems,mid-senior,4.0,4.0
WEX,entry,2.0,1.0
WEX,mid-senior,4.0,8.0
Wells Fargo,associate,0.0,10.0
Wells Fargo,director,0.0,1.0
Wells Fargo,entry,0.0,7.0
Wells Fargo,mid-senior,16.0,144.0
Wipro,associate,1.0,0.0
Wipro,entry,0.0,6.0
Wipro,mid-senior,1.0,3.0
hackajob,director,0.0,6.0
hackajob,entry,0.0,8.0
hackajob,mid-senior,10.0,93.0
myGwork - LGBTQ+ Business Community,director,1.0,0.0
myGwork - LGBTQ+ Business Community,entry,6.0,9.0
myGwork - LGBTQ+ Business Community,mid-senior,15.0,41.0
