period,seniority_3level,n,mean_desc_len,med_desc_len,sd_desc_len,mean_core_len,med_core_len,sd_core_len
2024-01,junior,130,3242.0,3016.0,1735.0,2221.0,1788.0,1612.0
2024-01,mid,1450,3727.0,3608.0,2124.0,2432.0,1982.0,1725.0
2024-01,senior,21633,4079.0,3839.0,2073.0,2717.0,2459.0,1769.0
2024-04,junior,830,3838.0,3678.0,2157.0,3021.0,2858.0,1746.0
2024-04,mid,228,3483.0,3032.0,2217.0,2825.0,2527.0,1659.0
2024-04,senior,3008,3485.0,3156.0,2153.0,2901.0,2742.0,1715.0
2024-04,unknown,953,2288.0,1516.0,1782.0,1958.0,1418.0,1425.0
2026-03,junior,3255,4594.0,4346.0,2309.0,3696.0,3466.0,1847.0
2026-03,mid,622,4178.0,3829.0,2491.0,3689.0,3314.0,2179.0
2026-03,senior,18592,5307.0,5289.0,2396.0,4405.0,4249.0,2008.0
2026-03,unknown,1626,5630.0,5465.0,2047.0,4752.0,4576.0,1895.0
