company_name_canonical,is_aggregator,n,has_yoe,med_yoe,mean_yoe
Tata Consultancy Services,True,30,20.0,8.0,7.0
Open Systems Technologies,False,26,7.0,5.0,6.0
TEKsystems,True,22,5.0,5.0,5.4
Experis,True,19,12.0,4.0,3.92
Actalent,True,19,12.0,5.0,5.0
Apex Systems,True,19,6.0,4.0,3.5
Leidos,False,15,10.0,2.0,3.5
Dice,True,14,11.0,3.0,3.55
Piper Companies,False,13,11.0,5.0,4.91
Collabera,True,13,8.0,6.0,5.88
Capital One,False,11,11.0,2.0,2.36
"BAE Systems, Inc.",False,9,6.0,6.5,7.83
USAA,False,8,8.0,4.0,4.0
Honeywell,False,7,5.0,2.0,2.6
Discover Financial Services,False,7,0.0,,
CGI,False,7,6.0,4.5,4.83
Robert Half,True,7,1.0,3.0,3.0
SAIC,False,6,5.0,4.0,4.0
SynergisticIT,False,6,0.0,,
Cogent Communications,False,6,5.0,2.0,2.0
myGwork - LGBTQ+ Business Community,False,6,6.0,2.5,2.5
Jobot,True,6,4.0,5.5,5.25
CACI International Inc,False,6,4.0,5.0,5.0
ClearanceJobs,True,6,2.0,8.0,8.0
Angi,False,5,5.0,1.0,1.0
