title_normalized,n24,n26,has_yoe_24,has_yoe_26,med_yoe_24,med_yoe_26,mean_yoe_24,mean_yoe_26,med_change
software engineer,55,457,40.0,150.0,2.0,2.0,3.0,2.01,0.0
data engineer,29,85,19.0,47.0,3.0,2.0,3.47,1.68,-1.0
test engineer,8,38,7.0,11.0,2.0,2.0,2.71,2.09,0.0
software developer,12,33,6.0,16.0,3.0,2.0,3.83,2.0,-1.0
devops engineer,9,34,2.0,11.0,5.5,2.0,5.5,2.82,-3.5
java developer,21,17,12.0,4.0,5.0,2.0,5.08,2.25,-3.0
software engineer intern,9,23,1.0,0.0,5.0,,5.0,,
systems engineer,19,11,15.0,3.0,3.0,2.0,3.87,1.67,-1.0
embedded software engineer,7,23,1.0,8.0,3.0,2.0,3.0,1.75,-1.0
developer,23,5,17.0,0.0,8.0,,6.65,,
full stack developer,8,19,4.0,5.0,6.0,2.0,5.75,3.4,-4.0
application engineer,10,16,8.0,8.0,2.0,2.0,2.63,1.63,0.0
software development engineer,8,14,5.0,6.0,3.0,2.0,3.2,2.67,-1.0
cloud engineer,6,15,5.0,5.0,3.0,2.0,4.2,1.8,-1.0
quality assurance engineer,6,11,5.0,4.0,3.0,1.0,3.8,1.25,-2.0
product engineer,8,6,4.0,4.0,2.0,2.0,2.75,2.0,0.0
site reliability engineer,5,6,3.0,2.0,3.0,5.5,4.33,5.5,2.5
