period,seniority_3level,n_total,has_yoe,pct_has_yoe,no_yoe_short_desc,no_yoe_long_desc
2024-01,junior,130,56.0,43.1,3.0,71.0
2024-01,mid,1450,847.0,58.4,29.0,574.0
2024-01,senior,21633,15852.0,73.3,196.0,5585.0
2024-04,junior,830,476.0,57.3,29.0,325.0
2024-04,mid,228,129.0,56.6,3.0,96.0
2024-04,senior,3008,1989.0,66.1,74.0,945.0
2024-04,unknown,953,446.0,46.8,48.0,459.0
2026-03,junior,3255,1066.0,32.7,27.0,2162.0
2026-03,mid,622,423.0,68.0,2.0,197.0
2026-03,senior,18592,13826.0,74.4,53.0,4713.0
2026-03,unknown,1626,1210.0,74.4,3.0,413.0
