title_normalized,n_2026
data engineer - manager,62
software engineer [multiple positions available],46
ai and distributed systems backend engineer - manager - consulting - location open,37
ai data engineer - consultant,34
servicenow developer - consultant,34
data engineer - associate,33
software engineer - enterprise integrations,33
"associate director, ai application engineer",32
"software engineer, associate",31
mobile apps test automation engineer,30
ai data engineer - manager,28
genai python systems engineer-manager,28
"software engineer, backend (merchant interfaces)",27
"software engineer , backend (marketplace performance)",27
remote software developer,27
"software engineer, backend (merchant advocacy)",25
"software engineer , backend (purchasing power)",25
consultant - genai full stack developer,25
"software engineer, backend (streaming)",25
"ai native engineer, full stack - assocate",24
"machine learning engineer, (ml underwriting)",24
product engineering | pxe leadership | full stack engineer,23
"ai-native engineering , full stack - manager",22
"software engineer, checkout (pba core)",22
software engineer - python - cloud - graduate level,22
software engineer - l3 support,22
"software engineer, cloud - sustaining engineering",22
fintech - ai finance - front-end software developer -,22
product engineering | pxe talent | full stack engineer,21
machine learning engineer - energy,19
"ai full stack engineer, manager - tax transformation",18
software engineer - web platform,17
"software engineer (full-stack, backend-leaning)",17
backend engineer (remote) - ai,17
software engineer - backend (python),17
managed services - data engineer (databricks & kafka) - manager,16
software engineer - ctj - poly,16
"frontend engineer (discovery applications), react",16
"software engineer - front end (bangkok based, relocation provided)",16
"software engineer , backend (credit decisioning)",16
"machine learning engineer (india based, relocation provided)",16
ai engineer intern,15
"data engineer – financial data, compliance & business intelligence",15
software engineer - growth platform,15
ai full stack engineer manager,15
managed services - data engineer (databricks & kafka) - associate,15
software engineer - web api platform,15
remote software engineer,14
frontend engineer - core scribd (react),14
"software engineer, sustaining engineering",14
software developer (entry level),14
software engineer backend/platform systems (full time) – united states,14
"/ machine learning engineer - bidding (bangkok based, relocation provided)",14
"frontend engineer, growth",14
software engineer (backend + data pipelines),14
"software engineer, growth (frontend)",13
remote software engineer (us),13
"robotics systems engineer , tech deployment",13
"associate, cloud devops engineer",13
ai automation engineer,13
"software engineer - hashicorp vault, radar, boundary",12
software engineer (python + distributed systems),12
software engineer (level ),12
"software engineer, product engineering, americas",12
founding engineer ($3m pre-seed),12
"software engineer, full stack (global payment network)",11
"full stack engineer, - tax transformation",11
machine learning engineer - remote - usa,11
software engineer (hogan ids),11
software engineer ts/sci poly,11
software engineer (.net + data) - remote - usa,11
software engineer - cloud infrastructure and devops,11
data engineer (databricks) - remote - usa,11
c++ engineer llm,10
power platform engineer,10
"software engineer - full stack (bangkok based, relocation provided)",10
"ai data engineer, manager - tax transformation",10
fullstack developer python/react,10
"associate, full stack developer - gcp",10
. ai engineer,10
"software development engineer, aws proactive security",10
engineer - full-stack (api/software development/microservices),10
java software engineer - ai training,10
data engineer - snowflake sme,10
go/golang software engineer - ai training,10
"/ software engineer - android (bangkok based, relocation provided)",10
"manager, cloud engineer - terraform",10
python/react full stack developer,10
software engineer - coreai,10
frontend javascript developer- ai training,10
python software engineer - ai training,10
"ai engineer, manager - tax transformation",10
ai engineer -,10
mid-level software engineer,10
full stack ai engineer,10
agentic full stack developer (claude ai .x) - remote - usa,10
react.js node.js fullstack developer,9
python developer - ai training,9
c++ software engineer - ai training,9
r - programming software engineer,9
