period,marker,count,share
2024-01,junior,0,0.0
2024-01,associate,141,0.006074182570111575
2024-01,senior,0,0.0
2024-01,staff,0,0.0
2024-01,principal,0,0.0
2024-01,lead,0,0.0
2024-01,director,20,0.0008615861801576703
2024-01,architect,390,0.01680093051307457
2024-01,founding,348,0.014991599534743463
2024-01,intern,22,0.0009477447981734373
2024-01_noagg,junior,0,0.0
2024-01_noagg,associate,129,0.007645350560066378
2024-01_noagg,senior,0,0.0
2024-01_noagg,staff,0,0.0
2024-01_noagg,principal,0,0.0
2024-01_noagg,lead,0,0.0
2024-01_noagg,director,3,0.00017779885023410183
2024-01_noagg,architect,337,0.019972737509630772
2024-01_noagg,founding,66,0.00391157470515024
2024-01_noagg,intern,21,0.0012445919516387127
2024-04,junior,0,0.0
2024-04,associate,34,0.006774257820282925
2024-04,senior,0,0.0
2024-04,staff,0,0.0
2024-04,principal,0,0.0
2024-04,lead,0,0.0
2024-04,director,6,0.001195457262402869
2024-04,architect,87,0.017334130304841603
2024-04,founding,4,0.0007969715082685794
2024-04,intern,42,0.008368200836820083
2024-04_noagg,junior,0,0.0
2024-04_noagg,associate,34,0.0076784101174345075
2024-04_noagg,senior,0,0.0
2024-04_noagg,staff,0,0.0
2024-04_noagg,principal,0,0.0
2024-04_noagg,lead,0,0.0
2024-04_noagg,director,6,0.0013550135501355014
2024-04_noagg,architect,81,0.018292682926829267
2024-04_noagg,founding,4,0.0009033423667570009
2024-04_noagg,intern,41,0.009259259259259259
2026-03,junior,0,0.0
2026-03,associate,286,0.011869682506744137
2026-03,senior,0,0.0
2026-03,staff,0,0.0
2026-03,principal,0,0.0
2026-03,lead,0,0.0
2026-03,director,68,0.002822162274330774
2026-03,architect,66,0.0027391575015563393
2026-03,founding,161,0.00668188420834198
2026-03,intern,290,0.012035692052293007
2026-03_noagg,junior,0,0.0
2026-03_noagg,associate,259,0.01258625716784916
2026-03_noagg,senior,0,0.0
2026-03_noagg,staff,0,0.0
2026-03_noagg,principal,0,0.0
2026-03_noagg,lead,0,0.0
2026-03_noagg,director,64,0.0031101176013218
2026-03_noagg,architect,52,0.0025269705510739624
2026-03_noagg,founding,145,0.007046360190494703
2026-03_noagg,intern,248,0.012051705705121974
