title,n_2024,n_2026,cross_period_sim,within_2024_sim,content_drift
web developer,45,51,0.7662375,0.9863697,0.22013223
back end developer,47,18,0.79860103,0.99288297,0.19428194
frontend developer,61,34,0.8261459,0.9350604,0.108914495
software developer,75,129,0.8546299,0.9856029,0.13097304
automation engineer,46,34,0.93404114,0.9713312,0.037290037
full stack engineer,63,271,0.9421456,0.98127216,0.039126575
software engineer,454,2198,0.94238293,0.98613036,0.043747425
salesforce developer,50,29,0.9542364,0.9743242,0.020087838
machine learning engineer,53,272,0.95567894,0.9730837,0.017404735
systems engineer,55,110,0.9565551,0.95946944,0.0029143095
site reliability engineer,52,153,0.9597524,0.97536725,0.015614867
system engineer,48,76,0.9613788,0.9722191,0.010840297
java developer,77,88,0.96599996,0.97310853,0.007108569
data engineer,166,699,0.97244966,0.9934229,0.020973265
devops engineer,88,333,0.9734553,0.98455834,0.011103034
