term,count_a,count_b,rate_a,rate_b,log_odds_ratio,z_score,category,corpus_a,corpus_b,n_a,n_b
ai,189,6409,1.2559391301458618,5.859271435388939,1.5453067575279524,20.938509125474283,uncategorized,entry_2024,entry_2026,829,3255
world,52,2919,0.3455493903046815,2.66862432827279,2.046916860728955,14.63216648719232,uncategorized,entry_2024,entry_2026,829,3255
job,229,4202,1.5217463534571554,3.8415756859891284,0.9289058503473697,13.68912241407748,uncategorized,entry_2024,entry_2026,829,3255
range,29,2481,0.19271023690068778,2.268193545202053,2.467884879237417,13.215220925556515,uncategorized,entry_2024,entry_2026,829,3255
apply,80,2576,0.531614446622587,2.355044970753925,1.4906980572048063,13.131668855396253,uncategorized,entry_2024,entry_2026,829,3255
benefits,19,2572,0.1262584310728644,2.3513880686254254,2.9267320755591673,12.713788118538456,noise,entry_2024,entry_2026,829,3255
us,145,3016,0.9635511845034389,2.7573042048889125,1.0537113448618989,12.394339813787822,uncategorized,entry_2024,entry_2026,829,3255
company,118,2679,0.7841313087683158,2.449210200562797,1.1411278251600558,12.132019004178835,uncategorized,entry_2024,entry_2026,829,3255
employees,57,2021,0.3787752932185932,1.8476498004245663,1.5866230771095058,11.814318013733635,uncategorized,entry_2024,entry_2026,829,3255
pay,14,2186,0.09303252815895272,1.9984970132251867,3.0689957216784745,11.450596426629062,uncategorized,entry_2024,entry_2026,829,3255
people,36,1724,0.23922650098016413,1.57612481738345,1.8869762074505614,11.206992305686658,uncategorized,entry_2024,entry_2026,829,3255
location,32,1707,0.21264577864903478,1.5605829833373255,1.9948258640490995,11.18184767599094,uncategorized,entry_2024,entry_2026,829,3255
career,18,1778,0.11961325049008206,1.6254929961181985,2.610856509228012,11.024308953328463,uncategorized,entry_2024,entry_2026,829,3255
please,14,1865,0.09303252815895272,1.705030617413071,2.909890189574827,10.851019627363197,uncategorized,entry_2024,entry_2026,829,3255
role,370,4790,2.4587168156294648,4.379140298878611,0.5797125486452712,10.743899809169514,uncategorized,entry_2024,entry_2026,829,3255
global,57,1737,0.3787752932185932,1.5880097493010745,1.4349308729049488,10.66090367443186,uncategorized,entry_2024,entry_2026,829,3255
mission,75,1836,0.4983885437086753,1.6785180769814467,1.2159366852566382,10.322275573687197,uncategorized,entry_2024,entry_2026,829,3255
eligible,21,1308,0.1395487922384291,1.195806996019462,2.149347114116951,9.773707973081526,uncategorized,entry_2024,entry_2026,829,3255
salary,10,1569,0.06645180582782337,1.4344198599040796,3.073010942887416,9.691704986983583,uncategorized,entry_2024,entry_2026,829,3255
every,30,1294,0.19935541748347013,1.1830078385697125,1.7819814066979838,9.650675425778292,uncategorized,entry_2024,entry_2026,829,3255
city,17,1281,0.11296806990729974,1.1711229066520878,2.3396880083028613,9.58618208360632,uncategorized,entry_2024,entry_2026,829,3255
university,30,1207,0.19935541748347013,1.1034702172748398,1.7123020886894373,9.265747425136796,uncategorized,entry_2024,entry_2026,829,3255
may,188,2712,1.2492939495630793,2.479379643122921,0.6872097002232422,9.112234813836622,uncategorized,entry_2024,entry_2026,829,3255
workflows,40,1240,0.2658072233112935,1.133639659834964,1.4516403213306415,9.037483440873336,uncategorized,entry_2024,entry_2026,829,3255
jobs,8,1369,0.053161444662258694,1.2515747534790853,3.1593779872155148,8.915609373697183,uncategorized,entry_2024,entry_2026,829,3255
health,25,1081,0.16612951456955843,0.9882778002270937,1.7842244724387184,8.821444442841473,uncategorized,entry_2024,entry_2026,829,3255
offer,19,1053,0.1262584310728644,0.9626794853275944,2.032306229776502,8.782031908562306,uncategorized,entry_2024,entry_2026,829,3255
base,29,1088,0.19271023690068778,0.9946773789519684,1.6422940076638382,8.72992960237248,uncategorized,entry_2024,entry_2026,829,3255
familiarity,123,1994,0.8173572116822274,1.822965711057192,0.8036711474362939,8.65067053062105,uncategorized,entry_2024,entry_2026,829,3255
employment,49,1244,0.3256138485563345,1.1372965619634638,1.2519098518099554,8.596560478048813,uncategorized,entry_2024,entry_2026,829,3255
position,291,3559,1.93374754958966,3.2537286688327716,0.5222310122238429,8.565440966728104,uncategorized,entry_2024,entry_2026,829,3255
opportunities,80,1549,0.531614446622587,1.41613534926158,0.9811317904265735,8.557824691397604,uncategorized,entry_2024,entry_2026,829,3255
privacy,17,977,0.11296806990729974,0.8931983448860967,2.0685026022200255,8.457853755746264,uncategorized,entry_2024,entry_2026,829,3255
real,94,1649,0.6246469747815396,1.507557902474077,0.8824398740581447,8.322093862781353,uncategorized,entry_2024,entry_2026,829,3255
impact,76,1460,0.5050337242914577,1.3347692769024575,0.9731908802662765,8.272044778955415,uncategorized,entry_2024,entry_2026,829,3255
culture,28,986,0.18606505631790543,0.9014263746752214,1.5788472057536875,8.239750407591867,uncategorized,entry_2024,entry_2026,829,3255
