term,count_a,count_b,rate_a,rate_b,log_odds_ratio,z_score,category,corpus_a,corpus_b,n_a,n_b
ai,1518,56923,1.7910891544714103,6.046125940793787,1.221066159664134,46.952805433909795,uncategorized,arshkon_2024,scraped_2026,5017,24095
range,212,22280,0.2501389332990376,2.3664895729474127,2.2494255390986284,32.5981725963767,uncategorized,arshkon_2024,scraped_2026,5017,24095
world,266,19489,0.313853567252566,2.070041081111855,1.8883251138702146,30.590170883906517,uncategorized,arshkon_2024,scraped_2026,5017,24095
us,590,23364,0.6961413709737366,2.481627575509127,1.2730957400897314,30.540436435459657,uncategorized,arshkon_2024,scraped_2026,5017,24095
benefits,119,20955,0.14040817482351636,2.225753545830926,2.765508024206513,30.084090938315672,noise,arshkon_2024,scraped_2026,5017,24095
people,208,15029,0.2454193307839614,1.596318303044285,1.8739983315936133,26.842717131421264,uncategorized,arshkon_2024,scraped_2026,5017,24095
employees,147,15016,0.1734453924290496,1.5949374967405006,2.2202890969728992,26.78967133586561,uncategorized,arshkon_2024,scraped_2026,5017,24095
pay,85,15215,0.10029155344536883,1.616074454775354,2.781280605123423,25.57230862713983,uncategorized,arshkon_2024,scraped_2026,5017,24095
please,115,13894,0.1356885723084402,1.4757632911369547,2.3880298733723393,25.504539294245482,uncategorized,arshkon_2024,scraped_2026,5017,24095
company,684,20202,0.8070520300780268,2.1457729960809533,0.9794003934122193,25.19190127927573,uncategorized,arshkon_2024,scraped_2026,5017,24095
across,1574,33250,1.857163589682477,3.5316776616024,0.6446026605866386,24.98919555451893,uncategorized,arshkon_2024,scraped_2026,5017,24095
location,334,14643,0.3940868100088611,1.5553189774088405,1.374204565133864,24.83325203652363,uncategorized,arshkon_2024,scraped_2026,5017,24095
salary,67,14314,0.07905334212752602,1.5203739563361431,2.9580893635464864,24.158330135690814,uncategorized,arshkon_2024,scraped_2026,5017,24095
culture,269,13164,0.31739326913887317,1.3982257063859849,1.4840698274055395,24.096047956713356,uncategorized,arshkon_2024,scraped_2026,5017,24095
every,167,11775,0.19704340500443054,1.250691863620098,1.8492302156074851,23.73034019444521,uncategorized,arshkon_2024,scraped_2026,5017,24095
impact,402,14487,0.4743200527651561,1.5387493017634277,1.1780909863230757,23.299874652154806,uncategorized,arshkon_2024,scraped_2026,5017,24095
