term,count_a,count_b,rate_a,rate_b,log_odds_ratio,z_score,category,corpus_a,corpus_b,n_a,n_b
ai,787,6409,1.4679330309179899,5.887572986062372,1.3935012732117267,36.89323931029744,uncategorized,senior_2024,entry_2026,3008,3255
world,181,2919,0.3376059448489913,2.6815143620402657,2.074641226061696,27.085061835304593,uncategorized,senior_2024,entry_2026,3008,3255
us,359,3016,0.6696162110540766,2.7706225816764105,1.4222907335683939,25.47533282708754,uncategorized,senior_2024,entry_2026,3008,3255
range,149,2481,0.2779187059806614,2.2791494115182935,2.1062576686725922,24.972035211152242,uncategorized,senior_2024,entry_2026,3008,3255
benefits,73,2572,0.1361615136683777,2.3627457825171514,2.8559221730217663,24.063532895035387,noise,senior_2024,entry_2026,3008,3255
may,365,2712,0.6808075683418885,2.4913555840538546,1.299180341314555,23.30248867101144,uncategorized,senior_2024,entry_2026,3008,3255
apply,324,2576,0.6043332935418407,2.3664203482753425,1.3668336265619008,23.188258732862494,uncategorized,senior_2024,entry_2026,3008,3255
job,883,4202,1.6469947475229796,3.8601313289801977,0.8540473650121418,23.069967153307296,uncategorized,senior_2024,entry_2026,3008,3255
pay,56,2186,0.10445266801957742,2.008150186851669,2.958054980162636,21.859758469377244,uncategorized,senior_2024,entry_2026,3008,3255
company,428,2679,0.7983168198639131,2.4610404165487747,1.127567834300426,21.661313075081182,uncategorized,senior_2024,entry_2026,3008,3255
employees,58,2021,0.10818312044884804,1.8565743493262683,2.84433365256635,21.359292837126095,uncategorized,senior_2024,entry_2026,3008,3255
please,61,1865,0.11377879909275397,1.7132662847567988,2.7134311581002812,20.855927394923373,uncategorized,senior_2024,entry_2026,3008,3255
career,67,1778,0.12497015638056583,1.6333444795161332,2.5717641879896513,20.66652767153769,uncategorized,senior_2024,entry_2026,3008,3255
people,143,1724,0.2667273486928495,1.5837378417805477,1.7826582607774863,20.48550641728534,uncategorized,senior_2024,entry_2026,3008,3255
position,805,3559,1.5015071027814253,3.26944488335091,0.7800015678643089,19.98560737665521,uncategorized,senior_2024,entry_2026,3008,3255
mission,227,1836,0.42340635072221555,1.6866256830099102,1.383466857081105,19.664235006726827,uncategorized,senior_2024,entry_2026,3008,3255
location,207,1707,0.38610182642950935,1.5681209373082334,1.4027610138029063,19.060054882863454,uncategorized,senior_2024,entry_2026,3008,3255
salary,46,1569,0.08580040587322431,1.441348418650626,2.8225442635226186,18.870820397928416,uncategorized,senior_2024,entry_2026,3008,3255
jobs,57,1369,0.10631789423421273,1.2576201307410495,2.4716148636177646,18.285078145532765,uncategorized,senior_2024,entry_2026,3008,3255
global,259,1737,0.48309358959054555,1.59568018049467,1.1960139698285568,17.95615035884803,uncategorized,senior_2024,entry_2026,3008,3255
every,100,1294,0.1865226214635311,1.1887220227749584,1.8530802677040032,17.85460551258176,uncategorized,senior_2024,entry_2026,3008,3255
compensation,25,1754,0.046630655365882775,1.611297084966984,3.5437963901844034,17.59751015738088,noise,senior_2024,entry_2026,3008,3255
eligible,40,1308,0.07460904858541244,1.201583002928629,2.780106784071969,17.32220274779049,uncategorized,senior_2024,entry_2026,3008,3255
