term,count_a,count_b,rate_a,rate_b,log_odds_ratio,z_score,category,corpus_a,corpus_b,n_a,n_b
years experience,3513,16903,5.597228949448085,2.0748426161355806,-0.9919707923496697,-53.49769382968942,uncategorized,arshkon_2024,scraped_2026,5017,24095
javascript html,385,220,0.6134167792591837,0.027004991749975022,-3.1196568786402423,-36.9129861467935,tech_stack,arshkon_2024,scraped_2026,5017,24095
language python,357,245,0.5688046498585159,0.03007374081247218,-2.9364778205752673,-35.39593271842685,tech_stack,arshkon_2024,scraped_2026,5017,24095
computer science,2178,12963,3.470186351237668,1.591207763886028,-0.7776577394489328,-33.5810131454031,uncategorized,arshkon_2024,scraped_2026,5017,24095
software development,2013,11868,3.207293445840875,1.4567965549486523,-0.787002533258689,-32.64956190740733,uncategorized,arshkon_2024,scraped_2026,5017,24095
one programming,382,591,0.6086369082519693,0.0725452278374329,-2.123624129082562,-32.348306411518784,uncategorized,arshkon_2024,scraped_2026,5017,24095
python javascript,376,594,0.5990771662375405,0.07291347772493255,-2.1027199720945156,-31.90712480734022,tech_stack,arshkon_2024,scraped_2026,5017,24095
proficient least,332,62,0.5289723914650624,0.007610497674992961,-4.237865252235233,-30.633347561111563,uncategorized,arshkon_2024,scraped_2026,5017,24095
problem solving,1298,6646,2.068090855788105,0.8157962507742453,-0.9275377820331157,-30.565461606764963,uncategorized,arshkon_2024,scraped_2026,5017,24095
programming language,546,1573,0.8699365233130242,0.1930856910123214,-1.5020411746900937,-30.239899967290462,uncategorized,arshkon_2024,scraped_2026,5017,24095
bachelor degree,1723,10504,2.7452392484768144,1.2893656060988075,-0.7532397843008338,-28.979734431928723,credential,arshkon_2024,scraped_2026,5017,24095
least one,609,2114,0.9703138144645269,0.25949342072475995,-1.3156765769628826,-28.608129169414365,uncategorized,arshkon_2024,scraped_2026,5017,24095
degree computer,1376,7889,2.19236750197568,0.9683744541616043,-0.814410836742165,-27.876767413639897,credential,arshkon_2024,scraped_2026,5017,24095
ai chatbots,202,81,0.3218446478191042,0.009942746962490803,-3.4735317566301926,-26.41304436549517,uncategorized,arshkon_2024,scraped_2026,5017,24095
html sql,329,31,0.5241925204578478,0.0038052488374964804,-4.921773279947395,-26.200749962128192,tech_stack,arshkon_2024,scraped_2026,5017,24095
train ai,201,46,0.3202513574833661,0.005646498274994777,-4.034285761088171,-24.68513730011642,uncategorized,arshkon_2024,scraped_2026,5017,24095
able solve,172,79,0.27404593774696,0.00969724703749103,-3.337717983013164,-24.559151310887163,uncategorized,arshkon_2024,scraped_2026,5017,24095
code work,179,56,0.28519897009712697,0.006873997899993642,-3.721665150136481,-24.308396822174952,uncategorized,arshkon_2024,scraped_2026,5017,24095
sql server,409,1349,0.6516557473168991,0.16558969941234683,-1.36657345502398,-24.210046437319832,tech_stack,arshkon_2024,scraped_2026,5017,24095
