period,seniority_3level,section,n_with_section,total_postings,prevalence
2024-01,junior,about_company,23,130,0.17692307692307693
2024-01,junior,benefits,28,130,0.2153846153846154
2024-01,junior,legal_eeo,15,130,0.11538461538461539
2024-01,junior,preferred,28,130,0.2153846153846154
2024-01,junior,requirements,83,130,0.6384615384615384
2024-01,junior,responsibilities,48,130,0.36923076923076925
2024-01,junior,role_summary,48,130,0.36923076923076925
2024-01,junior,unclassified,95,130,0.7307692307692307
2024-01,mid,about_company,316,1450,0.21793103448275863
2024-01,mid,benefits,489,1450,0.3372413793103448
2024-01,mid,legal_eeo,135,1450,0.09310344827586207
2024-01,mid,preferred,333,1450,0.2296551724137931
2024-01,mid,requirements,844,1450,0.5820689655172414
2024-01,mid,responsibilities,671,1450,0.4627586206896552
2024-01,mid,role_summary,445,1450,0.30689655172413793
2024-01,mid,unclassified,1018,1450,0.7020689655172414
2024-01,senior,about_company,4246,21633,0.1962742106966209
2024-01,senior,benefits,6902,21633,0.31904960014792216
2024-01,senior,legal_eeo,2376,21633,0.10983220080432672
2024-01,senior,preferred,7635,21633,0.3529330189987519
2024-01,senior,requirements,13500,21633,0.6240465954791291
2024-01,senior,responsibilities,9304,21633,0.43008366846946794
2024-01,senior,role_summary,7698,21633,0.3558452364443212
2024-01,senior,unclassified,16877,21633,0.7801506956963897
2024-04,junior,about_company,121,830,0.14578313253012049
2024-04,junior,benefits,291,830,0.3506024096385542
2024-04,junior,legal_eeo,124,830,0.1493975903614458
2024-04,junior,preferred,198,830,0.2385542168674699
2024-04,junior,requirements,429,830,0.516867469879518
2024-04,junior,responsibilities,366,830,0.44096385542168676
2024-04,junior,role_summary,259,830,0.31204819277108437
2024-04,junior,unclassified,694,830,0.8361445783132531
2024-04,mid,about_company,36,228,0.15789473684210525
2024-04,mid,benefits,48,228,0.21052631578947367
2024-04,mid,legal_eeo,17,228,0.07456140350877193
2024-04,mid,preferred,34,228,0.14912280701754385
2024-04,mid,requirements,107,228,0.4692982456140351
2024-04,mid,responsibilities,78,228,0.34210526315789475
2024-04,mid,role_summary,77,228,0.33771929824561403
2024-04,mid,unclassified,180,228,0.7894736842105263
2024-04,senior,about_company,365,3008,0.12134308510638298
2024-04,senior,benefits,704,3008,0.23404255319148937
2024-04,senior,legal_eeo,232,3008,0.07712765957446809
2024-04,senior,preferred,673,3008,0.2237367021276596
2024-04,senior,requirements,1466,3008,0.48736702127659576
2024-04,senior,responsibilities,1122,3008,0.37300531914893614
2024-04,senior,role_summary,866,3008,0.2878989361702128
2024-04,senior,unclassified,2532,3008,0.8417553191489362
2024-04,unknown,about_company,156,953,0.16369359916054566
2024-04,unknown,benefits,239,953,0.25078698845750264
2024-04,unknown,legal_eeo,65,953,0.06820566631689402
2024-04,unknown,preferred,111,953,0.11647429171038824
2024-04,unknown,requirements,468,953,0.4910807974816369
2024-04,unknown,responsibilities,351,953,0.3683105981112277
2024-04,unknown,role_summary,268,953,0.2812172088142707
2024-04,unknown,unclassified,779,953,0.8174186778593914
2026-03,junior,about_company,228,3255,0.07004608294930875
2026-03,junior,benefits,1004,3255,0.3084485407066052
2026-03,junior,legal_eeo,380,3255,0.11674347158218126
2026-03,junior,preferred,146,3255,0.04485407066052227
2026-03,junior,requirements,372,3255,0.11428571428571428
2026-03,junior,responsibilities,340,3255,0.10445468509984639
2026-03,junior,role_summary,142,3255,0.04362519201228879
2026-03,junior,unclassified,3182,3255,0.9775729646697389
2026-03,mid,about_company,27,622,0.04340836012861737
2026-03,mid,benefits,106,622,0.17041800643086816
2026-03,mid,legal_eeo,49,622,0.07877813504823152
2026-03,mid,preferred,35,622,0.05627009646302251
2026-03,mid,requirements,41,622,0.06591639871382636
2026-03,mid,responsibilities,70,622,0.11254019292604502
2026-03,mid,role_summary,12,622,0.01929260450160772
2026-03,mid,unclassified,615,622,0.9887459807073955
2026-03,senior,about_company,1055,18592,0.05674483648881239
2026-03,senior,benefits,4570,18592,0.24580464716006883
2026-03,senior,legal_eeo,1243,18592,0.0668567125645439
2026-03,senior,preferred,801,18592,0.04308304647160069
2026-03,senior,requirements,1306,18592,0.07024526678141135
2026-03,senior,responsibilities,2277,18592,0.12247203098106713
2026-03,senior,role_summary,693,18592,0.03727409638554217
2026-03,senior,unclassified,18263,18592,0.9823042168674698
2026-03,unknown,about_company,151,1626,0.0928659286592866
2026-03,unknown,benefits,314,1626,0.1931119311193112
2026-03,unknown,legal_eeo,154,1626,0.09471094710947109
2026-03,unknown,preferred,280,1626,0.17220172201722017
2026-03,unknown,requirements,273,1626,0.16789667896678967
2026-03,unknown,responsibilities,197,1626,0.12115621156211562
2026-03,unknown,role_summary,40,1626,0.024600246002460024
2026-03,unknown,unclassified,1617,1626,0.9944649446494465
