technology,period,rate_ai_posts,rate_non_ai_posts,diff_pp,n_ai,n_non_ai
lang_python,2024,52.83,34.01,18.83,935,27297
lang_python,2026,63.75,45.2,18.56,6318,17777
lang_java,2024,20.0,28.78,-8.78,935,27297
lang_java,2026,29.06,30.78,-1.72,6318,17777
lang_javascript,2024,12.73,25.0,-12.28,935,27297
lang_javascript,2026,26.81,22.77,4.04,6318,17777
lang_typescript,2024,6.1,9.42,-3.33,935,27297
lang_typescript,2026,19.85,12.57,7.28,6318,17777
lang_go,2024,1.5,3.46,-1.96,935,27297
lang_go,2026,4.31,3.07,1.24,6318,17777
lang_rust,2024,2.03,1.45,0.58,935,27297
lang_rust,2026,5.49,3.86,1.63,6318,17777
lang_c_cpp,2024,0.21,1.56,-1.35,935,27297
lang_c_cpp,2026,0.09,0.06,0.04,6318,17777
lang_csharp,2024,0.11,0.2,-0.09,935,27297
lang_csharp,2026,0.0,0.04,-0.04,6318,17777
lang_ruby,2024,0.43,3.08,-2.65,935,27297
lang_ruby,2026,2.71,2.54,0.16,6318,17777
lang_kotlin,2024,1.5,2.3,-0.8,935,27297
lang_kotlin,2026,2.36,4.16,-1.8,6318,17777
lang_swift,2024,0.32,1.73,-1.41,935,27297
lang_swift,2026,1.82,2.88,-1.06,6318,17777
lang_scala,2024,6.2,5.11,1.09,935,27297
lang_scala,2026,4.05,3.63,0.42,6318,17777
lang_php,2024,4.92,2.25,2.67,935,27297
lang_php,2026,0.81,1.39,-0.58,6318,17777
lang_r,2024,0.0,0.06,-0.06,935,27297
lang_r,2026,0.19,0.02,0.17,6318,17777
lang_sql,2024,14.97,29.27,-14.3,935,27297
lang_sql,2026,24.28,25.28,-1.0,6318,17777
lang_bash_shell,2024,3.1,6.82,-3.72,935,27297
lang_bash_shell,2026,3.31,8.95,-5.64,6318,17777
lang_perl,2024,0.11,1.99,-1.88,935,27297
lang_perl,2026,0.63,1.64,-1.01,6318,17777
lang_lua,2024,0.0,0.21,-0.21,935,27297
lang_lua,2026,0.09,0.1,-0.01,6318,17777
lang_dart,2024,0.0,0.09,-0.09,935,27297
lang_dart,2026,0.13,0.15,-0.03,6318,17777
lang_elixir,2024,0.11,0.15,-0.04,935,27297
lang_elixir,2026,0.09,0.15,-0.06,6318,17777
