skill,count,pct
Python,8022,34.589513625388065
Java,6463,27.86736805795102
AWS,5527,23.831493618489134
SQL,5290,22.80958951362539
Kubernetes,4043,17.432735426008968
JavaScript,3834,16.53156260779579
Docker,3831,16.518627112797514
Agile,3283,14.155743359779235
Communication,3182,13.720248361503968
Software Engineering,2946,12.702656088306313
Linux,2852,12.297343911693687
DevOps,2577,11.111590203518455
C++,2514,10.839944808554675
Software Development,2507,10.809761986892031
Git,2438,10.512245601931701
React,2263,9.757675060365644
Go,2189,9.438599517074854
Troubleshooting,2181,9.40410486374612
Azure,2179,9.395481200413936
Computer Science,2109,9.093652983787512
C#,2093,9.024663677130045
Collaboration,1796,7.744049672300793
Jenkins,1769,7.627630217316315
Teamwork,1765,7.610382890651948
Microservices,1709,7.368920317350811
HTML,1696,7.312866505691618
CSS,1691,7.291307347361159
NoSQL,1629,7.02397378406347
TypeScript,1629,7.02397378406347
Angular,1614,6.959296309072094
Terraform,1568,6.760952052431874
Cloud Computing,1518,6.545360469127286
Problem Solving,1495,6.446188340807176
CI/CD,1439,6.204725767506036
Systems Engineering,1435,6.187478440841669
Kafka,1428,6.157295619179027
Node.js,1424,6.140048292514661
Testing,1415,6.101241807519835
Machine Learning,1404,6.053811659192825
Leadership,1352,5.829596412556054
Scala,1258,5.4242842359434285
Bachelor's Degree,1232,5.312176612625043
GCP,1198,5.165574335977923
Documentation,1175,5.066402207657813
MySQL,1165,5.023283890996896
Automation,1160,5.001724732666437
Scrum,1156,4.98447740600207
Project Management,1105,4.76457399103139
Debugging,1098,4.734391169368748
Communication Skills,1097,4.730079337702656
Communication skills,1095,4.721455674370473
Engineering,1090,4.699896516040014
Mentoring,1082,4.665401862711279
Security,1077,4.6438427043808215
Problemsolving,1074,4.630907209382546
Jira,1047,4.514487754398068
Software engineering,1046,4.510175922731976
Software development,1029,4.436874784408416
Ansible,1011,4.3592618144187645
Windows,978,4.216971369437737
Agile Development,946,4.078992756122801
Unit Testing,931,4.014315281131425
Electrical Engineering,910,3.923766816143498
Networking,907,3.9108313211452224
Spark,906,3.906519489479131
Design,886,3.8202828561572955
Hadoop,873,3.764229044498103
Oracle,858,3.6995515695067267
PostgreSQL,853,3.6779924111762674
Unit testing,841,3.6262504311831667
Microsoft Azure,805,3.4710244912038632
MongoDB,803,3.46240082787168
SQL Server,784,3.380476026215937
Data Analysis,778,3.354605036219386
JSON,774,3.3373577095550186
Cloud computing,773,3.333045877888927
C,769,3.3157985512245602
Confluence,752,3.2424974129010007
REST,748,3.2252500862366333
Scalability,744,3.2080027595722664
Monitoring,737,3.177819937909624
XML,733,3.160572611245257
C/C++,732,3.1562607795791653
Algorithms,731,3.1519489479130733
Data Engineering,718,3.0958951362538807
JIRA,718,3.0958951362538807
Software Design,694,2.9924111762676784
.NET,675,2.9104863746119354
Bash,672,2.89755087961366
Continuous Integration,659,2.8414970679544673
Distributed Systems,636,2.7423249396343565
Project management,629,2.7121421179717142
Cassandra,628,2.7078302863056227
Open Source RDBMS,625,2.6948947913073473
Snowflake,622,2.6819592963090724
GitHub,622,2.6819592963090724
Google Cloud,607,2.617281821317696
RDBMS,605,2.6086581579855124
Software Testing,600,2.5870989996550535
HTML/CSS,600,2.5870989996550535
