pair,period_group,feature,coefficient,abs_coef,rank
entry vs associate,2024,tech_count,-0.20170861688230998,0.20170861688230998,1
entry vs associate,2024,desc_length_log,0.11278640886167157,0.11278640886167157,2
entry vs associate,2024,mgmt_density,0.07113066285778244,0.07113066285778244,3
entry vs associate,2024,ai_mention,-0.02818630774945852,0.02818630774945852,4
entry vs associate,2024,education_ordinal,0.010002520950417872,0.010002520950417872,5
entry vs associate,2024,scope_density,0.005563931312661731,0.005563931312661731,6
entry vs associate,2024,yoe_imputed,-0.0006302009321659865,0.0006302009321659865,7
associate vs mid-senior,2024,yoe_imputed,0.6646624053547763,0.6646624053547763,1
associate vs mid-senior,2024,tech_count,0.41003069357891647,0.41003069357891647,2
associate vs mid-senior,2024,scope_density,0.09955224537474758,0.09955224537474758,3
associate vs mid-senior,2024,education_ordinal,0.09319783537867589,0.09319783537867589,4
associate vs mid-senior,2024,mgmt_density,0.07742112902544825,0.07742112902544825,5
associate vs mid-senior,2024,desc_length_log,0.02792047971428912,0.02792047971428912,6
associate vs mid-senior,2024,ai_mention,0.013506619005663748,0.013506619005663748,7
mid-senior vs director,2024,yoe_imputed,0.4261093597717776,0.4261093597717776,1
mid-senior vs director,2024,desc_length_log,0.38738159343012685,0.38738159343012685,2
mid-senior vs director,2024,scope_density,0.34711821567680284,0.34711821567680284,3
mid-senior vs director,2024,mgmt_density,0.33013497889392623,0.33013497889392623,4
mid-senior vs director,2024,education_ordinal,0.2514256022835956,0.2514256022835956,5
mid-senior vs director,2024,tech_count,-0.14760682570296157,0.14760682570296157,6
mid-senior vs director,2024,ai_mention,-0.05776451524951523,0.05776451524951523,7
entry vs associate,2026,scope_density,0.2612393397115869,0.2612393397115869,1
entry vs associate,2026,mgmt_density,0.1633936725880051,0.1633936725880051,2
entry vs associate,2026,ai_mention,-0.09934106683278832,0.09934106683278832,3
entry vs associate,2026,tech_count,0.08319776257499702,0.08319776257499702,4
entry vs associate,2026,desc_length_log,-0.06982900207151123,0.06982900207151123,5
entry vs associate,2026,education_ordinal,0.017679309273052533,0.017679309273052533,6
entry vs associate,2026,yoe_imputed,0.015971835136340082,0.015971835136340082,7
associate vs mid-senior,2026,yoe_imputed,0.7884201991465457,0.7884201991465457,1
associate vs mid-senior,2026,desc_length_log,0.328052517052121,0.328052517052121,2
associate vs mid-senior,2026,ai_mention,0.1236889315661967,0.1236889315661967,3
associate vs mid-senior,2026,education_ordinal,0.1219369097272581,0.1219369097272581,4
associate vs mid-senior,2026,tech_count,0.10808214157820603,0.10808214157820603,5
associate vs mid-senior,2026,mgmt_density,0.04164301048189509,0.04164301048189509,6
associate vs mid-senior,2026,scope_density,-0.002049890873918511,0.002049890873918511,7
mid-senior vs director,2026,tech_count,0.28097430197146916,0.28097430197146916,1
mid-senior vs director,2026,scope_density,0.25511827261373243,0.25511827261373243,2
mid-senior vs director,2026,desc_length_log,0.22563676118646472,0.22563676118646472,3
mid-senior vs director,2026,ai_mention,-0.19441939016607496,0.19441939016607496,4
mid-senior vs director,2026,yoe_imputed,0.1926750401972257,0.1926750401972257,5
mid-senior vs director,2026,education_ordinal,0.11280615371532406,0.11280615371532406,6
mid-senior vs director,2026,mgmt_density,0.014470890503618532,0.014470890503618532,7
