metric,type,stat,arshkon_value,asaniczka_value,scraped_value,within_2024_effect_d,cross_period_effect_d,calibration_ratio,arshkon_n,asaniczka_n,scraped_n
description_length_mean,continuous,mean,3315.8,4052.2,5201.0,0.3522,0.8072,2.29,5019,23213,35062
description_length_median,continuous,median,2954.0,3825.0,5175.0,0.3522,0.8072,2.29,5019,23213,35062
core_length_mean,continuous,mean,2738.46,2696.12,4308.37,-0.0241,0.805,-33.41,5019,23213,35062
core_length_median,continuous,median,2504.0,2419.0,4184.5,-0.0241,0.805,-33.41,5019,23213,35062
yoe_extracted_mean,continuous,mean,5.2,5.59,4.99,0.1334,-0.077,-0.58,3040,16755,24209
yoe_extracted_median,continuous,median,5.0,5.0,5.0,0.1334,-0.077,-0.58,3040,16755,24209
tech_count_mean,continuous,mean,6.47,6.55,8.77,0.0154,0.3806,24.78,5019,23213,35062
tech_count_median,continuous,median,5.0,5.0,8.0,0.0154,0.3806,24.78,5019,23213,35062
ai_keyword_count_mean,continuous,mean,0.06,0.04,0.74,-0.065,0.4314,-6.64,5019,23213,35062
has_ai_keyword,binary,proportion,0.0379,0.0301,0.2628,-0.0428,0.685,-16.0,5019,23213,35062
has_ml_keyword,binary,proportion,0.1002,0.1208,0.2918,0.0658,0.4971,7.55,5019,23213,35062
has_management_indicator,binary,proportion,0.3851,0.5126,0.5682,0.2571,0.3686,1.43,5019,23213,35062
has_scope_term,binary,proportion,0.4503,0.4969,0.6297,0.0934,0.362,3.87,5019,23213,35062
has_soft_skill,binary,proportion,0.4644,0.4794,0.6222,0.03,0.3182,10.59,5019,23213,35062
is_aggregator,binary,proportion,0.1178,0.2731,0.1433,0.3993,0.0761,0.19,5019,23213,35062
seniority_entry_rate,binary,proportion,0.169,0.0056,0.1328,-0.698,-0.1012,0.15,5019,23213,35062
seniority_associate_rate,binary,proportion,0.048,0.0625,0.0284,0.0636,-0.1031,-1.62,5019,23213,35062
seniority_midsrnr_rate,binary,proportion,0.5826,0.928,0.7645,0.8616,0.3915,0.45,5019,23213,35062
seniority_director_rate,binary,proportion,0.0044,0.0039,0.01,-0.0072,0.0679,-9.43,5019,23213,35062
seniority_unknown_rate,binary,proportion,0.1961,0.0,0.0643,-0.9174,-0.4047,0.44,5019,23213,35062
has_yoe,binary,proportion,0.6057,0.7218,0.6905,0.2466,0.1778,0.72,5019,23213,35062
is_remote,binary,proportion,0.0,0.0,0.0,0.0,0.0,,5019,23213,35062
has_llm_text,binary,proportion,0.9992,0.9002,0.2084,-0.5863,-2.1369,3.64,5019,23213,35062
tech_python,binary,proportion,0.3521,0.3511,0.5018,-0.0019,0.3039,-157.26,5019,23213,35062
tech_java,binary,proportion,0.2857,0.2895,0.3043,0.0083,0.0407,4.88,5019,23213,35062
tech_javascript,binary,proportion,0.2712,0.2441,0.2264,-0.0619,-0.1037,1.67,5019,23213,35062
tech_typescript,binary,proportion,0.101,0.1556,0.1893,0.164,0.2533,1.54,5019,23213,35062
tech_react,binary,proportion,0.1474,0.1381,0.1859,-0.0267,0.1033,-3.87,5019,23213,35062
tech_aws,binary,proportion,0.2851,0.3022,0.3628,0.0374,0.1664,4.45,5019,23213,35062
tech_kubernetes,binary,proportion,0.1466,0.1736,0.2236,0.0736,0.1991,2.7,5019,23213,35062
tech_docker,binary,proportion,0.1371,0.1611,0.1824,0.0675,0.124,1.84,5019,23213,35062
tech_sql,binary,proportion,0.3038,0.2885,0.2468,-0.0335,-0.128,3.82,5019,23213,35062
tech_llm,binary,proportion,0.01,0.005,0.0985,-0.0591,0.4384,-7.42,5019,23213,35062
tech_copilot,binary,proportion,0.002,0.0005,0.0386,-0.0458,0.3061,-6.69,5019,23213,35062
