operationalization,source,period,entry_count,total,entry_share
seniority_final,kaggle_arshkon,2024-04,848,4035,0.2102
seniority_final,kaggle_asaniczka,2024-01,129,23213,0.0056
seniority_final,scraped,2026-03,3306,22455,0.1472
seniority_final,scraped,2026-04,1350,10353,0.1304
seniority_native,kaggle_arshkon,2024-04,769,3444,0.2233
seniority_native,kaggle_asaniczka,2024-01,0,23213,0.0
seniority_native,scraped,2026-03,2785,19861,0.1402
seniority_native,scraped,2026-04,1187,9216,0.1288
seniority_final_highconf,kaggle_arshkon,2024-04,829,3881,0.2136
seniority_final_highconf,kaggle_asaniczka,2024-01,129,23213,0.0056
seniority_final_highconf,scraped,2026-03,3250,21794,0.1491
seniority_final_highconf,scraped,2026-04,1339,10103,0.1325
seniority_llm,kaggle_arshkon,2024-04,84,504,0.1667
seniority_llm,kaggle_asaniczka,2024-01,39,613,0.0636
seniority_llm,scraped,2026-03,153,479,0.3194
seniority_llm,scraped,2026-04,27,170,0.1588
