source,period,seniority_final,n
kaggle_arshkon,2024-04,associate,241
kaggle_arshkon,2024-04,director,22
kaggle_arshkon,2024-04,entry,848
kaggle_arshkon,2024-04,mid-senior,2924
kaggle_asaniczka,2024-01,associate,1451
kaggle_asaniczka,2024-01,director,91
kaggle_asaniczka,2024-01,entry,129
kaggle_asaniczka,2024-01,mid-senior,21542
scraped,2026-03,associate,688
scraped,2026-03,director,221
scraped,2026-03,entry,3306
scraped,2026-03,mid-senior,18240
scraped,2026-04,associate,308
scraped,2026-04,director,130
scraped,2026-04,entry,1350
scraped,2026-04,mid-senior,8565
