source,period,seniority_final,n
kaggle_arshkon,2024-04,associate,206
kaggle_arshkon,2024-04,director,22
kaggle_arshkon,2024-04,entry,829
kaggle_arshkon,2024-04,mid-senior,2824
kaggle_asaniczka,2024-01,associate,1451
kaggle_asaniczka,2024-01,director,91
kaggle_asaniczka,2024-01,entry,129
kaggle_asaniczka,2024-01,mid-senior,21542
scraped,2026-03,associate,549
scraped,2026-03,director,221
scraped,2026-03,entry,3250
scraped,2026-03,mid-senior,17774
scraped,2026-04,associate,244
scraped,2026-04,director,130
scraped,2026-04,entry,1339
scraped,2026-04,mid-senior,8390
