title,source,seniority,count,pct
software engineer,kaggle_arshkon,associate,18,5.625
software engineer,kaggle_arshkon,director,2,0.625
software engineer,kaggle_arshkon,entry,52,16.25
software engineer,kaggle_arshkon,mid-senior,248,77.5
software engineer,scraped,associate,106,3.9056742815033165
software engineer,scraped,director,25,0.9211495946941783
software engineer,scraped,entry,560,20.633750921149595
software engineer,scraped,executive,2,0.07369196757553427
software engineer,scraped,intern,10,0.36845983787767134
software engineer,scraped,mid-senior,2011,74.0972733971997
data engineer,kaggle_arshkon,associate,8,6.349206349206349
data engineer,kaggle_arshkon,entry,28,22.22222222222222
data engineer,kaggle_arshkon,executive,1,0.7936507936507936
data engineer,kaggle_arshkon,mid-senior,89,70.63492063492063
data engineer,scraped,associate,39,4.229934924078091
data engineer,scraped,director,10,1.0845986984815619
data engineer,scraped,entry,133,14.425162689804772
data engineer,scraped,intern,1,0.10845986984815618
data engineer,scraped,mid-senior,739,80.15184381778741
devops engineer,kaggle_arshkon,associate,1,1.5873015873015872
devops engineer,kaggle_arshkon,entry,9,14.285714285714285
devops engineer,kaggle_arshkon,mid-senior,53,84.12698412698413
devops engineer,scraped,associate,19,4.269662921348314
devops engineer,scraped,director,1,0.22471910112359553
devops engineer,scraped,entry,59,13.258426966292136
devops engineer,scraped,executive,1,0.22471910112359553
devops engineer,scraped,mid-senior,365,82.02247191011236
machine learning engineer,kaggle_arshkon,entry,2,5.405405405405405
machine learning engineer,kaggle_arshkon,mid-senior,35,94.5945945945946
machine learning engineer,scraped,associate,16,4.804804804804805
machine learning engineer,scraped,director,3,0.9009009009009009
machine learning engineer,scraped,entry,43,12.912912912912914
machine learning engineer,scraped,executive,1,0.3003003003003003
machine learning engineer,scraped,mid-senior,270,81.08108108108108
full stack engineer,kaggle_arshkon,associate,6,15.384615384615385
full stack engineer,kaggle_arshkon,entry,2,5.128205128205128
full stack engineer,kaggle_arshkon,mid-senior,31,79.48717948717949
full stack engineer,scraped,associate,16,5.904059040590406
full stack engineer,scraped,entry,29,10.70110701107011
full stack engineer,scraped,mid-senior,226,83.39483394833948
ai engineer,kaggle_arshkon,entry,1,20.0
ai engineer,kaggle_arshkon,mid-senior,4,80.0
ai engineer,scraped,associate,8,2.666666666666667
ai engineer,scraped,entry,36,12.0
ai engineer,scraped,intern,1,0.33333333333333337
ai engineer,scraped,mid-senior,255,85.0
site reliability engineer,kaggle_arshkon,associate,3,8.333333333333332
site reliability engineer,kaggle_arshkon,entry,5,13.88888888888889
site reliability engineer,kaggle_arshkon,mid-senior,28,77.77777777777779
site reliability engineer,scraped,associate,9,4.368932038834951
site reliability engineer,scraped,entry,14,6.796116504854369
site reliability engineer,scraped,mid-senior,183,88.83495145631069
embedded software engineer,kaggle_arshkon,associate,3,9.67741935483871
embedded software engineer,kaggle_arshkon,entry,7,22.58064516129032
embedded software engineer,kaggle_arshkon,mid-senior,21,67.74193548387096
embedded software engineer,scraped,associate,14,6.140350877192982
embedded software engineer,scraped,entry,30,13.157894736842104
embedded software engineer,scraped,intern,1,0.43859649122807015
embedded software engineer,scraped,mid-senior,183,80.26315789473685
software developer,kaggle_arshkon,associate,2,6.25
software developer,kaggle_arshkon,director,1,3.125
software developer,kaggle_arshkon,entry,12,37.5
software developer,kaggle_arshkon,mid-senior,17,53.125
software developer,scraped,associate,7,3.954802259887006
software developer,scraped,entry,46,25.98870056497175
software developer,scraped,mid-senior,124,70.05649717514125
test engineer,kaggle_arshkon,associate,6,24.0
test engineer,kaggle_arshkon,entry,9,36.0
test engineer,kaggle_arshkon,mid-senior,10,40.0
test engineer,scraped,associate,14,7.1065989847715745
test engineer,scraped,entry,61,30.96446700507614
test engineer,scraped,intern,1,0.5076142131979695
test engineer,scraped,mid-senior,121,61.42131979695431
