analysis_type,comparison,seniority_variable,n_group1,n_group2,MDE_binary_p30,MDE_continuous_d,verdict
All SWE,arshkon vs scraped,seniority_final,5019,35062,0.0194,0.0423,well-powered
All SWE,pooled_2024 vs scraped,seniority_final,28232,35062,0.0103,0.0224,well-powered
All SWE,asaniczka vs scraped,seniority_final,23213,35062,0.0109,0.0237,well-powered
Entry-level (seniority_final),arshkon vs scraped,seniority_final,848,4656,0.0479,0.1046,adequate
Entry-level (seniority_llm),arshkon vs scraped,seniority_llm,84,180,0.1696,0.3702,underpowered
Entry-level (seniority_llm),asaniczka vs scraped,seniority_llm,39,180,0.2268,0.4948,underpowered
Entry-level (seniority_llm),pooled_2024 vs scraped,seniority_llm,123,180,0.1502,0.3277,underpowered
Entry-level (seniority_native),arshkon vs scraped,seniority_native,769,3972,0.0506,0.1104,marginal
Mid-senior (seniority_final),arshkon vs scraped,seniority_final,2924,26805,0.025,0.0546,well-powered
Mid-senior (seniority_final),pooled_2024 vs scraped,seniority_final,24466,26805,0.0114,0.0248,well-powered
Mid-senior (seniority_llm),arshkon vs scraped,seniority_llm,404,409,0.0901,0.1965,marginal
Mid-senior (seniority_llm),pooled_2024 vs scraped,seniority_llm,902,409,0.0765,0.167,marginal
Associate (seniority_final),arshkon vs scraped,seniority_final,241,996,0.0922,0.2011,marginal
Associate (seniority_llm),arshkon vs scraped,seniority_llm,15,30,0.406,0.8859,underpowered
Director (seniority_final),arshkon vs scraped,seniority_final,22,351,0.2822,0.6157,underpowered
