metro_area,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024,arshkon_and_scraped
San Francisco Bay Area,403.0,1843.0,4426.0,2246.0,1
Washington DC Metro,298.0,2086.0,2527.0,2384.0,1
Seattle Metro,189.0,667.0,2005.0,856.0,1
New York City Metro,11.0,55.0,1862.0,66.0,1
Dallas-Fort Worth Metro,272.0,758.0,1755.0,1030.0,1
Salt Lake City Metro,32.0,444.0,1479.0,476.0,1
Boston Metro,140.0,1042.0,1433.0,1182.0,1
Los Angeles Metro,130.0,1051.0,1430.0,1181.0,1
Austin Metro,99.0,310.0,1131.0,409.0,1
Chicago Metro,176.0,853.0,999.0,1029.0,1
Atlanta Metro,148.0,521.0,972.0,669.0,1
Charlotte Metro,81.0,280.0,849.0,361.0,1
Philadelphia Metro,83.0,645.0,702.0,728.0,1
Denver Metro,85.0,592.0,685.0,677.0,1
Phoenix Metro,85.0,341.0,608.0,426.0,1
Detroit Metro,67.0,391.0,532.0,458.0,1
Raleigh-Durham-Chapel Hill,51.0,258.0,530.0,309.0,1
San Diego Metro,57.0,280.0,486.0,337.0,1
Houston Metro,70.0,186.0,479.0,256.0,1
Columbus Metro,41.0,244.0,448.0,285.0,1
Minneapolis-Saint Paul,53.0,252.0,446.0,305.0,1
Pittsburgh Metro,44.0,187.0,396.0,231.0,1
Miami Metro,29.0,240.0,321.0,269.0,1
Tampa Bay Metro,47.0,209.0,294.0,256.0,1
Nashville Metro,11.0,131.0,242.0,142.0,1
Portland Metro,14.0,163.0,216.0,177.0,1
