period,metro_area,n
2024-01,Washington DC Metro,2086
2024-01,San Francisco Bay Area,1843
2024-01,Los Angeles Metro,1051
2024-01,Boston Metro,1042
2024-01,Chicago Metro,853
2024-01,Dallas-Fort Worth Metro,758
2024-01,Seattle Metro,667
2024-01,Philadelphia Metro,645
2024-01,Denver Metro,592
2024-01,Atlanta Metro,521
2024-01,Salt Lake City Metro,444
2024-01,Detroit Metro,391
2024-01,Phoenix Metro,341
2024-01,Austin Metro,310
2024-01,San Diego Metro,280
2024-04,San Francisco Bay Area,403
2024-04,Washington DC Metro,298
2024-04,Dallas-Fort Worth Metro,272
2024-04,Seattle Metro,189
2024-04,Chicago Metro,176
2024-04,Atlanta Metro,148
2024-04,Boston Metro,140
2024-04,Los Angeles Metro,130
2024-04,Austin Metro,99
2024-04,Phoenix Metro,85
2024-04,Denver Metro,85
2024-04,Philadelphia Metro,83
2024-04,Charlotte Metro,81
2024-04,Houston Metro,70
2024-04,Detroit Metro,67
2026-03,San Francisco Bay Area,2991
2026-03,Washington DC Metro,1604
2026-03,Seattle Metro,1430
2026-03,New York City Metro,1231
2026-03,Dallas-Fort Worth Metro,1195
2026-03,Salt Lake City Metro,1056
2026-03,Boston Metro,967
2026-03,Los Angeles Metro,936
2026-03,Austin Metro,731
2026-03,Chicago Metro,707
2026-03,Atlanta Metro,692
2026-03,Charlotte Metro,599
2026-03,Philadelphia Metro,500
2026-03,Denver Metro,474
2026-03,Phoenix Metro,367
2026-04,San Francisco Bay Area,1435
2026-04,Washington DC Metro,923
2026-04,New York City Metro,631
2026-04,Seattle Metro,575
2026-04,Dallas-Fort Worth Metro,560
2026-04,Los Angeles Metro,494
2026-04,Boston Metro,466
2026-04,Salt Lake City Metro,423
2026-04,Austin Metro,400
2026-04,Chicago Metro,292
2026-04,Atlanta Metro,280
2026-04,Charlotte Metro,250
2026-04,Phoenix Metro,241
2026-04,Denver Metro,211
2026-04,Philadelphia Metro,202
