period,company_industry,n
2024-04,IT Services and IT Consulting,1213
2024-04,Software Development,789
2024-04,Financial Services,473
2024-04,Staffing and Recruiting,274
2024-04,Information Services,156
2024-04,Information Technology & Services,126
2024-04,"Technology, Information and Internet",123
2024-04,Defense and Space Manufacturing,121
2024-04,Banking,92
2024-04,"Technology, Information and Media",85
2024-04,Hospitals and Health Care,79
2024-04,Retail,75
2024-04,Motor Vehicle Manufacturing,65
2024-04,Insurance,64
2024-04,Business Consulting and Services,63
2026-03,Software Development,6196
2026-03,IT Services and IT Consulting,2680
2026-03,Financial Services,2065
2026-03,"Technology, Information and Internet",1379
2026-03,Defense and Space Manufacturing,784
2026-03,Staffing and Recruiting,595
2026-03,"Information Services and Technology, Information and Internet",515
2026-03,Business Consulting and Services,404
2026-03,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",340
2026-03,Hospitals and Health Care,305
2026-03,Semiconductor Manufacturing,280
2026-03,Insurance,272
2026-03,Entertainment Providers,241
2026-03,"Accounting, Financial Services, and Business Consulting and Services",236
2026-03,Aviation and Aerospace Component Manufacturing,235
2026-04,Software Development,2810
2026-04,IT Services and IT Consulting,1215
2026-04,Financial Services,945
2026-04,"Technology, Information and Internet",504
2026-04,Defense and Space Manufacturing,403
2026-04,Staffing and Recruiting,257
2026-04,"Information Services and Technology, Information and Internet",249
2026-04,Retail,196
2026-04,"Accounting, Financial Services, and Business Consulting and Services",184
2026-04,Hospitals and Health Care,150
2026-04,Semiconductor Manufacturing,149
2026-04,Aviation and Aerospace Component Manufacturing,149
2026-04,Business Consulting and Services,144
2026-04,Civil Engineering,128
2026-04,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",105
