archetype,period,n,n_known_combined,entry_share_combined,n_known_yoe,yoe_junior_share
0,2024,347,213,0.131,252,0.234
0,2026-03,300,57,0.105,223,0.43
0,2026-04,371,57,0.035,284,0.243
1,2024,109,64,0.062,63,0.143
1,2026-03,405,44,0.068,254,0.232
1,2026-04,398,43,0.047,264,0.121
2,2024,241,93,0.043,137,0.109
2,2026-03,253,27,0.037,174,0.161
2,2026-04,218,28,0.143,145,0.145
3,2024,240,104,0.029,154,0.117
3,2026-03,221,33,0.242,159,0.239
3,2026-04,202,27,0.074,132,0.121
4,2024,212,110,0.082,117,0.085
4,2026-03,163,13,0.077,103,0.252
4,2026-04,141,19,0.053,85,0.224
5,2024,135,69,0.043,82,0.11
5,2026-03,100,7,0.0,51,0.137
5,2026-04,77,5,0.0,38,0.079
6,2024,74,40,0.125,43,0.163
6,2026-03,88,9,0.111,59,0.254
6,2026-04,60,5,0.2,34,0.118
7,2024,86,27,0.0,51,0.157
7,2026-03,71,3,0.333,50,0.08
7,2026-04,52,5,0.0,33,0.091
8,2024,51,24,0.0,38,0.105
8,2026-03,53,4,0.25,39,0.256
8,2026-04,61,8,0.0,42,0.238
9,2024,117,63,0.016,73,0.082
9,2026-03,18,2,0.0,12,0.167
9,2026-04,30,2,0.0,18,0.0
10,2024,38,12,0.0,22,0.091
10,2026-03,60,7,0.143,43,0.186
10,2026-04,52,7,0.0,38,0.158
11,2024,57,28,0.071,37,0.189
11,2026-03,34,4,0.25,29,0.103
11,2026-04,43,6,0.0,36,0.083
12,2024,18,8,0.0,10,0.1
12,2026-03,37,6,0.0,29,0.31
12,2026-04,47,2,0.0,40,0.35
13,2024,20,13,0.0,16,0.062
13,2026-03,30,5,0.0,19,0.421
13,2026-04,25,3,0.0,13,0.308
14,2024,0,0,,0,
14,2026-03,12,0,,5,0.0
14,2026-04,61,0,,33,0.061
15,2024,27,9,0.0,15,0.067
15,2026-03,12,3,0.0,7,0.286
15,2026-04,26,4,0.0,19,0.211
16,2024,35,13,0.154,19,0.0
16,2026-03,13,1,0.0,6,0.0
16,2026-04,9,1,0.0,7,0.0
17,2024,33,29,0.103,29,0.103
17,2026-03,9,2,0.0,6,0.333
17,2026-04,9,4,0.0,8,0.0
18,2024,20,9,0.111,15,0.267
18,2026-03,9,2,0.5,8,0.375
18,2026-04,11,2,0.0,8,0.25
19,2024,26,11,0.0,18,0.111
19,2026-03,8,2,0.0,5,0.6
19,2026-04,6,1,0.0,4,0.0
20,2024,0,0,,0,
20,2026-03,6,0,,6,0.333
20,2026-04,29,0,,26,0.192
21,2024,7,6,0.0,1,0.0
21,2026-03,11,0,,8,0.5
21,2026-04,13,0,,12,0.083
22,2024,9,4,0.0,8,0.125
22,2026-03,13,1,1.0,8,0.125
22,2026-04,8,0,,6,0.333
