title,n_2024,n_2026
dotnet developer,56,2
java architect,25,0
database developer,14,2
front end engineer (remote),11,1
php developer,10,1
drupal developer,9,0
software engineer cash commerce,9,0
embedded engineer,7,2
software engineer full stack (java aws),7,0
. .net developer,6,0
devops consultant,6,1
scala developer,6,2
devops architect,6,1
java application developer,5,0
bi data engineer,5,2
software engineer full stack (remote eligible),5,0
infrastructure engineer (network operations),5,0
. java developer,5,0
manager full stack software engineering capital one software (remote eligible),5,0
software development engineer aws marketplace,5,1
back end engineer res & guest,4,0
project developer,4,0
cloud engineer gcp,4,0
data engineer aws (python airflow rds),4,0
full stack engineer credit inventory,4,0
c# .net developer,4,1
hardware software systems engineer (nasa hhpc johnson space center),4,0
mainframe engineer,4,0
software engineer data streaming,4,0
software engineer full stack (typescript node react aws),4,0
infrastructure specialist,4,2
adobe developer,4,0
python data analytics software engineer,4,0
software engineer back end (golang),4,0
mission software engineer fury cca (generalist),4,0
software dev. engineer,4,0
infrastructure,3,0
dot net developer,3,0
infrastructure engineer (data),3,0
ruby developer,3,2
software engineer back end (java python spring boot aws),3,0
business systems analyst site reliability center,3,0
python perl developer,3,0
embedded systems engineer,3,1
fullstack software engineer mid level,3,0
software engineer back end (python kubernetes aws),3,0
finops infrastructure engineer,3,0
inside sales application engineer,3,1
wordpress developer,3,0
. applied ai engineer,3,0
software engineer (mobile sdk),3,0
hybrid java backend developer,3,0
software engineer backend (java go),3,0
software engineer back end (python),3,0
software engineer (c# .net) services,3,0
software engineer (mainframe sql etl),3,0
middleware engineer with devops,3,0
data scientist java programmer,3,0
software and systems engineer,3,1
application engineer (full stack),3,0
computer vision machine learning engineer,3,0
software quality assurance analyst,3,0
. learning platform engineer (global),3,0
geographic information systems engineer,3,0
. platform engineer,3,0
full stack engineer (javascript typescript angular java aws),3,0
hp nonstop software engineer,3,0
salesforce developer (clearance eligible),3,0
engineer – it infrastructure,3,0
full stack engineer payments,3,0
application engineer (sre),3,0
systems engineer fire suppression,3,0
.net architect,3,1
software solutions architect,3,2
platform engineer (ibm websphere mq),3,0
oracle it programmer software engineer,3,0
