title,n_2024,n_2026
c# .net developer,129,1
php developer,104,1
server infrastructure engineer,103,0
dotnet developer,96,2
machine learning engineer series a,95,0
software engineer protocol,94,0
founding software engineer seed stage,91,0
backend engineer startup,86,0
fullstack engineer startup,75,0
founding fullstack engineer seed,74,0
founding fullstack engineer ai startup,69,0
technical software engineering,66,0
manager devops,62,0
experienced associate software engineer (python sql),62,0
software engineer artificial intelligence,60,1
software engineer full stack (java aws),59,0
machine learning engineer ai,52,1
java architect,52,0
software engineer full stack (java python angular react),50,0
platform engineer (iam),49,0
. software engineer back end,49,0
data engineer public company,48,0
authentication services platform engineer (active directory sso aws),47,0
software engineer technology consulting,45,0
splunk infrastructure engineer,44,0
founding embedded systems engineer,43,0
manager software engineering full stack,43,1
software engineer back end (go java),43,0
software engineer full stack (nodejs javascript reactjs),42,0
database developer,42,2
software engineer backend (golang),41,1
backend engineer seed stage fintech,40,0
software engineer back end (go aws java),39,0
android engineer dating application,39,0
backend engineer startups,38,0
backend engineer distributed systems,38,2
mid to devops engineer,36,0
embedded engineer,35,2
automation tester,33,0
. java developer,32,0
systems engineer **,32,0
software engineer full stack (javascript aws),32,0
engineer generative ai engineering (remote eligible),32,0
backend engineer cloud infrastructure startup,32,0
applications developer,31,2
software engineer back end (python),30,0
software engineer front end (javascript),29,0
software engineer startups,29,0
software engineer full stack(javascript java aws),27,0
software engineer full stack (golang),27,0
test engineer with security clearance,26,1
data engineer (finops),26,0
software engineer back end (golang aws),25,0
software engineer (full stack back end),25,0
software engineer backend (scala spark),25,0
embedded systems engineer,23,1
. data engineer (hybrid),23,1
. automation engineer,22,0
data engineer (fintech team) (bangkok based relocation provided),22,0
data engineer max digital (data engineering),21,0
computer scientist,21,1
software engineer full stack (java python),21,0
software engineer full stack (enterprise data),20,0
linux systems engineer,20,1
software developer with security clearance,19,2
software engineer full stack (reactjs nodejs python aws),18,0
software developer (java),18,0
software engineer full stack (java python aws),18,1
it developer,17,0
. director software engineering devops & sre,17,0
publishing systems engineer,16,0
software architect.,16,0
. .net developer,16,0
data engineer (python java or scala),15,0
software engineer full stack (nodejs angular typescript),15,0
manager software engineering full stack (angular),15,0
data engineer max digital (data operations),15,0
engineer generative ai systems (remote eligible),15,0
technical services . advanced software engineer,15,0
devops architect,14,1
drupal developer,14,0
data engineer (remote),14,0
software engineer (remote eligible),14,0
software engineer full stack (go java angular),13,0
software engineer back end (java python devops aws),13,0
. firmware engineer,13,1
computer engineer,13,2
it infrastructure engineer,13,1
java software engineer (onsite) with security clearance,13,0
data engineer (python),13,0
. systems engineer with security clearance,12,0
.net architect,12,1
software development engineer amazon stores,12,0
software engineer cloud migrations,11,0
front end engineer (remote),11,1
java software engineer (onsite),11,0
application engineer (full stack),11,0
application development manager,11,0
advanced systems engineer,10,0
systems engineer (onsite) with security clearance,10,0
