title,n_2026,n_2024
ai ml engineer,139,0
data engineer manager,65,1
software engineer infrastructure,64,2
software engineer [multiple positions available],61,0
ai software engineer,53,1
fullstack engineer,51,1
(usa) software engineer,50,1
software engineer ios,49,2
software engineer frontend,45,2
software engineer ai,43,2
software engineer platform,43,1
software engineer java,41,0
engineering foundry software engineering full stack developer consultant,37,0
ai and distributed systems backend engineer manager consulting location open,37,0
flight software engineer,37,2
software engineer fullstack,37,0
applied ai engineer,35,1
ai data engineer consultant,34,0
servicenow developer consultant,34,0
software engineer product,34,0
ios engineer,34,1
data engineer associate,33,0
software engineer enterprise integrations,33,0
software engineer associate,33,0
associate director ai application engineer,32,0
associate software engineer,31,2
mobile apps test automation engineer,30,0
software engineer site reliability engineering,30,0
software engineer level,30,0
software development engineer in test (sdet),30,1
forward deployed software engineer palantir foundry manager,30,0
ai data engineer manager,28,0
genai python systems engineer director,28,0
forward deployed software engineer palantir foundry director,28,0
software engineer data platform,28,0
genai python systems engineer manager,28,0
servicenow software engineer,28,0
software engineer backend (marketplace performance),27,0
software engineer backend (merchant interfaces),27,0
manager genai full stack developer,27,0
remote software developer,27,0
software engineer full stack (zero to one labs),27,0
oracle ai engineer manager,27,0
ai platform engineer,26,1
software engineer (full stack backend leaning),26,0
consultant genai full stack developer,26,0
software engineer backend (credit decisioning),25,0
software engineer backend (purchasing power),25,0
software engineer backend (merchant advocacy),25,0
nga ai engineer manager,25,0
software engineer backend (streaming),25,0
software engineer data,24,2
software engineer backend (identity decisioning),24,0
ai native engineer full stack assocate,24,0
machine learning engineer (ml underwriting),24,0
forward deployed software engineer,23,0
product engineering pxe leadership full stack engineer,23,0
ai security engineer,22,1
software engineer python cloud graduate level,22,0
software engineer checkout (pba core),22,0
ai native engineering full stack manager,22,0
software engineer cloud sustaining engineering,22,0
software engineer l3 support,22,0
it data engineer,22,2
fintech ai finance front end software developer,22,0
software engineer sustaining engineering,21,0
software engineer (infrastructure),21,0
software engineer cloud images,21,0
ai developer,21,0
robotics software engineer,21,0
product engineering pxe talent full stack engineer,21,0
agentic ai engineer,21,1
front end engineer,21,2
robotics systems engineer tech deployment,20,0
software engineer ctj poly,20,0
site reliability engineer (sre),20,0
backend developer,19,0
ai agent engineer,19,0
software engineer backend (pmi integrations),19,0
software engineer applied ai,19,0
entry level software developer,19,0
gps servicenow developer supervising associate,19,0
machine learning engineer energy,19,0
ai engineer associate,19,0
ai automation engineer,19,0
cloud platform engineer,19,1
ai full stack engineer manager tax transformation,18,0
software developer in test (sdet),18,0
software engineer salesforce,18,0
software engineer with security clearance,17,1
systems test engineer,17,2
vice president full stack engineer,17,1
ctio ai engineer associate,17,0
backend engineer (remote) ai,17,0
software engineer backend (python),17,0
software engineer web platform,17,0
software engineer (full stack),16,1
software engineer front end (bangkok based relocation provided),16,0
specialty software engineer,16,1
machine learning engineer (india based relocation provided),16,0
