variant,operationalization,year,n,tech_count,soft_count,scope_count,edu_level,mgmt_strong_any,mgmt_broad_any,ai_mention,requirement_breadth,credential_stack_depth,tech_density,scope_density
combined,seniority_best_available,2024,241,5.1577,2.195,0.7801,1.5145,0.3402,0.805,0.166,10.1494,4.2614,3.5547,0.4786
combined,seniority_best_available,2026,390,6.6128,2.3718,1.2308,2.0026,0.4872,0.8821,0.4333,12.541,4.859,3.5794,0.6624
combined,seniority_best_available_aug,2024,339,5.1917,2.2035,0.8024,1.5487,0.3363,0.8053,0.1504,10.2183,4.2891,3.6692,0.4967
combined,seniority_best_available_aug,2026,4076,7.1585,2.8606,1.4747,1.5854,0.5783,0.9298,0.4733,13.8837,5.0201,3.0701,0.5118
combined,seniority_final,2024,977,5.6377,2.173,0.8536,1.4391,0.3982,0.7922,0.1095,10.7257,4.3153,4.1705,0.472
combined,seniority_final,2026,4656,7.2126,2.7846,1.4407,1.5539,0.5515,0.8982,0.4646,13.7882,4.9633,3.2773,0.5203
combined,yoe<=2,2024,2047,6.1866,2.5765,1.2672,2.0401,0.4905,0.8642,0.1768,12.8324,5.2223,3.34,0.5693
combined,yoe<=2,2026,4022,7.9448,3.174,1.963,2.1952,0.684,0.9346,0.5005,16.3148,6.0204,2.6582,0.6091
arshkon_only_2024,seniority_best_available,2024,177,5.678,2.1525,0.8701,1.5254,0.3107,0.7684,0.1921,10.6554,4.2881,3.8762,0.5461
arshkon_only_2024,seniority_best_available,2026,390,6.6128,2.3718,1.2308,2.0026,0.4872,0.8821,0.4333,12.541,4.859,3.5794,0.6624
arshkon_only_2024,seniority_best_available_aug,2024,177,5.678,2.1525,0.8701,1.5254,0.3107,0.7684,0.1921,10.6554,4.2881,3.8762,0.5461
arshkon_only_2024,seniority_best_available_aug,2026,4076,7.1585,2.8606,1.4747,1.5854,0.5783,0.9298,0.4733,13.8837,5.0201,3.0701,0.5118
arshkon_only_2024,seniority_final,2024,848,5.717,2.1675,0.8644,1.4175,0.4068,0.7866,0.1097,10.816,4.3184,4.2264,0.4692
arshkon_only_2024,seniority_final,2026,4656,7.2126,2.7846,1.4407,1.5539,0.5515,0.8982,0.4646,13.7882,4.9633,3.2773,0.5203
arshkon_only_2024,yoe<=2,2024,456,6.3596,2.3311,0.9825,1.7259,0.4474,0.8421,0.1579,12.3706,5.0702,3.7947,0.515
arshkon_only_2024,yoe<=2,2026,4022,7.9448,3.174,1.963,2.1952,0.684,0.9346,0.5005,16.3148,6.0204,2.6582,0.6091
