year,tier,term,n_postings,share
2024,broad,team,19709,0.6981
2024,broad,manage,10381,0.3677
2024,broad,lead,9982,0.3536
2024,broad,mentor,6727,0.2383
2024,broad,stakeholder,4376,0.155
2024,broad,coordinate,3099,0.1098
2024,broad,hire,2360,0.0836
2024,broad,coach,1116,0.0395
2024,broad,people_manager,613,0.0217
2024,broad,direct_reports,108,0.0038
2024,broad,performance_review,35,0.0012
2024,broad,headcount,4,0.0001
2024,strong,manage,10381,0.3677
2024,strong,mentor,6727,0.2383
2024,strong,hire,2360,0.0836
2024,strong,coach,1116,0.0395
2024,strong,people_manager,613,0.0217
2024,strong,direct_reports,108,0.0038
2024,strong,performance_review,35,0.0012
2024,strong,headcount,4,0.0001
2026,broad,team,26452,0.7544
2026,broad,lead,18718,0.5339
2026,broad,manage,14345,0.4091
2026,broad,hire,12102,0.3452
2026,broad,mentor,9954,0.2839
2026,broad,stakeholder,8947,0.2552
2026,broad,coordinate,3037,0.0866
2026,broad,coach,2447,0.0698
2026,broad,people_manager,250,0.0071
2026,broad,direct_reports,103,0.0029
2026,broad,headcount,57,0.0016
2026,broad,performance_review,45,0.0013
2026,strong,manage,14345,0.4091
2026,strong,hire,12102,0.3452
2026,strong,mentor,9954,0.2839
2026,strong,coach,2447,0.0698
2026,strong,people_manager,250,0.0071
2026,strong,direct_reports,103,0.0029
2026,strong,headcount,57,0.0016
2026,strong,performance_review,45,0.0013
