term,count_a,count_b,rate_a_per_1k,rate_b_per_1k,log_odds_delta,z,category,abs_z
workflows,202,726,0.42593119735163576,2.1207173048779415,0.7416373738934716,15.325449337484129,other,15.325449337484129
observability,174,557,0.36689122940190405,1.627051706359523,0.697836940171638,12.87030059740898,sys_design,12.87030059740898
agentic,0,244,0.0,0.7127479647248179,1.2593543121222952,12.0464333076925,ai_domain,12.0464333076925
contribute,557,956,1.1744736481428768,2.792569894577565,0.4265282496352665,11.627045023266584,other,11.627045023266584
hands-on,835,1250,1.7606561870723556,3.6513727701066494,0.3610628259129385,11.598618723695344,other,11.598618723695344
influence,216,514,0.45545118132650153,1.5014444830678542,0.5749374401067797,10.752926241025328,org_scope,10.752926241025328
outcomes,60,290,0.12651421703513932,0.8471184826647425,0.8431975823712508,10.535150405918332,other,10.535150405918332
environments.,232,523,0.48918830586920536,1.5277343670126222,0.5514760469861573,10.510223103713376,other,10.510223103713376
end-to-end,324,633,0.6831767719897524,1.8490551707820073,0.4868683895117929,10.507473587370406,other,10.507473587370406
cloud-native,95,338,0.20031417697230394,0.9873311970368379,0.7381495163842962,10.417688386647164,other,10.417688386647164
tooling,185,453,0.3900855025250129,1.3232574918866498,0.5872568666523899,10.254787959091066,other,10.254787959091066
translate,306,590,0.6452225068792106,1.7234479474903386,0.48057746235998167,10.043353450630079,other,10.043353450630079
pipelines,863,1160,1.8196961550220871,3.38847393065897,0.30826882084841145,9.77653688775836,other,9.77653688775836
high-impact,22,200,0.04638854624621775,0.5842196432170639,1.0101008810226197,9.749431221485848,other,9.749431221485848
workflows.,52,238,0.10964565476378742,0.6952213754283061,0.8255114464239321,9.415461303099733,other,9.415461303099733
rag,7,162,0.014759991987432922,0.4732179110058217,1.155090559559996,9.41432818260896,ai_domain,9.41432818260896
llms,57,243,0.12018850618338235,0.7098268665087326,0.8017729631961092,9.335922329453906,ai_domain,9.335922329453906
governance,146,366,0.30785126145217234,1.0691219470872269,0.5972532268538435,9.332902856647587,other,9.332902856647587
llm,53,230,0.1117542250477064,0.6718525896996235,0.8090116266970178,9.131000340502332,ai_domain,9.131000340502332
mindset,109,309,0.22983416094716977,0.9026193487703638,0.6486462237881714,9.10506803434448,other,9.10506803434448
ambiguous,33,195,0.06958281936932663,0.5696141521366372,0.903547418695263,9.017921183857805,other,9.017921183857805
expertise,1152,1381,2.429072967074675,4.034036636413827,0.2516594488930579,8.945994673922112,other,8.945994673922112
production-grade,14,154,0.029519983974865844,0.4498491252771392,1.0479033067390446,8.730780875961985,other,8.730780875961985
experimentation,32,181,0.06747424908540764,0.5287187771114429,0.8928483457714895,8.619135829955267,other,8.619135829955267
collaborating,260,473,0.548228273818937,1.381679456208356,0.45366023571591807,8.5897405985015,other,8.5897405985015
claude,0,120,0.0,0.3505317859302383,1.2591785799662532,8.44682670184859,ai_tool,8.44682670184859
perspectives,11,137,0.023194273123108875,0.40019045560368877,1.0697859754778527,8.327252529398258,other,8.327252529398258
ai-powered,13,140,0.027411413690946854,0.4089537502519447,1.0472232384449498,8.314023162584732,other,8.314023162584732
ai-driven,15,143,0.03162855425878483,0.41771704490020073,1.0199660978275737,8.288627251953109,other,8.288627251953109
datasets,60,212,0.12651421703513932,0.6192728218100877,0.7347229492160743,8.227005982813765,other,8.227005982813765
clearly,108,277,0.22772559066325077,0.8091442058556335,0.607498221700765,8.217295216115378,other,8.217295216115378
event-driven,62,214,0.1307313576029773,0.6251150182422583,0.7259497209221264,8.198291069980868,other,8.198291069980868
agent,17,143,0.0358456948266228,0.41771704490020073,0.9930422398916221,8.16452703546534,ai_domain,8.16452703546534
genai,12,134,0.025302843407027865,0.3914271609554328,1.0506413585355627,8.155633529634223,ai_domain,8.155633529634223
serve,201,385,0.42382262706771673,1.124622813192848,0.47734750787744584,8.06954736572647,other,8.06954736572647
prompt,34,164,0.0716913896532456,0.4790601074379924,0.842398673725878,7.9172393806068975,ai_domain,7.9172393806068975
intersection,4,112,0.008434281135675955,0.3271630002015558,1.1692149051552096,7.880806351883838,other,7.880806351883838
inference,14,130,0.029519983974865844,0.37974276809109153,1.0144865035465607,7.879069659643183,ai_domain,7.879069659643183
long-term,110,266,0.23194273123108877,0.7770121254786949,0.581664092621514,7.8018822757140205,other,7.8018822757140205
high-quality,433,621,0.913010932936922,1.8140019921889834,0.3396756996385202,7.766685794373716,other,7.766685794373716
practical,291,472,0.6135939526204257,1.3787583579922706,0.39926787830128596,7.740849114592633,other,7.740849114592633
ai-assisted,1,101,0.0021085702839189887,0.29503091982461727,1.2331751461296037,7.675967818494567,other,7.675967818494567
growth.,28,147,0.05903996794973169,0.4294014377645419,0.8709647220951062,7.647944011485194,other,7.647944011485194
latency,76,212,0.16025134157784313,0.6192728218100877,0.6419219012432311,7.485266908906551,sys_design,7.485266908906551
decision-making,61,191,0.12862278731905832,0.557929759272296,0.688397496942474,7.465767289418205,other,7.465767289418205
ensuring,662,830,1.3958735279543706,2.424511519350815,0.27361366748580274,7.461356862167471,other,7.461356862167471
models,572,741,1.2061022024016614,2.1645337781192215,0.28980015992749486,7.408518221683877,ai_domain,7.408518221683877
solutions.,716,878,1.509736323285996,2.5647242337229104,0.2626253592830263,7.4046472310695295,other,7.4046472310695295
sponsorship,37,153,0.07801710050500257,0.4469280270610539,0.7912019279367524,7.343588694241718,boilerplate,7.343588694241718
optimization,403,571,0.8497538244193524,1.6679470813847175,0.333706408553069,7.33682073627207,other,7.33682073627207
