period,seniority,n,fk_grade_median,fk_grade_mean,flesch_ease_median,flesch_ease_mean,gunning_fog_median,gunning_fog_mean,avg_sentence_length_median,avg_sentence_length_mean,lexicon_count_median,lexicon_count_mean,syllable_count_median,syllable_count_mean,ttr_first_1k_median,ttr_first_1k_mean
2024,ALL,4386,18.04573593073593,22.904315701417833,5.061917566669777,-4.3595912941034936,21.573330096694587,26.419971314822938,23.558441558441558,36.37640629345421,283.5,307.84496124031006,579.0,636.9943000455996,0.6692913385826772,0.6668588277971345
2026,ALL,4548,16.74001652892562,19.796804649223056,10.516838709677415,4.92018136555097,20.32628458498024,23.27956503715411,21.473684210526315,29.077832870427358,407.5,454.0481530343008,839.0,922.0371591908531,0.6831683168316832,0.6801490201127408
2024,director,61,19.12655906593407,24.017482128265105,0.7369341849486659,-9.206332148205533,22.539835164835168,27.783866829490705,26.615384615384617,38.13604552040737,409.0,419.1967213114754,867.0,878.2131147540983,0.6474820143884892,0.6457171689284199
2026,director,128,17.03409757305597,22.53199715191782,7.596127056972506,-0.8247556743910203,20.757506889395437,26.469597974596546,22.136363636363637,36.86234201334317,487.0,473.953125,963.0,958.0703125,0.6454545454545455,0.6566851726249104
2024,entry/associate,325,16.51892327253482,20.398335070393795,9.957346815634423,1.4678981871890944,19.964972052169287,23.618526593889403,22.23076923076923,29.560895730320507,285.0,266.39384615384614,573.0,550.6492307692308,0.6929133858267716,0.676215099123934
2026,entry/associate,420,16.56117647058824,18.829572014865118,13.075055658627093,8.782387610301226,19.724631735968675,22.157853793074743,22.375,27.352855605421464,307.0,309.5238095238095,609.0,621.5452380952381,0.6804123711340206,0.6766354771427301
2024,mid-senior,2000,18.631433261955745,23.813217304795693,2.7097398281731557,-7.158513333819036,22.09226594301221,27.368585043702137,24.375,38.46356409795167,293.5,311.7645,607.5,648.1545,0.6666666666666666,0.666989653695169
2026,mid-senior,2000,17.21146583373124,21.063762455003612,7.297203947368445,-0.3291354576819377,20.928598014796812,24.63932462009824,21.215384615384615,31.230504129640696,364.5,387.321,755.5,806.184,0.68,0.6753803777688129
2024,unknown,2000,17.819161825530806,22.366810825296472,6.940526315789484,-2.3542858043475845,21.38123425562896,25.882993168108612,23.430555555555557,35.338660290658986,273.0,307.265,565.5,632.508,0.6666666666666666,0.6658733371304528
2026,unknown,2000,16.34253658168653,18.558996443145233,14.649440212393557,9.721405523663272,19.80860792757821,21.952239659770104,21.128772219925587,26.790916128339568,519.5,549.8515,1041.0,1098.6875,0.6880733944954128,0.6871482806345948
