period,seniority,n,summary_median_prop,summary_median_chars,responsibilities_median_prop,responsibilities_median_chars,requirements_median_prop,requirements_median_chars,preferred_median_prop,preferred_median_chars,benefits_median_prop,benefits_median_chars,about_company_median_prop,about_company_median_chars,legal_median_prop,legal_median_chars,unclassified_median_prop,unclassified_median_chars
2024,ALL,28232,0.0,0.0,0.20479286016072534,365.0,0.2076923076923077,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994697020280647,227.0
2026,ALL,35062,0.13381870168378693,429.0,0.24682252784414183,784.0,0.19750706437383506,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,director,61,0.0,0.0,0.24013157894736842,710.0,0.18893466745144202,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18845897264843228,487.0
2026,director,128,0.0,0.0,0.3561484918793503,979.0,0.5237332296457423,1243.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,entry/associate,325,0.0,0.0,0.1386687797147385,196.0,0.3448616600790514,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05176132278936017,53.0
2026,entry/associate,420,0.09017027818258591,166.0,0.23275583991734383,513.0,0.2431893687707641,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,mid-senior,7707,0.0,0.0,0.21969322117763485,418.0,0.21665319320937754,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10533076429030186,161.0
2026,mid-senior,3639,0.15378289473684212,410.0,0.2869770182675309,692.0,0.2350131358968235,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,unknown,20139,0.0,0.0,0.20176405733186328,347.0,0.20446947035016716,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250561797752809,261.0
2026,unknown,30875,0.13258961228968544,439.0,0.24158309455587393,799.0,0.19099455714992578,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
